
route_number,route_name,origin_value,origin_name,destination_value,destination_name,timing,scraped_at
101,101,ANNA NAGAR EAST,ANNA NAGAR EAST,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,04,2026-01-12T13:23:44.496313
101,101,ANNA NAGAR EAST,ANNA NAGAR EAST,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,05,2026-01-12T13:23:44.496313
101,101,ANNA NAGAR EAST,ANNA NAGAR EAST,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,08,2026-01-12T13:23:44.496313
101,101,ANNA NAGAR EAST,ANNA NAGAR EAST,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,09,2026-01-12T13:23:44.496313
101,101,ANNA NAGAR EAST,ANNA NAGAR EAST,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,13,2026-01-12T13:23:44.496313
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,08,2026-01-12T13:23:56.573691
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,09,2026-01-12T13:23:56.573691
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,10,2026-01-12T13:23:56.573691
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,11,2026-01-12T13:23:56.573691
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,12,2026-01-12T13:23:56.573691
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,13,2026-01-12T13:23:56.573691
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,14,2026-01-12T13:23:56.573691
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,15,2026-01-12T13:23:56.573691
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,16,2026-01-12T13:23:56.573691
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,17,2026-01-12T13:23:56.573691
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,19,2026-01-12T13:23:56.573691
101,101,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,ANNA NAGAR EAST,ANNA NAGAR EAST,05,2026-01-12T13:24:08.285222
101,101,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,ANNA NAGAR EAST,ANNA NAGAR EAST,19,2026-01-12T13:24:08.285222
101,101,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,ANNA NAGAR EAST,ANNA NAGAR EAST,20,2026-01-12T13:24:08.285222
101,101,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,ANNA NAGAR EAST,ANNA NAGAR EAST,21,2026-01-12T13:24:08.285222
101,101,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,POONAMALLEE B.S,POONAMALLEE B.S,04,2026-01-12T13:24:12.359067
101,101,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,POONAMALLEE B.S,POONAMALLEE B.S,05,2026-01-12T13:24:12.359067
101,101,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,POONAMALLEE B.S,POONAMALLEE B.S,06,2026-01-12T13:24:12.359067
101,101,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,POONAMALLEE B.S,POONAMALLEE B.S,08,2026-01-12T13:24:12.359067
101,101,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,POONAMALLEE B.S,POONAMALLEE B.S,09,2026-01-12T13:24:12.359067
101,101,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,THIRUVOTRIYUR,THIRUVOTRIYUR,04,2026-01-12T13:24:16.450597
101,101,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,THIRUVOTRIYUR,THIRUVOTRIYUR,05,2026-01-12T13:24:16.450597
101,101,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,THIRUVOTRIYUR,THIRUVOTRIYUR,06,2026-01-12T13:24:16.450597
101,101,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,THIRUVOTRIYUR,THIRUVOTRIYUR,08,2026-01-12T13:24:16.450597
101,101,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,THIRUVOTRIYUR,THIRUVOTRIYUR,12,2026-01-12T13:24:16.450597
101,101,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,THIRUVOTRIYUR,THIRUVOTRIYUR,13,2026-01-12T13:24:16.450597
101,101,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,THIRUVOTRIYUR,THIRUVOTRIYUR,14,2026-01-12T13:24:16.450597
101,101,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,THIRUVOTRIYUR,THIRUVOTRIYUR,15,2026-01-12T13:24:16.450597
101,101,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,THIRUVOTRIYUR,THIRUVOTRIYUR,16,2026-01-12T13:24:16.450597
101,101,POONAMALLEE B.S,POONAMALLEE B.S,BROADWAY,BROADWAY,07,2026-01-12T13:24:27.873851
101,101,POONAMALLEE B.S,POONAMALLEE B.S,BROADWAY,BROADWAY,08,2026-01-12T13:24:27.873851
101,101,POONAMALLEE B.S,POONAMALLEE B.S,BROADWAY,BROADWAY,09,2026-01-12T13:24:27.873851
101,101,POONAMALLEE B.S,POONAMALLEE B.S,BROADWAY,BROADWAY,10,2026-01-12T13:24:27.873851
101,101,POONAMALLEE B.S,POONAMALLEE B.S,BROADWAY,BROADWAY,11,2026-01-12T13:24:27.873851
101,101,POONAMALLEE B.S,POONAMALLEE B.S,BROADWAY,BROADWAY,12,2026-01-12T13:24:27.873851
101,101,POONAMALLEE B.S,POONAMALLEE B.S,BROADWAY,BROADWAY,13,2026-01-12T13:24:27.873851
101,101,POONAMALLEE B.S,POONAMALLEE B.S,BROADWAY,BROADWAY,14,2026-01-12T13:24:27.873851
101,101,POONAMALLEE B.S,POONAMALLEE B.S,BROADWAY,BROADWAY,15,2026-01-12T13:24:27.873851
101,101,POONAMALLEE B.S,POONAMALLEE B.S,BROADWAY,BROADWAY,16,2026-01-12T13:24:27.873851
101,101,POONAMALLEE B.S,POONAMALLEE B.S,BROADWAY,BROADWAY,18,2026-01-12T13:24:27.873851
101,101,POONAMALLEE B.S,POONAMALLEE B.S,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,19,2026-01-12T13:24:31.940739
101,101,POONAMALLEE B.S,POONAMALLEE B.S,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,20,2026-01-12T13:24:31.940739
101,101,POONAMALLEE B.S,POONAMALLEE B.S,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,21,2026-01-12T13:24:31.940739
101,101,POONAMALLEE B.S,POONAMALLEE B.S,THIRUVOTRIYUR,THIRUVOTRIYUR,00,2026-01-12T13:24:35.994799
101,101,POONAMALLEE B.S,POONAMALLEE B.S,THIRUVOTRIYUR,THIRUVOTRIYUR,01,2026-01-12T13:24:35.994799
101,101,POONAMALLEE B.S,POONAMALLEE B.S,THIRUVOTRIYUR,THIRUVOTRIYUR,02,2026-01-12T13:24:35.994799
101,101,POONAMALLEE B.S,POONAMALLEE B.S,THIRUVOTRIYUR,THIRUVOTRIYUR,05,2026-01-12T13:24:35.994799
101,101,POONAMALLEE B.S,POONAMALLEE B.S,THIRUVOTRIYUR,THIRUVOTRIYUR,06,2026-01-12T13:24:35.994799
101,101,POONAMALLEE B.S,POONAMALLEE B.S,THIRUVOTRIYUR,THIRUVOTRIYUR,07,2026-01-12T13:24:35.994799
101,101,POONAMALLEE B.S,POONAMALLEE B.S,THIRUVOTRIYUR,THIRUVOTRIYUR,08,2026-01-12T13:24:35.994799
101,101,POONAMALLEE B.S,POONAMALLEE B.S,THIRUVOTRIYUR,THIRUVOTRIYUR,09,2026-01-12T13:24:35.994799
101,101,POONAMALLEE B.S,POONAMALLEE B.S,THIRUVOTRIYUR,THIRUVOTRIYUR,10,2026-01-12T13:24:35.994799
101,101,POONAMALLEE B.S,POONAMALLEE B.S,THIRUVOTRIYUR,THIRUVOTRIYUR,11,2026-01-12T13:24:35.994799
101,101,POONAMALLEE B.S,POONAMALLEE B.S,THIRUVOTRIYUR,THIRUVOTRIYUR,12,2026-01-12T13:24:35.994799
101,101,POONAMALLEE B.S,POONAMALLEE B.S,THIRUVOTRIYUR,THIRUVOTRIYUR,13,2026-01-12T13:24:35.994799
101,101,POONAMALLEE B.S,POONAMALLEE B.S,THIRUVOTRIYUR,THIRUVOTRIYUR,14,2026-01-12T13:24:35.994799
101,101,POONAMALLEE B.S,POONAMALLEE B.S,THIRUVOTRIYUR,THIRUVOTRIYUR,15,2026-01-12T13:24:35.994799
101,101,POONAMALLEE B.S,POONAMALLEE B.S,THIRUVOTRIYUR,THIRUVOTRIYUR,16,2026-01-12T13:24:35.994799
101,101,POONAMALLEE B.S,POONAMALLEE B.S,THIRUVOTRIYUR,THIRUVOTRIYUR,17,2026-01-12T13:24:35.994799
101,101,POONAMALLEE B.S,POONAMALLEE B.S,THIRUVOTRIYUR,THIRUVOTRIYUR,18,2026-01-12T13:24:35.994799
101,101,POONAMALLEE B.S,POONAMALLEE B.S,THIRUVOTRIYUR,THIRUVOTRIYUR,19,2026-01-12T13:24:35.994799
101,101,POONAMALLEE B.S,POONAMALLEE B.S,THIRUVOTRIYUR,THIRUVOTRIYUR,20,2026-01-12T13:24:35.994799
101,101,POONAMALLEE B.S,POONAMALLEE B.S,THIRUVOTRIYUR,THIRUVOTRIYUR,21,2026-01-12T13:24:35.994799
101,101,POONAMALLEE B.S,POONAMALLEE B.S,THIRUVOTRIYUR,THIRUVOTRIYUR,22,2026-01-12T13:24:35.994799
101,101,POONAMALLEE B.S,POONAMALLEE B.S,THIRUVOTRIYUR,THIRUVOTRIYUR,23,2026-01-12T13:24:35.994799
