route_number,route_name,origin_value,origin_name,destination_value,destination_name,timing,scraped_at
101,101,ANNA NAGAR EAST,ANNA NAGAR EAST,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,04:05,2026-01-13T12:52:17.067969
101,101,ANNA NAGAR EAST,ANNA NAGAR EAST,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,05:05,2026-01-13T12:52:17.067969
101,101,ANNA NAGAR EAST,ANNA NAGAR EAST,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,08:30,2026-01-13T12:52:17.067969
101,101,ANNA NAGAR EAST,ANNA NAGAR EAST,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,09:00,2026-01-13T12:52:17.067969
101,101,ANNA NAGAR EAST,ANNA NAGAR EAST,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,13:38,2026-01-13T12:52:17.067969
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,08:45,2026-01-13T12:52:30.666308
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,09:13,2026-01-13T12:52:30.666308
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,09:29,2026-01-13T12:52:30.666308
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,10:01,2026-01-13T12:52:30.666308
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,10:17,2026-01-13T12:52:30.666308
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,10:55,2026-01-13T12:52:30.666308
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,11:15,2026-01-13T12:52:30.666308
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,11:37,2026-01-13T12:52:30.666308
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,11:55,2026-01-13T12:52:30.666308
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,12:25,2026-01-13T12:52:30.666308
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,12:35,2026-01-13T12:52:30.666308
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,13:10,2026-01-13T12:52:30.666308
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,13:30,2026-01-13T12:52:30.666308
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,13:40,2026-01-13T12:52:30.666308
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,13:50,2026-01-13T12:52:30.666308
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,14:05,2026-01-13T12:52:30.666308
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,14:30,2026-01-13T12:52:30.666308
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,14:40,2026-01-13T12:52:30.666308
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,15:00,2026-01-13T12:52:30.666308
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,15:10,2026-01-13T12:52:30.666308
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,15:35,2026-01-13T12:52:30.666308
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,15:45,2026-01-13T12:52:30.666308
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,15:55,2026-01-13T12:52:30.666308
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,16:00,2026-01-13T12:52:30.666308
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,16:10,2026-01-13T12:52:30.666308
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,16:20,2026-01-13T12:52:30.666308
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,16:55,2026-01-13T12:52:30.666308
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,17:15,2026-01-13T12:52:30.666308
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,17:50,2026-01-13T12:52:30.666308
101,101,BROADWAY,BROADWAY,POONAMALLEE B.S,POONAMALLEE B.S,19:40,2026-01-13T12:52:30.666308
101,101,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,POONAMALLEE B.S,POONAMALLEE B.S,04:20,2026-01-13T12:52:44.289427
101,101,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,POONAMALLEE B.S,POONAMALLEE B.S,04:35,2026-01-13T12:52:44.289427
101,101,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,POONAMALLEE B.S,POONAMALLEE B.S,05:20,2026-01-13T12:52:44.289427
101,101,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,POONAMALLEE B.S,POONAMALLEE B.S,05:25,2026-01-13T12:52:44.289427
101,101,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,POONAMALLEE B.S,POONAMALLEE B.S,05:40,2026-01-13T12:52:44.289427
101,101,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,POONAMALLEE B.S,POONAMALLEE B.S,05:55,2026-01-13T12:52:44.289427
101,101,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,POONAMALLEE B.S,POONAMALLEE B.S,06:00,2026-01-13T12:52:44.289427
101,101,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,POONAMALLEE B.S,POONAMALLEE B.S,06:10,2026-01-13T12:52:44.289427
101,101,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,POONAMALLEE B.S,POONAMALLEE B.S,06:25,2026-01-13T12:52:44.289427
101,101,M.G.R.KOYAMBEDU,M.G.R.KOYAMBEDU,POONAMALLEE B.S,POONAMALLEE B.S,06:30,2026-01-13T12:52:44.289427
