name,type,latitude,longitude,osm_id
மைலாப்பூர்,bus_stop,13.0334336,80.2679457,243060332
Foreshore Estate Bus Terminus,bus_stop,13.0224016,80.2763268,247677936
V House Bus Terminus,bus_stop,13.0512112,80.2778386,247691544
Poonamallee MTC Terminus,bus_stop,13.0511602,80.0949546,248454339
GingerBread,bus_stop,13.0802164,80.1736956,262308392
Nanganallur Bus Terminus,bus_stop,12.9778068,80.1812484,278746634
Puratchi Thalaivar Dr. M.G.R Bus Terminus,bus_stop,13.06846,80.2051255,306104406
Ramapuram Bus Stand,bus_stop,13.0348049,80.1738571,306105674
Taramani,bus_stop,12.9854773,80.2405635,306113099
Saligramam Bus Terminus,bus_stop,13.0533394,80.1970832,308032774
Perambur MTC Terminus,bus_stop,13.1085691,80.2482521,311284385
ICF MTC Terminus,bus_stop,13.1002428,80.2147138,311337040
Kovilpalayam Main Bus Stop,bus_stop,11.1354175,77.0337521,321420713
Minjur MTC Terminus,bus_stop,13.2820098,80.2537049,321652675
Manali MTC Terminus,bus_stop,13.1699771,80.2571585,321659385
மாதவரம் மாநகர பேருந்து முனையம்,bus_stop,13.1523676,80.2283452,321661962
Kundrathur Temple MTC Terminus,bus_stop,12.9872165,80.0932375,332004894
Hasthinapuram MTC Terminus,bus_stop,12.9404439,80.1505864,340042533
Tambaram MTC Terminus,bus_stop,12.9253393,80.1167451,340088810
Tambaram East MTC Terminus,bus_stop,12.923598,80.1170906,340088821
பழவேற்காடு,bus_stop,13.4177224,80.313942,340766697
Ayanavaram MTC Terminus,bus_stop,13.0985912,80.2420039,344420267
குற்றாலம் - കുറ്റാലം,bus_stop,8.9333098,77.2738226,353064229
செங்கோட்டை பஸ் ஸ்டாண்ட்,bus_stop,8.9768317,77.2498908,353065113
Town Bus Stand,bus_stop,10.086309,77.0600795,353409857
மகாபலிபுரம்,bus_stop,12.6174735,80.1938815,353978506
East Fort,bus_stop,8.4834042,76.9474622,354065017
Yercaud Bus Stand,bus_stop,11.7767655,78.2091269,354952665
Erumaivettipalayam Bus Stand,bus_stop,13.2424549,80.120113,359120280
Kattakada,bus_stop,8.5069532,77.0809575,360378970
Puzhuthivakkam Bus Stand,bus_stop,12.9739799,80.2029314,360562773
Ayyapanthangal,bus_stop,13.0377933,80.1349425,370969659
Ennore MTC Terminus,bus_stop,13.214722,80.320837,373077167
