name,type,latitude,longitude,district,state,osm_id
மைலாப்பூர்,bus_stop,13.0334336,80.2679457,Chennai,Tamil Nadu,243060332
Foreshore Estate Bus Terminus,bus_stop,13.0224016,80.2763268,Chennai,Tamil Nadu,247677936
V House Bus Terminus,bus_stop,13.0512112,80.2778386,Chennai,Tamil Nadu,247691544
Poonamallee MTC Terminus,bus_stop,13.0511602,80.0949546,Chennai,Tamil Nadu,248454339
GingerBread,bus_stop,13.0802164,80.1736956,Chennai,Tamil Nadu,262308392
Nanganallur Bus Terminus,bus_stop,12.9778068,80.1812484,Chennai,Tamil Nadu,278746634
Puratchi Thalaivar Dr. M.G.R Bus Terminus,bus_stop,13.06846,80.2051255,Chennai,Tamil Nadu,306104406
Ramapuram Bus Stand,bus_stop,13.0348049,80.1738571,Chennai,Tamil Nadu,306105674
Taramani,bus_stop,12.9854773,80.2405635,Chennai,Tamil Nadu,306113099
Saligramam Bus Terminus,bus_stop,13.0533394,80.1970832,Chennai,Tamil Nadu,308032774
Perambur MTC Terminus,bus_stop,13.1085691,80.2482521,Chennai,Tamil Nadu,311284385
ICF MTC Terminus,bus_stop,13.1002428,80.2147138,Chennai,Tamil Nadu,311337040
Kovilpalayam Main Bus Stop,bus_stop,11.1354175,77.0337521,Coimbatore,Tamil Nadu,321420713
Minjur MTC Terminus,bus_stop,13.2820098,80.2537049,Chennai,Tamil Nadu,321652675
Manali MTC Terminus,bus_stop,13.1699771,80.2571585,Chennai,Tamil Nadu,321659385
மாதவரம் மாநகர பேருந்து முனையம்,bus_stop,13.1523676,80.2283452,Chennai,Tamil Nadu,321661962
Kundrathur Temple MTC Terminus,bus_stop,12.9872165,80.0932375,Kanchipuram,Tamil Nadu,332004894
Hasthinapuram MTC Terminus,bus_stop,12.9404439,80.1505864,Chennai,Tamil Nadu,340042533
Tambaram MTC Terminus,bus_stop,12.9253393,80.1167451,Chennai,Tamil Nadu,340088810
Tambaram East MTC Terminus,bus_stop,12.923598,80.1170906,Chennai,Tamil Nadu,340088821
பழவேற்காடு,bus_stop,13.4177224,80.313942,Chennai,Tamil Nadu,340766697
Ayanavaram MTC Terminus,bus_stop,13.0985912,80.2420039,Chennai,Tamil Nadu,344420267
குற்றாலம் - കുറ്റാലം,bus_stop,8.9333098,77.2738226,Tenkasi,Tamil Nadu,353064229
செங்கோட்டை பஸ் ஸ்டாண்ட்,bus_stop,8.9768317,77.2498908,Tenkasi,Tamil Nadu,353065113
Town Bus Stand,bus_stop,10.086309,77.0600795,Theni,Tamil Nadu,353409857
மகாபலிபுரம்,bus_stop,12.6174735,80.1938815,Chengalpattu,Tamil Nadu,353978506
East Fort,bus_stop,8.4834042,76.9474622,Unknown,Tamil Nadu,354065017
Yercaud Bus Stand,bus_stop,11.7767655,78.2091269,Namakkal,Tamil Nadu,354952665
Erumaivettipalayam Bus Stand,bus_stop,13.2424549,80.120113,Chennai,Tamil Nadu,359120280
Kattakada,bus_stop,8.5069532,77.0809575,Unknown,Tamil Nadu,360378970
Puzhuthivakkam Bus Stand,bus_stop,12.9739799,80.2029314,Chennai,Tamil Nadu,360562773
Ayyapanthangal,bus_stop,13.0377933,80.1349425,Chennai,Tamil Nadu,370969659
Ennore MTC Terminus,bus_stop,13.214722,80.320837,Chennai,Tamil Nadu,373077167
Old Bus Stand,bus_stop,10.7869544,79.1376046,Thanjavur,Tamil Nadu,389531981
KK Nagar West MTC Terminus,bus_stop,13.0441595,80.1933034,Chennai,Tamil Nadu,389964614
Kannagi Nagar MTCTerminus,bus_stop,12.9256543,80.2383079,Chennai,Tamil Nadu,401695312
NGO Colony Bus Terminus,bus_stop,12.9947894,80.2068161,Chennai,Tamil Nadu,401769770
Thiruverkadu MTC Bus Terminus,bus_stop,13.0695846,80.1240223,Chennai,Tamil Nadu,402290805
Semmanchery MTC Terminus,bus_stop,12.874697,80.2097654,Chennai,Tamil Nadu,402298612
Elango Nagar MTC Terminus,bus_stop,13.0906021,80.1854736,Chennai,Tamil Nadu,402656745
Parvathi Nagar MTC Terminus,bus_stop,13.1457511,80.250441,Chennai,Tamil Nadu,402750050
Tambaram Bus Stand,bus_stop,12.927719,80.1187421,Chennai,Tamil Nadu,442132009
Madipakkam Bus Stand,bus_stop,12.9628608,80.1982835,Chennai,Tamil Nadu,442538699
Mysore City Bus Stand,bus_stop,12.3079885,76.653633,Unknown,Tamil Nadu,444454814
Chikkamaranahalli,bus_stop,13.0362217,77.5663481,Unknown,Tamil Nadu,446805877
Uttarahalli Bus Station,bus_stop,12.9052725,77.5432875,Unknown,Tamil Nadu,471760581
Jalahalli Village,bus_stop,13.0452298,77.547996,Unknown,Tamil Nadu,521144263
Bhavani Bus Stand,bus_stop,11.4527483,77.688559,Erode,Tamil Nadu,540535250
Thiruvayar Bus Stand,bus_stop,10.7876947,79.1385287,Thanjavur,Tamil Nadu,541983076
Kolathur Bus Stand,bus_stop,10.94716,76.1376332,Unknown,Tamil Nadu,548339155
Old Bus Stand,bus_stop,11.1196933,76.1205926,Unknown,Tamil Nadu,561154744
Tirumayam Bus Stop,bus_stop,10.2457851,78.7468408,Sivaganga,Tamil Nadu,608384703
Channarayapatna Bus Station,bus_stop,12.8980853,76.3912145,Unknown,Tamil Nadu,647850387
