name,district,latitude,longitude,type
1 Mile,Tamil Nadu,11.6713083,76.0668313,neighborhood
10th Mile,Tamil Nadu,9.6818465,77.1465089,neighborhood
12th Mile,Tamil Nadu,9.6986535,76.6854877,village
16th Stone,Tamil Nadu,8.6350057,77.0318614,neighborhood
17mile,Tamil Nadu,9.5672654,76.7144253,neighborhood
18 mile bus station,Tamil Nadu,9.5694332,76.7202037,bus_stop
1st Block,Tamil Nadu,12.9312041,77.4791907,neighborhood
1st Mile,Tamil Nadu,9.5790943,76.7438532,neighborhood
2/B Gammanaya; Hurigaswewa,Tamil Nadu,8.1374418,80.3761851,village
23 Junction,Tamil Nadu,9.1262358,76.8179369,neighborhood
29 -A. Chinta -Makulapalle,Tamil Nadu,13.4079622,78.6408866,village
2nd Block,Tamil Nadu,12.9331281,77.471981,neighborhood
2nd Mile,Tamil Nadu,9.5901795,76.7387003,neighborhood
2nd Mile Post (4th Km Post),Tamil Nadu,8.3210106,80.3816977,neighborhood
34th Mile Junction,Tamil Nadu,9.5384771,76.8899907,neighborhood
35 Erlam Palli,Tamil Nadu,13.3761465,78.9745786,village
35th Mile,Tamil Nadu,9.5380143,76.9022875,village
3rd Block,Tamil Nadu,12.9445884,77.4822806,neighborhood
4 cent Colony; Karingannikunn,Tamil Nadu,11.6285536,76.1367771,neighborhood
4th Block,Tamil Nadu,12.9444211,77.4752425,neighborhood
4th Phase,Tamil Nadu,13.1048382,77.575315,neighborhood
5 Star Junction,Tamil Nadu,8.7601995,76.7200632,neighborhood
54,Tamil Nadu,11.8287055,76.0421877,village
57th Mile Junction,Tamil Nadu,9.5720178,77.0656426,neighborhood
5th Block,Tamil Nadu,12.9599794,77.4821948,neighborhood
5th Phase,Tamil Nadu,13.1051471,77.5714776,neighborhood
62th Mile,Tamil Nadu,9.5835479,77.1156394,neighborhood
6th Block,Tamil Nadu,12.9601467,77.4758433,neighborhood
6th Mile,Tamil Nadu,9.6478224,77.1649081,village
6th Mile,Tamil Nadu,10.059106,76.8111628,neighborhood
7th Mile,Tamil Nadu,9.5828505,76.6085455,neighborhood
8th mile,Tamil Nadu,9.5781125,76.6145116,neighborhood
9th Mile,Tamil Nadu,9.5714295,76.6243517,neighborhood
A Guduganahalli,Tamil Nadu,12.9331986,76.1594813,village
A K Pudhur,Tamil Nadu,11.663779,77.790675,village
A Kiliyanur,Tamil Nadu,10.9808279,79.6265566,village
A Kudikadu,Tamil Nadu,11.1616327,78.9162358,village
A Kudikadu,Tamil Nadu,11.3245,78.87733,village
