service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
0730KCBHOS,,SETC,CHENNAI,HOSUR,,,7.00Hrs,33 Seats Available,Standard,Rs 313,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0730KCBHOS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""421KUD""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:00""}, {""city"": ""315.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""313""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""07:30""}, {""city"": ""KANCHEEPURAM"", ""landmark"": ""KANCHEEPURAM"", ""time"": ""09:15""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""14:30""}]",2026-01-13T18:01:33.221150
0730KCBHOS,,SETC,CHENNAI,HOSUR,,,7.00Hrs,33 Seats Available,Standard,Rs 313,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0730KCBHOS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""421KUD""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:00""}, {""city"": ""315.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""313""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""07:30""}, {""city"": ""KANCHEEPURAM"", ""landmark"": ""KANCHEEPURAM"", ""time"": ""09:15""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""14:30""}]",2026-01-13T18:01:33.221150
0930KCBBANAC,,SETC,CHENNAI,HOSUR,,,7.15Hrs,33 Seats Available,Standard,Rs 410,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0930KCBBANAC"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""831KAC""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:15""}, {""city"": ""315.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""410""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""09:30""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""TAMBARAM MEPZ BS"", ""time"": ""09:50""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""CHENNAI TAMBARAM"", ""time"": ""10:00""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""PERUNGALATHUR"", ""time"": ""10:15""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""MANIVAKKAM (INFRONT OF DARBAR)"", ""time"": ""10:30""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""PADAPPAI (JAMUNA JEWELERY)"", ""time"": ""10:40""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""ORAGADAM JUNCTION (IOB)"", ""time"": ""10:50""}, {""city"": ""KANCHEEPURAM"", ""landmark"": ""KANCHEEPURAM"", ""time"": ""11:15""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""16:45""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""18:00""}]",2026-01-13T18:01:33.221150
0930KCBBANAC,,SETC,CHENNAI,HOSUR,,,7.15Hrs,33 Seats Available,Standard,Rs 410,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0930KCBBANAC"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""831KAC""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:15""}, {""city"": ""315.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""410""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""09:30""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""TAMBARAM MEPZ BS"", ""time"": ""09:50""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""CHENNAI TAMBARAM"", ""time"": ""10:00""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""PERUNGALATHUR"", ""time"": ""10:15""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""MANIVAKKAM (INFRONT OF DARBAR)"", ""time"": ""10:30""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""PADAPPAI (JAMUNA JEWELERY)"", ""time"": ""10:40""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""ORAGADAM JUNCTION (IOB)"", ""time"": ""10:50""}, {""city"": ""KANCHEEPURAM"", ""landmark"": ""KANCHEEPURAM"", ""time"": ""11:15""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""16:45""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""18:00""}]",2026-01-13T18:01:33.221150
2030KCBBAN,,SETC,CHENNAI,HOSUR,,,7.15Hrs,33 Seats Available,Standard,Rs 313,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2030KCBBAN"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""831KUD""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:15""}, {""city"": ""315.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""313""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""20:30""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""TAMBARAM MEPZ BS"", ""time"": ""20:50""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""CHENNAI TAMBARAM"", ""time"": ""21:00""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""PERUNGALATHUR"", ""time"": ""21:15""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""MANIVAKKAM (INFRONT OF DARBAR)"", ""time"": ""21:30""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""PADAPPAI (JAMUNA JEWELERY)"", ""time"": ""21:40""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""ORAGADAM JUNCTION (IOB)"", ""time"": ""21:50""}, {""city"": ""KANCHEEPURAM"", ""landmark"": ""KANCHEEPURAM"", ""time"": ""22:15""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""03:45""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""05:00""}]",2026-01-13T18:01:33.221150
2030KCBBAN,,SETC,CHENNAI,HOSUR,,,7.15Hrs,33 Seats Available,Standard,Rs 313,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2030KCBBAN"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""831KUD""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:15""}, {""city"": ""315.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""313""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""20:30""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""TAMBARAM MEPZ BS"", ""time"": ""20:50""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""CHENNAI TAMBARAM"", ""time"": ""21:00""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""PERUNGALATHUR"", ""time"": ""21:15""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""MANIVAKKAM (INFRONT OF DARBAR)"", ""time"": ""21:30""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""PADAPPAI (JAMUNA JEWELERY)"", ""time"": ""21:40""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""ORAGADAM JUNCTION (IOB)"", ""time"": ""21:50""}, {""city"": ""KANCHEEPURAM"", ""landmark"": ""KANCHEEPURAM"", ""time"": ""22:15""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""03:45""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""05:00""}]",2026-01-13T18:01:33.221150
2100KCBBANNS,,SETC,CHENNAI,HOSUR,,,7.15Hrs,28 Seats Available,Standard,Rs 313/487,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2100KCBBANNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""831KNS""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:15""}, {""city"": ""315.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""313""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""21:00""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""TAMBARAM MEPZ BS"", ""time"": ""21:20""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""CHENNAI TAMBARAM"", ""time"": ""21:30""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""PERUNGALATHUR"", ""time"": ""21:45""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""MANIVAKKAM (INFRONT OF DARBAR)"", ""time"": ""22:00""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""PADAPPAI (JAMUNA JEWELERY)"", ""time"": ""22:10""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""ORAGADAM JUNCTION (IOB)"", ""time"": ""22:20""}, {""city"": ""KANCHEEPURAM"", ""landmark"": ""KANCHEEPURAM"", ""time"": ""22:45""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""04:15""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""05:30""}]",2026-01-13T18:01:33.221150
2100KCBBANNS,,SETC,CHENNAI,HOSUR,,,7.15Hrs,28 Seats Available,Standard,Rs 313/487,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2100KCBBANNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""831KNS""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:15""}, {""city"": ""315.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""313""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""21:00""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""TAMBARAM MEPZ BS"", ""time"": ""21:20""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""CHENNAI TAMBARAM"", ""time"": ""21:30""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""PERUNGALATHUR"", ""time"": ""21:45""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""MANIVAKKAM (INFRONT OF DARBAR)"", ""time"": ""22:00""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""PADAPPAI (JAMUNA JEWELERY)"", ""time"": ""22:10""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""ORAGADAM JUNCTION (IOB)"", ""time"": ""22:20""}, {""city"": ""KANCHEEPURAM"", ""landmark"": ""KANCHEEPURAM"", ""time"": ""22:45""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""04:15""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""05:30""}]",2026-01-13T18:01:33.221150
2130KCBBANAC,,SETC,CHENNAI,HOSUR,,,7.15Hrs,33 Seats Available,Standard,Rs 410,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2130KCBBANAC"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""831KAC""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:15""}, {""city"": ""315.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""410""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""21:30""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""TAMBARAM MEPZ BS"", ""time"": ""21:50""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""CHENNAI TAMBARAM"", ""time"": ""22:00""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""PERUNGALATHUR"", ""time"": ""22:15""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""MANIVAKKAM (INFRONT OF DARBAR)"", ""time"": ""22:30""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""PADAPPAI (JAMUNA JEWELERY)"", ""time"": ""22:40""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""ORAGADAM JUNCTION (IOB)"", ""time"": ""22:50""}, {""city"": ""KANCHEEPURAM"", ""landmark"": ""KANCHEEPURAM"", ""time"": ""23:15""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""04:45""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""06:00""}]",2026-01-13T18:01:33.221150
2130KCBBANAC,,SETC,CHENNAI,HOSUR,,,7.15Hrs,33 Seats Available,Standard,Rs 410,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2130KCBBANAC"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""831KAC""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:15""}, {""city"": ""315.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""410""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""21:30""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""TAMBARAM MEPZ BS"", ""time"": ""21:50""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""CHENNAI TAMBARAM"", ""time"": ""22:00""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""PERUNGALATHUR"", ""time"": ""22:15""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""MANIVAKKAM (INFRONT OF DARBAR)"", ""time"": ""22:30""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""PADAPPAI (JAMUNA JEWELERY)"", ""time"": ""22:40""}, {""city"": ""CHENNAI TAMBARAM"", ""landmark"": ""ORAGADAM JUNCTION (IOB)"", ""time"": ""22:50""}, {""city"": ""KANCHEEPURAM"", ""landmark"": ""KANCHEEPURAM"", ""time"": ""23:15""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""04:45""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""06:00""}]",2026-01-13T18:01:33.221150
