service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
1845ANTKCBCC01L,,SETC,ERODE,CHENNAI,,,8.30Hrs,42 Seats Available,Standard,Rs 329,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1845ANTKCBCC01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""40722""}, {""city"": ""ERODE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:30""}, {""city"": ""383.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""329""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""ANTHIYUR"", ""landmark"": ""ANTHIYUR"", ""time"": ""18:45""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""20:30""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""04:00""}]",2026-01-13T18:36:50.775282
1845ANTKCBCC01L,,SETC,ERODE,CHENNAI,,,8.30Hrs,42 Seats Available,Standard,Rs 329,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1845ANTKCBCC01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""40722""}, {""city"": ""ERODE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:30""}, {""city"": ""383.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""329""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""ANTHIYUR"", ""landmark"": ""ANTHIYUR"", ""time"": ""18:45""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""20:30""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""04:00""}]",2026-01-13T18:36:50.775282
1800COIKCB,,SETC,ERODE,CHENNAI,,,7.10Hrs,22 Seats Available,Standard,Rs 385,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1800COIKCB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""460UD""}, {""city"": ""ERODE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:10""}, {""city"": ""383.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""385""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""18:00""}, {""city"": ""COIMBATORE"", ""landmark"": ""LAKSHMI MILLS"", ""time"": ""18:05""}, {""city"": ""COIMBATORE"", ""landmark"": ""PEELAMEDU"", ""time"": ""18:15""}, {""city"": ""COIMBATORE"", ""landmark"": ""HOPE COLLEGE"", ""time"": ""18:20""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE MEDICAL COLLEGE"", ""time"": ""18:21""}, {""city"": ""COIMBATORE"", ""landmark"": ""KMC HOSPITAL"", ""time"": ""18:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""KARUMATHAMPATTI"", ""time"": ""18:40""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""20:50""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""04:00""}]",2026-01-13T18:36:50.775282
1800COIKCB,,SETC,ERODE,CHENNAI,,,7.10Hrs,22 Seats Available,Standard,Rs 385,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1800COIKCB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""460UD""}, {""city"": ""ERODE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:10""}, {""city"": ""383.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""385""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""18:00""}, {""city"": ""COIMBATORE"", ""landmark"": ""LAKSHMI MILLS"", ""time"": ""18:05""}, {""city"": ""COIMBATORE"", ""landmark"": ""PEELAMEDU"", ""time"": ""18:15""}, {""city"": ""COIMBATORE"", ""landmark"": ""HOPE COLLEGE"", ""time"": ""18:20""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE MEDICAL COLLEGE"", ""time"": ""18:21""}, {""city"": ""COIMBATORE"", ""landmark"": ""KMC HOSPITAL"", ""time"": ""18:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""KARUMATHAMPATTI"", ""time"": ""18:40""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""20:50""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""04:00""}]",2026-01-13T18:36:50.775282
1930STMKCB,,SETC,ERODE,CHENNAI,,,8.00Hrs,15 Seats Available,Standard,Rs 383,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1930STMKCB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""432MUD""}, {""city"": ""ERODE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""383.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""383""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""SATHIYAMANGALAM"", ""landmark"": ""SATHIYAMANGALAM"", ""time"": ""19:30""}, {""city"": ""GOBI"", ""landmark"": ""GOBI"", ""time"": ""20:15""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""21:00""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""05:00""}]",2026-01-13T18:36:50.775282
1930STMKCB,,SETC,ERODE,CHENNAI,,,8.00Hrs,15 Seats Available,Standard,Rs 383,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1930STMKCB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""432MUD""}, {""city"": ""ERODE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""383.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""383""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""SATHIYAMANGALAM"", ""landmark"": ""SATHIYAMANGALAM"", ""time"": ""19:30""}, {""city"": ""GOBI"", ""landmark"": ""GOBI"", ""time"": ""20:15""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""21:00""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""05:00""}]",2026-01-13T18:36:50.775282
2130EROKCBNS,,SETC,ERODE,CHENNAI,,,8.00Hrs,16 Seats Available,Standard,Rs 397/615,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2130EROKCBNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""430NS""}, {""city"": ""ERODE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""383.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""397""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""21:30""}, {""city"": ""ERODE"", ""landmark"": ""LAKSHMI NAGER"", ""time"": ""21:45""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""05:30""}]",2026-01-13T18:36:50.775282
2130EROKCBNS,,SETC,ERODE,CHENNAI,,,8.00Hrs,16 Seats Available,Standard,Rs 397/615,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2130EROKCBNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""430NS""}, {""city"": ""ERODE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""383.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""397""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""21:30""}, {""city"": ""ERODE"", ""landmark"": ""LAKSHMI NAGER"", ""time"": ""21:45""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""05:30""}]",2026-01-13T18:36:50.775282
2045TPPKCBMS,,SETC,ERODE,CHENNAI,,,8.00Hrs,32 Seats Available,Standard,Rs 650,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2045TPPKCBMS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""470MS""}, {""city"": ""ERODE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""383.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""650""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR OLD BUS STAND"", ""time"": ""20:45""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""22:30""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""06:30""}]",2026-01-13T18:36:50.775282
2045TPPKCBMS,,SETC,ERODE,CHENNAI,,,8.00Hrs,32 Seats Available,Standard,Rs 650,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2045TPPKCBMS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""470MS""}, {""city"": ""ERODE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""383.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""650""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR OLD BUS STAND"", ""time"": ""20:45""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""22:30""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""06:30""}]",2026-01-13T18:36:50.775282
