service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
0155MADHOSDD01L,,SETC,MADURAI,HOSUR,,,9.30Hrs,45 Seats Available,Standard,Rs 365,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0155MADHOSDD01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""480E""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:30""}, {""city"": ""429.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""365""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""01:55""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""11:38""}]",2026-01-13T18:08:29.797090
0155MADHOSDD01L,,SETC,MADURAI,HOSUR,,,9.30Hrs,45 Seats Available,Standard,Rs 365,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0155MADHOSDD01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""480E""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:30""}, {""city"": ""429.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""365""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""01:55""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""11:38""}]",2026-01-13T18:08:29.797090
0305MADHOSDD01L,,SETC,MADURAI,HOSUR,,,9.30Hrs,41 Seats Available,Standard,Rs 365,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0305MADHOSDD01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""111P""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:30""}, {""city"": ""429.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""365""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""03:05""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""12:48""}]",2026-01-13T18:08:29.797090
0305MADHOSDD01L,,SETC,MADURAI,HOSUR,,,9.30Hrs,41 Seats Available,Standard,Rs 365,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0305MADHOSDD01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""111P""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:30""}, {""city"": ""429.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""365""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""03:05""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""12:48""}]",2026-01-13T18:08:29.797090
0700MADBAN,,SETC,MADURAI,HOSUR,,,8.00Hrs,33 Seats Available,Standard,Rs 417,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0700MADBAN"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""846UD""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""419.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""417""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""07:00""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""07:20""}, {""city"": ""MADURAI"", ""landmark"": ""FATHIMA COLLEGE"", ""time"": ""07:30""}, {""city"": ""MADURAI"", ""landmark"": ""KODAI ROAD TOLL"", ""time"": ""08:00""}, {""city"": ""DINDIGUL"", ""landmark"": ""DINDIGUL"", ""time"": ""09:00""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""15:30""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""16:30""}]",2026-01-13T18:08:29.797090
0700MADBAN,,SETC,MADURAI,HOSUR,,,8.00Hrs,33 Seats Available,Standard,Rs 417,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0700MADBAN"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""846UD""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""419.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""417""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""07:00""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""07:20""}, {""city"": ""MADURAI"", ""landmark"": ""FATHIMA COLLEGE"", ""time"": ""07:30""}, {""city"": ""MADURAI"", ""landmark"": ""KODAI ROAD TOLL"", ""time"": ""08:00""}, {""city"": ""DINDIGUL"", ""landmark"": ""DINDIGUL"", ""time"": ""09:00""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""15:30""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""16:30""}]",2026-01-13T18:08:29.797090
0800MADBAN,,SETC,MADURAI,HOSUR,,,8.00Hrs,33 Seats Available,Standard,Rs 417,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0800MADBAN"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""846UD""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""419.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""417""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""08:00""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""08:15""}, {""city"": ""MADURAI"", ""landmark"": ""FATHIMA COLLEGE"", ""time"": ""08:30""}, {""city"": ""MADURAI"", ""landmark"": ""SAMAYANALLUR BS"", ""time"": ""08:40""}, {""city"": ""MADURAI"", ""landmark"": ""KODAI ROAD TOLL"", ""time"": ""09:10""}, {""city"": ""DINDIGUL"", ""landmark"": ""DINDIGUL"", ""time"": ""09:45""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""16:30""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""17:30""}]",2026-01-13T18:08:29.797090
0800MADBAN,,SETC,MADURAI,HOSUR,,,8.00Hrs,33 Seats Available,Standard,Rs 417,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0800MADBAN"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""846UD""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""419.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""417""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""08:00""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""08:15""}, {""city"": ""MADURAI"", ""landmark"": ""FATHIMA COLLEGE"", ""time"": ""08:30""}, {""city"": ""MADURAI"", ""landmark"": ""SAMAYANALLUR BS"", ""time"": ""08:40""}, {""city"": ""MADURAI"", ""landmark"": ""KODAI ROAD TOLL"", ""time"": ""09:10""}, {""city"": ""DINDIGUL"", ""landmark"": ""DINDIGUL"", ""time"": ""09:45""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""16:30""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""17:30""}]",2026-01-13T18:08:29.797090
0840MADHOSDD01L,,SETC,MADURAI,HOSUR,,,9.30Hrs,45 Seats Available,Standard,Rs 365,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0840MADHOSDD01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""480A""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:30""}, {""city"": ""429.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""365""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""08:40""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""18:23""}]",2026-01-13T18:08:29.797090
0840MADHOSDD01L,,SETC,MADURAI,HOSUR,,,9.30Hrs,45 Seats Available,Standard,Rs 365,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0840MADHOSDD01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""480A""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:30""}, {""city"": ""429.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""365""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""08:40""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""18:23""}]",2026-01-13T18:08:29.797090
