service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
1415NAGKCB,,SETC,NAGERCOIL,CHENNAI,,,11.00Hrs,31 Seats Available,Standard,Rs 675,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1415NAGKCB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""198UD""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""11:00""}, {""city"": ""675.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""675""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""14:15""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""THOVALAI"", ""time"": ""14:25""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""VELLAMADAM"", ""time"": ""14:35""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""ARALVAIMOZHI"", ""time"": ""14:45""}, {""city"": ""VALLIYOOR"", ""landmark"": ""VALLIYOOR"", ""time"": ""15:15""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""16:15""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""02:15""}]",2026-01-13T19:24:21.373650
1415NAGKCB,,SETC,NAGERCOIL,CHENNAI,,,11.00Hrs,31 Seats Available,Standard,Rs 675,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1415NAGKCB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""198UD""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""11:00""}, {""city"": ""675.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""675""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""14:15""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""THOVALAI"", ""time"": ""14:25""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""VELLAMADAM"", ""time"": ""14:35""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""ARALVAIMOZHI"", ""time"": ""14:45""}, {""city"": ""VALLIYOOR"", ""landmark"": ""VALLIYOOR"", ""time"": ""15:15""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""16:15""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""02:15""}]",2026-01-13T19:24:21.373650
1330KAKKCB,,SETC,NAGERCOIL,CHENNAI,,,11.00Hrs,27 Seats Available,Standard,Rs 675,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1330KAKKCB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""282UD""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""11:00""}, {""city"": ""675.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""675""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""KANYAKUMARI"", ""landmark"": ""KANYAKUMARI"", ""time"": ""13:30""}, {""city"": ""KANYAKUMARI"", ""landmark"": ""KOTTARAM"", ""time"": ""13:40""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""14:30""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""VALLIYOOR"", ""time"": ""15:15""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""16:30""}, {""city"": ""VILLUPURAM"", ""landmark"": ""VILLUPURAM"", ""time"": ""01:45""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""04:30""}]",2026-01-13T19:24:21.373650
1330KAKKCB,,SETC,NAGERCOIL,CHENNAI,,,11.00Hrs,27 Seats Available,Standard,Rs 675,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1330KAKKCB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""282UD""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""11:00""}, {""city"": ""675.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""675""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""KANYAKUMARI"", ""landmark"": ""KANYAKUMARI"", ""time"": ""13:30""}, {""city"": ""KANYAKUMARI"", ""landmark"": ""KOTTARAM"", ""time"": ""13:40""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""14:30""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""VALLIYOOR"", ""time"": ""15:15""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""16:30""}, {""city"": ""VILLUPURAM"", ""landmark"": ""VILLUPURAM"", ""time"": ""01:45""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""04:30""}]",2026-01-13T19:24:21.373650
1545NAGKCBAB,,SETC,NAGERCOIL,CHENNAI,,,11.00Hrs,30 Seats Available,Standard,Rs 874/1349,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1545NAGKCBAB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""198AB""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""11:00""}, {""city"": ""675.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""874""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""15:45""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""VELLAMADAM"", ""time"": ""15:55""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""THOVALAI"", ""time"": ""16:00""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""ARALVAIMOZHI"", ""time"": ""16:05""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""KAVALKINARU"", ""time"": ""16:15""}, {""city"": ""VALLIYOOR"", ""landmark"": ""VALLIYOOR"", ""time"": ""16:30""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""SANKAR NAGER"", ""time"": ""17:05""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""03:45""}]",2026-01-13T19:24:21.373650
1545NAGKCBAB,,SETC,NAGERCOIL,CHENNAI,,,11.00Hrs,30 Seats Available,Standard,Rs 874/1349,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1545NAGKCBAB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""198AB""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""11:00""}, {""city"": ""675.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""874""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""15:45""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""VELLAMADAM"", ""time"": ""15:55""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""THOVALAI"", ""time"": ""16:00""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""ARALVAIMOZHI"", ""time"": ""16:05""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""KAVALKINARU"", ""time"": ""16:15""}, {""city"": ""VALLIYOOR"", ""landmark"": ""VALLIYOOR"", ""time"": ""16:30""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""SANKAR NAGER"", ""time"": ""17:05""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""03:45""}]",2026-01-13T19:24:21.373650
1500MARKCB,,SETC,NAGERCOIL,CHENNAI,,,11.00Hrs,32 Seats Available,Standard,Rs 695,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1500MARKCB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""284KUD""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""11:00""}, {""city"": ""675.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""695""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MARTHANDAM"", ""landmark"": ""MARTHANDAM"", ""time"": ""15:00""}, {""city"": ""MARTHANDAM"", ""landmark"": ""MULAGUMOODU"", ""time"": ""15:10""}, {""city"": ""MARTHANDAM"", ""landmark"": ""AZHAHIYA MANDAPAM"", ""time"": ""15:15""}, {""city"": ""MARTHANDAM"", ""landmark"": ""THUCKKALAY"", ""time"": ""15:30""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""16:00""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""VALLIYOOR"", ""time"": ""16:40""}, {""city"": ""PANAKUDI"", ""landmark"": ""PANAKUDI"", ""time"": ""16:50""}, {""city"": ""KALAKKADU"", ""landmark"": ""KALAKKADU"", ""time"": ""17:00""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""04:00""}]",2026-01-13T19:24:21.373650
1500MARKCB,,SETC,NAGERCOIL,CHENNAI,,,11.00Hrs,32 Seats Available,Standard,Rs 695,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1500MARKCB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""284KUD""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""11:00""}, {""city"": ""675.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""695""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MARTHANDAM"", ""landmark"": ""MARTHANDAM"", ""time"": ""15:00""}, {""city"": ""MARTHANDAM"", ""landmark"": ""MULAGUMOODU"", ""time"": ""15:10""}, {""city"": ""MARTHANDAM"", ""landmark"": ""AZHAHIYA MANDAPAM"", ""time"": ""15:15""}, {""city"": ""MARTHANDAM"", ""landmark"": ""THUCKKALAY"", ""time"": ""15:30""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""16:00""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""VALLIYOOR"", ""time"": ""16:40""}, {""city"": ""PANAKUDI"", ""landmark"": ""PANAKUDI"", ""time"": ""16:50""}, {""city"": ""KALAKKADU"", ""landmark"": ""KALAKKADU"", ""time"": ""17:00""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""04:00""}]",2026-01-13T19:24:21.373650
1500KUSKCB,,SETC,NAGERCOIL,CHENNAI,,,11.00Hrs,28 Seats Available,Standard,Rs 675,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1500KUSKCB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""287UD""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""11:00""}, {""city"": ""675.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""675""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""KULASEKARAM"", ""landmark"": ""KULASEKARAM"", ""time"": ""15:00""}, {""city"": ""KULASEKARAM"", ""landmark"": ""THIRUVATTAR"", ""time"": ""15:20""}, {""city"": ""KULASEKARAM"", ""landmark"": ""VERKILAMBI"", ""time"": ""15:30""}, {""city"": ""KULASEKARAM"", ""landmark"": ""AZHAHIYA MANDAPAM"", ""time"": ""15:40""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""16:30""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""05:00""}]",2026-01-13T19:24:21.373650
1500KUSKCB,,SETC,NAGERCOIL,CHENNAI,,,11.00Hrs,28 Seats Available,Standard,Rs 675,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1500KUSKCB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""287UD""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""11:00""}, {""city"": ""675.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""675""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""KULASEKARAM"", ""landmark"": ""KULASEKARAM"", ""time"": ""15:00""}, {""city"": ""KULASEKARAM"", ""landmark"": ""THIRUVATTAR"", ""time"": ""15:20""}, {""city"": ""KULASEKARAM"", ""landmark"": ""VERKILAMBI"", ""time"": ""15:30""}, {""city"": ""KULASEKARAM"", ""landmark"": ""AZHAHIYA MANDAPAM"", ""time"": ""15:40""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""16:30""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""05:00""}]",2026-01-13T19:24:21.373650
