service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
0040NAGTPPTT03L,,SETC,NAGERCOIL,TIRUPPUR,,,11.35Hrs,45 Seats Available,Standard,Rs 353,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0040NAGTPPTT03L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""505TPR5""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUPPUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""11:35""}, {""city"": ""421.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""TIRUNELVEL""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""353""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""00:40""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR"", ""time"": ""11:15""}]",2026-01-13T19:25:23.269544
0040NAGTPPTT03L,,SETC,NAGERCOIL,TIRUPPUR,,,11.35Hrs,45 Seats Available,Standard,Rs 353,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0040NAGTPPTT03L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""505TPR5""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUPPUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""11:35""}, {""city"": ""421.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""TIRUNELVEL""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""353""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""00:40""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR"", ""time"": ""11:15""}]",2026-01-13T19:25:23.269544
0555NAGTPPTT03L,,SETC,NAGERCOIL,TIRUPPUR,,,11.35Hrs,45 Seats Available,Standard,Rs 353,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0555NAGTPPTT03L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""505TPR1""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUPPUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""11:35""}, {""city"": ""421.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""TIRUNELVEL""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""353""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""05:55""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR"", ""time"": ""16:30""}]",2026-01-13T19:25:23.269544
0555NAGTPPTT03L,,SETC,NAGERCOIL,TIRUPPUR,,,11.35Hrs,45 Seats Available,Standard,Rs 353,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0555NAGTPPTT03L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""505TPR1""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUPPUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""11:35""}, {""city"": ""421.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""TIRUNELVEL""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""353""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""05:55""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR"", ""time"": ""16:30""}]",2026-01-13T19:25:23.269544
0750NAGTPPCC01L,,SETC,NAGERCOIL,TIRUPPUR,,,11.00Hrs,45 Seats Available,Standard,Rs 348,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0750NAGTPPCC01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""42901""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUPPUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""11:00""}, {""city"": ""421.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""348""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""07:50""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR OLD BUSSTAND"", ""time"": ""18:35""}]",2026-01-13T19:25:23.269544
0750NAGTPPCC01L,,SETC,NAGERCOIL,TIRUPPUR,,,11.00Hrs,45 Seats Available,Standard,Rs 348,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0750NAGTPPCC01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""42901""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUPPUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""11:00""}, {""city"": ""421.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""348""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""07:50""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR OLD BUSSTAND"", ""time"": ""18:35""}]",2026-01-13T19:25:23.269544
0830NAGTPPTT03L,,SETC,NAGERCOIL,TIRUPPUR,,,11.35Hrs,45 Seats Available,Standard,Rs 353,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0830NAGTPPTT03L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""505TPR2""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUPPUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""11:35""}, {""city"": ""421.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""TIRUNELVEL""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""353""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""08:30""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR"", ""time"": ""19:05""}]",2026-01-13T19:25:23.269544
0830NAGTPPTT03L,,SETC,NAGERCOIL,TIRUPPUR,,,11.35Hrs,45 Seats Available,Standard,Rs 353,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0830NAGTPPTT03L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""505TPR2""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUPPUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""11:35""}, {""city"": ""421.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""TIRUNELVEL""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""353""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""08:30""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR"", ""time"": ""19:05""}]",2026-01-13T19:25:23.269544
1415NAGTPPTT03L,,SETC,NAGERCOIL,TIRUPPUR,,,11.35Hrs,45 Seats Available,Standard,Rs 353,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1415NAGTPPTT03L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""505TPR3""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUPPUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""11:35""}, {""city"": ""421.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""TIRUNELVEL""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""353""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""14:15""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR"", ""time"": ""00:50""}]",2026-01-13T19:25:23.269544
1415NAGTPPTT03L,,SETC,NAGERCOIL,TIRUPPUR,,,11.35Hrs,45 Seats Available,Standard,Rs 353,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1415NAGTPPTT03L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""505TPR3""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUPPUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""11:35""}, {""city"": ""421.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""TIRUNELVEL""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""353""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""14:15""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR"", ""time"": ""00:50""}]",2026-01-13T19:25:23.269544
1900NAGTPPTT03L,,SETC,NAGERCOIL,TIRUPPUR,,,11.35Hrs,45 Seats Available,Standard,Rs 353,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1900NAGTPPTT03L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""505TPR""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUPPUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""11:35""}, {""city"": ""421.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""TIRUNELVEL""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""353""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""19:00""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR"", ""time"": ""05:35""}]",2026-01-13T19:25:23.269544
1900NAGTPPTT03L,,SETC,NAGERCOIL,TIRUPPUR,,,11.35Hrs,45 Seats Available,Standard,Rs 353,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1900NAGTPPTT03L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""505TPR""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUPPUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""11:35""}, {""city"": ""421.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""TIRUNELVEL""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""353""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""19:00""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR"", ""time"": ""05:35""}]",2026-01-13T19:25:23.269544
1800MAROOT,,SETC,NAGERCOIL,TIRUPPUR,,,9.00Hrs,5 Seats Available,Standard,Rs 422,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1800MAROOT"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""669UD""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUPPUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:00""}, {""city"": ""421.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""422""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MARTHANDAM"", ""landmark"": ""MARTHANDAM"", ""time"": ""18:00""}, {""city"": ""MARTHANDAM"", ""landmark"": ""THUCKKALAY"", ""time"": ""18:15""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""19:15""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""ARALVAIMOZHI"", ""time"": ""19:45""}, {""city"": ""VALLIYOOR"", ""landmark"": ""VALLIYOOR"", ""time"": ""20:00""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""21:00""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR OLD BUSSTAND"", ""time"": ""03:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""05:00""}, {""city"": ""OOTY"", ""landmark"": ""OOTY"", ""time"": ""08:00""}]",2026-01-13T19:25:23.269544
1800MAROOT,,SETC,NAGERCOIL,TIRUPPUR,,,9.00Hrs,5 Seats Available,Standard,Rs 422,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1800MAROOT"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""669UD""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUPPUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:00""}, {""city"": ""421.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""422""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MARTHANDAM"", ""landmark"": ""MARTHANDAM"", ""time"": ""18:00""}, {""city"": ""MARTHANDAM"", ""landmark"": ""THUCKKALAY"", ""time"": ""18:15""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""19:15""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""ARALVAIMOZHI"", ""time"": ""19:45""}, {""city"": ""VALLIYOOR"", ""landmark"": ""VALLIYOOR"", ""time"": ""20:00""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""21:00""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR OLD BUSSTAND"", ""time"": ""03:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""05:00""}, {""city"": ""OOTY"", ""landmark"": ""OOTY"", ""time"": ""08:00""}]",2026-01-13T19:25:23.269544
