service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
0930KDIKCBAC,,SETC,PUDUKKOTTAI,CHENNAI,,,7.15Hrs,34 Seats Available,Standard,Rs 475,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0930KDIKCBAC"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""133AC""}, {""city"": ""PUDUKKOTTAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:15""}, {""city"": ""359.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""475""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""KARAIKUDI"", ""landmark"": ""KARAIKUDI"", ""time"": ""09:30""}, {""city"": ""PUDUKKOTTAI"", ""landmark"": ""PUDUKKOTTAI"", ""time"": ""10:45""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""18:00""}]",2026-01-13T19:50:23.320009
0930KDIKCBAC,,SETC,PUDUKKOTTAI,CHENNAI,,,7.15Hrs,34 Seats Available,Standard,Rs 475,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0930KDIKCBAC"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""133AC""}, {""city"": ""PUDUKKOTTAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:15""}, {""city"": ""359.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""475""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""KARAIKUDI"", ""landmark"": ""KARAIKUDI"", ""time"": ""09:30""}, {""city"": ""PUDUKKOTTAI"", ""landmark"": ""PUDUKKOTTAI"", ""time"": ""10:45""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""18:00""}]",2026-01-13T19:50:23.320009
2000KERKCB,,SETC,PUDUKKOTTAI,CHENNAI,,,8.00Hrs,6 Seats Available,Standard,Rs 368,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2000KERKCB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""144UD""}, {""city"": ""PUDUKKOTTAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""359.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""368""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""KEERAMANGALAM"", ""landmark"": ""KEERAMANGALAM"", ""time"": ""20:00""}, {""city"": ""ALANKUDI"", ""landmark"": ""ALANKUDI"", ""time"": ""20:30""}, {""city"": ""PUDUKKOTTAI"", ""landmark"": ""PUDUKKOTTAI"", ""time"": ""21:00""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""05:00""}]",2026-01-13T19:50:23.320009
2000KERKCB,,SETC,PUDUKKOTTAI,CHENNAI,,,8.00Hrs,6 Seats Available,Standard,Rs 368,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2000KERKCB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""144UD""}, {""city"": ""PUDUKKOTTAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""359.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""368""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""KEERAMANGALAM"", ""landmark"": ""KEERAMANGALAM"", ""time"": ""20:00""}, {""city"": ""ALANKUDI"", ""landmark"": ""ALANKUDI"", ""time"": ""20:30""}, {""city"": ""PUDUKKOTTAI"", ""landmark"": ""PUDUKKOTTAI"", ""time"": ""21:00""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""05:00""}]",2026-01-13T19:50:23.320009
2100PUKKCBNS,,SETC,PUDUKKOTTAI,CHENNAI,,,8.00Hrs,5 Seats Available,Standard,Rs 368/570,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2100PUKKCBNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""126NS""}, {""city"": ""PUDUKKOTTAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""359.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""368""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""PUDUKKOTTAI"", ""landmark"": ""PUDUKKOTTAI"", ""time"": ""21:00""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""05:00""}]",2026-01-13T19:50:23.320009
2100PUKKCBNS,,SETC,PUDUKKOTTAI,CHENNAI,,,8.00Hrs,5 Seats Available,Standard,Rs 368/570,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2100PUKKCBNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""126NS""}, {""city"": ""PUDUKKOTTAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""359.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""368""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""PUDUKKOTTAI"", ""landmark"": ""PUDUKKOTTAI"", ""time"": ""21:00""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""05:00""}]",2026-01-13T19:50:23.320009
1900EMBKCB,,SETC,PUDUKKOTTAI,CHENNAI,,,6.55Hrs,14 Seats Available,Standard,Rs 368,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1900EMBKCB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""145EUD""}, {""city"": ""PUDUKKOTTAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:55""}, {""city"": ""359.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""368""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""EMBAL"", ""landmark"": ""EMBAL"", ""time"": ""19:00""}, {""city"": ""AVUDAIYAR KOIL"", ""landmark"": ""AVUDAIYAR KOIL"", ""time"": ""19:30""}, {""city"": ""ARANTHANGI"", ""landmark"": ""ARANTHANGI"", ""time"": ""20:05""}, {""city"": ""PUDUKKOTTAI"", ""landmark"": ""PUDUKKOTTAI"", ""time"": ""21:05""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""03:00""}]",2026-01-13T19:50:23.320009
1900EMBKCB,,SETC,PUDUKKOTTAI,CHENNAI,,,6.55Hrs,14 Seats Available,Standard,Rs 368,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1900EMBKCB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""145EUD""}, {""city"": ""PUDUKKOTTAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:55""}, {""city"": ""359.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""368""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""EMBAL"", ""landmark"": ""EMBAL"", ""time"": ""19:00""}, {""city"": ""AVUDAIYAR KOIL"", ""landmark"": ""AVUDAIYAR KOIL"", ""time"": ""19:30""}, {""city"": ""ARANTHANGI"", ""landmark"": ""ARANTHANGI"", ""time"": ""20:05""}, {""city"": ""PUDUKKOTTAI"", ""landmark"": ""PUDUKKOTTAI"", ""time"": ""21:05""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""03:00""}]",2026-01-13T19:50:23.320009
2030KDIKCBAC,,SETC,PUDUKKOTTAI,CHENNAI,,,7.15Hrs,16 Seats Available,Standard,Rs 475,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2030KDIKCBAC"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""133AC""}, {""city"": ""PUDUKKOTTAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:15""}, {""city"": ""359.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""475""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""KARAIKUDI"", ""landmark"": ""KARAIKUDI"", ""time"": ""20:30""}, {""city"": ""PUDUKKOTTAI"", ""landmark"": ""PUDUKKOTTAI"", ""time"": ""21:45""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""05:00""}]",2026-01-13T19:50:23.320009
2030KDIKCBAC,,SETC,PUDUKKOTTAI,CHENNAI,,,7.15Hrs,16 Seats Available,Standard,Rs 475,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2030KDIKCBAC"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""133AC""}, {""city"": ""PUDUKKOTTAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CHENNAI-KILAMBAKKAM-KCBT""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:15""}, {""city"": ""359.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""475""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""KARAIKUDI"", ""landmark"": ""KARAIKUDI"", ""time"": ""20:30""}, {""city"": ""PUDUKKOTTAI"", ""landmark"": ""PUDUKKOTTAI"", ""time"": ""21:45""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""05:00""}]",2026-01-13T19:50:23.320009
