service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
0117SALHOSDD01L,,SETC,SALEM,HOSUR,,,3.15Hrs,45 Seats Available,Standard,Rs 135,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0117SALHOSDD01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""480F""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""3:15""}, {""city"": ""166.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""135""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""01:17""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""05:17""}]",2026-01-13T18:22:16.606631
0117SALHOSDD01L,,SETC,SALEM,HOSUR,,,3.15Hrs,45 Seats Available,Standard,Rs 135,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0117SALHOSDD01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""480F""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""3:15""}, {""city"": ""166.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""135""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""01:17""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""05:17""}]",2026-01-13T18:22:16.606631
0340SALHOSDD01L,,SETC,SALEM,HOSUR,,,3.15Hrs,45 Seats Available,Standard,Rs 135,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0340SALHOSDD01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""111G""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""3:15""}, {""city"": ""166.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""135""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""03:40""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""07:40""}]",2026-01-13T18:22:16.606631
0340SALHOSDD01L,,SETC,SALEM,HOSUR,,,3.15Hrs,45 Seats Available,Standard,Rs 135,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0340SALHOSDD01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""111G""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""3:15""}, {""city"": ""166.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""135""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""03:40""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""07:40""}]",2026-01-13T18:22:16.606631
2115TIUHOS,,SETC,SALEM,HOSUR,,,3.00Hrs,,Standard,Rs 229,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2115TIUHOS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""874HUD""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""3:00""}, {""city"": ""166.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""229""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""21:15""}, {""city"": ""VIRUDHUNAGAR"", ""landmark"": ""COLLECTOR OFFICE BUS STAND"", ""time"": ""23:30""}, {""city"": ""ARAPALAYAM"", ""landmark"": ""ARAPALAYAM"", ""time"": ""01:00""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""05:15""}, {""city"": ""KRISHNAGIRI"", ""landmark"": ""KRISHNAGIRI"", ""time"": ""08:00""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""09:15""}]",2026-01-13T18:22:16.606631
2115TIUHOS,,SETC,SALEM,HOSUR,,,3.00Hrs,,Standard,Rs 229,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2115TIUHOS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""874HUD""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""3:00""}, {""city"": ""166.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""229""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""21:15""}, {""city"": ""VIRUDHUNAGAR"", ""landmark"": ""COLLECTOR OFFICE BUS STAND"", ""time"": ""23:30""}, {""city"": ""ARAPALAYAM"", ""landmark"": ""ARAPALAYAM"", ""time"": ""01:00""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""05:15""}, {""city"": ""KRISHNAGIRI"", ""landmark"": ""KRISHNAGIRI"", ""time"": ""08:00""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""09:15""}]",2026-01-13T18:22:16.606631
0742SALHOSDD01L,,SETC,SALEM,HOSUR,,,3.15Hrs,45 Seats Available,Standard,Rs 135,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0742SALHOSDD01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""111N""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""3:15""}, {""city"": ""166.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""135""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""07:42""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""11:42""}]",2026-01-13T18:22:16.606631
0742SALHOSDD01L,,SETC,SALEM,HOSUR,,,3.15Hrs,45 Seats Available,Standard,Rs 135,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0742SALHOSDD01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""111N""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""3:15""}, {""city"": ""166.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""135""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""07:42""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""11:42""}]",2026-01-13T18:22:16.606631
0855SALHOSDD01L,,SETC,SALEM,HOSUR,,,3.15Hrs,45 Seats Available,Standard,Rs 155,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0855SALHOSDD01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""111F""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""3:15""}, {""city"": ""166.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""155""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""08:55""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""12:10""}]",2026-01-13T18:22:16.606631
0855SALHOSDD01L,,SETC,SALEM,HOSUR,,,3.15Hrs,45 Seats Available,Standard,Rs 155,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0855SALHOSDD01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""111F""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""3:15""}, {""city"": ""166.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""155""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""08:55""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""12:10""}]",2026-01-13T18:22:16.606631
