service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
0555TRIHOSDD02L,,SETC,TRICHY,HOSUR,,,8.35Hrs,47 Seats Available,Standard,Rs 279,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0555TRIHOSDD02L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""460A""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:35""}, {""city"": ""310.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""279""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""05:55""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""13:30""}]",2026-01-13T18:15:21.042409
0555TRIHOSDD02L,,SETC,TRICHY,HOSUR,,,8.35Hrs,47 Seats Available,Standard,Rs 279,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0555TRIHOSDD02L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""460A""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:35""}, {""city"": ""310.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""279""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""05:55""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""13:30""}]",2026-01-13T18:15:21.042409
0757TRIHOSDD02L,,SETC,TRICHY,HOSUR,,,8.35Hrs,47 Seats Available,Standard,Rs 279,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0757TRIHOSDD02L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""460C""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:35""}, {""city"": ""310.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""279""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""07:57""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""15:32""}]",2026-01-13T18:15:21.042409
0757TRIHOSDD02L,,SETC,TRICHY,HOSUR,,,8.35Hrs,47 Seats Available,Standard,Rs 279,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0757TRIHOSDD02L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""460C""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:35""}, {""city"": ""310.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""279""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""07:57""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""15:32""}]",2026-01-13T18:15:21.042409
0813TRIHOSDD02L,,SETC,TRICHY,HOSUR,,,8.35Hrs,47 Seats Available,Standard,Rs 279,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0813TRIHOSDD02L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""460G""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:35""}, {""city"": ""310.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""279""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""08:13""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""15:48""}]",2026-01-13T18:15:21.042409
0813TRIHOSDD02L,,SETC,TRICHY,HOSUR,,,8.35Hrs,47 Seats Available,Standard,Rs 279,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0813TRIHOSDD02L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""460G""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:35""}, {""city"": ""310.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""279""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""08:13""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""15:48""}]",2026-01-13T18:15:21.042409
0830TRIBANNS,,SETC,TRICHY,HOSUR,,,7.45Hrs,32 Seats Available,Standard,Rs 313/487,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0830TRIBANNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""827NS""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:45""}, {""city"": ""310.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""313""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""08:30""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""16:00""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""17:00""}]",2026-01-13T18:15:21.042409
0830TRIBANNS,,SETC,TRICHY,HOSUR,,,7.45Hrs,32 Seats Available,Standard,Rs 313/487,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0830TRIBANNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""827NS""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:45""}, {""city"": ""310.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""313""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""08:30""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""16:00""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""17:00""}]",2026-01-13T18:15:21.042409
1030TRIBANNS,,SETC,TRICHY,HOSUR,,,7.45Hrs,25 Seats Available,Standard,Rs 313/487,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1030TRIBANNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""827NS""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:45""}, {""city"": ""310.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""313""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""10:30""}, {""city"": ""TRICHY"", ""landmark"": ""TVS TOLL GATE"", ""time"": ""10:40""}, {""city"": ""TRICHY"", ""landmark"": ""PALPANNAI"", ""time"": ""10:45""}, {""city"": ""TRICHY"", ""landmark"": ""NO 1 TOLL GATE"", ""time"": ""10:50""}, {""city"": ""TRICHY"", ""landmark"": ""GUNASEELAM"", ""time"": ""11:05""}, {""city"": ""TRICHY"", ""landmark"": ""MUSIRI BYEPASS"", ""time"": ""11:30""}, {""city"": ""TRICHY"", ""landmark"": ""THOTTIYAM"", ""time"": ""11:45""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""18:00""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""19:00""}]",2026-01-13T18:15:21.042409
1030TRIBANNS,,SETC,TRICHY,HOSUR,,,7.45Hrs,25 Seats Available,Standard,Rs 313/487,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1030TRIBANNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""827NS""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""HOSUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:45""}, {""city"": ""310.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""313""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""10:30""}, {""city"": ""TRICHY"", ""landmark"": ""TVS TOLL GATE"", ""time"": ""10:40""}, {""city"": ""TRICHY"", ""landmark"": ""PALPANNAI"", ""time"": ""10:45""}, {""city"": ""TRICHY"", ""landmark"": ""NO 1 TOLL GATE"", ""time"": ""10:50""}, {""city"": ""TRICHY"", ""landmark"": ""GUNASEELAM"", ""time"": ""11:05""}, {""city"": ""TRICHY"", ""landmark"": ""MUSIRI BYEPASS"", ""time"": ""11:30""}, {""city"": ""TRICHY"", ""landmark"": ""THOTTIYAM"", ""time"": ""11:45""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""18:00""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""19:00""}]",2026-01-13T18:15:21.042409
