service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
1115COIMADMM05L,,SETC,COIMBATORE,MADURAI,,,5.00Hrs,43 Seats Available,Standard,Rs 165,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1115COIMADMM05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""026P""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:00""}, {""city"": ""218.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""165""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""SINGANALLUR BS"", ""time"": ""11:15""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""16:15""}]",2026-01-13T18:23:15.081968
1115COIMADMM05L,,SETC,COIMBATORE,MADURAI,,,5.00Hrs,43 Seats Available,Standard,Rs 165,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1115COIMADMM05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""026P""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:00""}, {""city"": ""218.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""165""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""SINGANALLUR BS"", ""time"": ""11:15""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""16:15""}]",2026-01-13T18:23:15.081968
1335COIMADMM01A,,SETC,COIMBATORE,MADURAI,,,5.00Hrs,47 Seats Available,Standard,Rs 203,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1335COIMADMM01A"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""144A2""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:00""}, {""city"": ""240.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""203""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""SINGANALLUR BS"", ""time"": ""13:35""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""18:35""}]",2026-01-13T18:23:15.081968
1335COIMADMM01A,,SETC,COIMBATORE,MADURAI,,,5.00Hrs,47 Seats Available,Standard,Rs 203,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1335COIMADMM01A"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""144A2""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:00""}, {""city"": ""240.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""203""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""SINGANALLUR BS"", ""time"": ""13:35""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""18:35""}]",2026-01-13T18:23:15.081968
1410COIMADMM01L,,SETC,COIMBATORE,MADURAI,,,5.00Hrs,45 Seats Available,Standard,Rs 165,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1410COIMADMM01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""146I1""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:00""}, {""city"": ""218.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""165""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""SINGANALLUR BS"", ""time"": ""14:10""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""19:10""}]",2026-01-13T18:23:15.081968
1410COIMADMM01L,,SETC,COIMBATORE,MADURAI,,,5.00Hrs,45 Seats Available,Standard,Rs 165,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1410COIMADMM01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""146I1""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:00""}, {""city"": ""218.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""165""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""SINGANALLUR BS"", ""time"": ""14:10""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""19:10""}]",2026-01-13T18:23:15.081968
1610COIMADMM05L,,SETC,COIMBATORE,MADURAI,,,5.00Hrs,45 Seats Available,Standard,Rs 165,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1610COIMADMM05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""015C""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:00""}, {""city"": ""218.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""165""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""SINGANALLUR BS"", ""time"": ""16:10""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""21:10""}]",2026-01-13T18:23:15.081968
1610COIMADMM05L,,SETC,COIMBATORE,MADURAI,,,5.00Hrs,45 Seats Available,Standard,Rs 165,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1610COIMADMM05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""015C""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:00""}, {""city"": ""218.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""165""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""SINGANALLUR BS"", ""time"": ""16:10""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""21:10""}]",2026-01-13T18:23:15.081968
1945COIMADMM01L,,SETC,COIMBATORE,MADURAI,,,5.00Hrs,45 Seats Available,Standard,Rs 165,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1945COIMADMM01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""161B2""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:00""}, {""city"": ""218.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""165""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""SINGANALLUR BS"", ""time"": ""19:45""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""00:45""}]",2026-01-13T18:23:15.081968
1945COIMADMM01L,,SETC,COIMBATORE,MADURAI,,,5.00Hrs,45 Seats Available,Standard,Rs 165,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1945COIMADMM01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""161B2""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:00""}, {""city"": ""218.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""165""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""SINGANALLUR BS"", ""time"": ""19:45""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""00:45""}]",2026-01-13T18:23:15.081968
