service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
1230COITHACC01L,,SETC,COIMBATORE,THANJAVUR,,,8.00Hrs,45 Seats Available,Standard,Rs 195,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1230COITHACC01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""863D""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""THANJAVUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""284.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""195""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""SINGANALLUR BS"", ""time"": ""12:30""}, {""city"": ""THANJAVUR"", ""landmark"": ""THANJAVUR"", ""time"": ""20:30""}]",2026-01-13T18:27:29.551491
1230COITHACC01L,,SETC,COIMBATORE,THANJAVUR,,,8.00Hrs,45 Seats Available,Standard,Rs 195,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1230COITHACC01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""863D""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""THANJAVUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""284.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""195""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""SINGANALLUR BS"", ""time"": ""12:30""}, {""city"": ""THANJAVUR"", ""landmark"": ""THANJAVUR"", ""time"": ""20:30""}]",2026-01-13T18:27:29.551491
1425COITHACC01A,,SETC,COIMBATORE,THANJAVUR,,,7.25Hrs,47 Seats Available,Standard,Rs 259,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1425COITHACC01A"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""863A""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""THANJAVUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:25""}, {""city"": ""284.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""259""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""SINGANALLUR BS"", ""time"": ""14:25""}, {""city"": ""THANJAVUR"", ""landmark"": ""THANJAVUR"", ""time"": ""21:50""}]",2026-01-13T18:27:29.551491
1425COITHACC01A,,SETC,COIMBATORE,THANJAVUR,,,7.25Hrs,47 Seats Available,Standard,Rs 259,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1425COITHACC01A"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""863A""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""THANJAVUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:25""}, {""city"": ""284.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""259""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""SINGANALLUR BS"", ""time"": ""14:25""}, {""city"": ""THANJAVUR"", ""landmark"": ""THANJAVUR"", ""time"": ""21:50""}]",2026-01-13T18:27:29.551491
1815COITHACC01L,,SETC,COIMBATORE,THANJAVUR,,,8.00Hrs,45 Seats Available,Standard,Rs 195,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1815COITHACC01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""863C""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""THANJAVUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""284.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""195""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""SINGANALLUR BS"", ""time"": ""18:15""}, {""city"": ""THANJAVUR"", ""landmark"": ""THANJAVUR"", ""time"": ""02:15""}]",2026-01-13T18:27:29.551491
1815COITHACC01L,,SETC,COIMBATORE,THANJAVUR,,,8.00Hrs,45 Seats Available,Standard,Rs 195,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1815COITHACC01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""863C""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""THANJAVUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""284.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""195""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""SINGANALLUR BS"", ""time"": ""18:15""}, {""city"": ""THANJAVUR"", ""landmark"": ""THANJAVUR"", ""time"": ""02:15""}]",2026-01-13T18:27:29.551491
2130COIMYL,,SETC,COIMBATORE,THANJAVUR,,,7.20Hrs,30 Seats Available,Standard,Rs 284,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2130COIMYL"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""722UD""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""THANJAVUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:20""}, {""city"": ""284.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""284""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""21:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""SINGANALLUR BS"", ""time"": ""22:00""}, {""city"": ""COIMBATORE"", ""landmark"": ""SULUR"", ""time"": ""22:15""}, {""city"": ""THANJAVUR"", ""landmark"": ""THANJAVUR"", ""time"": ""05:00""}, {""city"": ""KUMBAKONAM"", ""landmark"": ""KUMBAKONAM"", ""time"": ""06:00""}, {""city"": ""MAYILADUTHURAI"", ""landmark"": ""MYLADUTHURAI"", ""time"": ""06:30""}]",2026-01-13T18:27:29.551491
2130COIMYL,,SETC,COIMBATORE,THANJAVUR,,,7.20Hrs,30 Seats Available,Standard,Rs 284,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2130COIMYL"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""722UD""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""THANJAVUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:20""}, {""city"": ""284.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""284""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""21:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""SINGANALLUR BS"", ""time"": ""22:00""}, {""city"": ""COIMBATORE"", ""landmark"": ""SULUR"", ""time"": ""22:15""}, {""city"": ""THANJAVUR"", ""landmark"": ""THANJAVUR"", ""time"": ""05:00""}, {""city"": ""KUMBAKONAM"", ""landmark"": ""KUMBAKONAM"", ""time"": ""06:00""}, {""city"": ""MAYILADUTHURAI"", ""landmark"": ""MYLADUTHURAI"", ""time"": ""06:30""}]",2026-01-13T18:27:29.551491
2235COITHACC01L,,SETC,COIMBATORE,THANJAVUR,,,8.00Hrs,43 Seats Available,Standard,Rs 195,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2235COITHACC01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""866C""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""THANJAVUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""284.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""195""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""SINGANALLUR BS"", ""time"": ""22:35""}, {""city"": ""THANJAVUR"", ""landmark"": ""THANJAVUR"", ""time"": ""06:35""}]",2026-01-13T18:27:29.551491
2235COITHACC01L,,SETC,COIMBATORE,THANJAVUR,,,8.00Hrs,43 Seats Available,Standard,Rs 195,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2235COITHACC01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""866C""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""THANJAVUR""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""284.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""195""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""SINGANALLUR BS"", ""time"": ""22:35""}, {""city"": ""THANJAVUR"", ""landmark"": ""THANJAVUR"", ""time"": ""06:35""}]",2026-01-13T18:27:29.551491
