service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
1830COITIPNS,,SETC,COIMBATORE,VELLORE,,,10.30Hrs,10 Seats Available,Standard,Rs 397/620,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1830COITIPNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""962TNS""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""10:30""}, {""city"": ""399.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""397""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""18:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""HOPE COLLEGE"", ""time"": ""18:45""}, {""city"": ""COIMBATORE"", ""landmark"": ""AVINASHI NEW BUS STAND"", ""time"": ""19:15""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""21:00""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""04:00""}, {""city"": ""TIRUPATHI"", ""landmark"": ""TIRUPATHI"", ""time"": ""06:00""}]",2026-01-13T18:24:14.880603
1830COITIPNS,,SETC,COIMBATORE,VELLORE,,,10.30Hrs,10 Seats Available,Standard,Rs 397/620,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1830COITIPNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""962TNS""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""10:30""}, {""city"": ""399.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""397""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""18:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""HOPE COLLEGE"", ""time"": ""18:45""}, {""city"": ""COIMBATORE"", ""landmark"": ""AVINASHI NEW BUS STAND"", ""time"": ""19:15""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""21:00""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""04:00""}, {""city"": ""TIRUPATHI"", ""landmark"": ""TIRUPATHI"", ""time"": ""06:00""}]",2026-01-13T18:24:14.880603
1600TRSCHE,,SETC,COIMBATORE,VELLORE,,,7.30Hrs,30 Seats Available,Standard,Rs 397,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1600TRSCHE"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""787UD""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:30""}, {""city"": ""399.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""397""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRISSUR"", ""landmark"": ""TRISSUR KSRTC B.S"", ""time"": ""16:00""}, {""city"": ""PALGHAT"", ""landmark"": ""PALGHAT KSRTC B.S"", ""time"": ""17:15""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""19:00""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""03:00""}, {""city"": ""CHENNAI-PT DR. M.G.R. BS"", ""landmark"": ""POONMALEE BYPASS MTC DEPOT NR"", ""time"": ""05:00""}, {""city"": ""CHENNAI-PT DR. M.G.R. BS"", ""landmark"": ""CHENNAI-PT Dr.M.G.R. BS"", ""time"": ""05:30""}]",2026-01-13T18:24:14.880603
1600TRSCHE,,SETC,COIMBATORE,VELLORE,,,7.30Hrs,30 Seats Available,Standard,Rs 397,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1600TRSCHE"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""787UD""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:30""}, {""city"": ""399.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""397""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRISSUR"", ""landmark"": ""TRISSUR KSRTC B.S"", ""time"": ""16:00""}, {""city"": ""PALGHAT"", ""landmark"": ""PALGHAT KSRTC B.S"", ""time"": ""17:15""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""19:00""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""03:00""}, {""city"": ""CHENNAI-PT DR. M.G.R. BS"", ""landmark"": ""POONMALEE BYPASS MTC DEPOT NR"", ""time"": ""05:00""}, {""city"": ""CHENNAI-PT DR. M.G.R. BS"", ""landmark"": ""CHENNAI-PT Dr.M.G.R. BS"", ""time"": ""05:30""}]",2026-01-13T18:24:14.880603
1930COITIPAB,,SETC,COIMBATORE,VELLORE,,,8.00Hrs,33 Seats Available,Standard,Rs 519/800,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1930COITIPAB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""962AB""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""399.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""519""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""19:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""HOPE COLLEGE"", ""time"": ""19:45""}, {""city"": ""COIMBATORE"", ""landmark"": ""AVINASHI NEW BUS STAND"", ""time"": ""20:15""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""22:00""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""04:30""}, {""city"": ""CHITTOR"", ""landmark"": ""CHITT0OR"", ""time"": ""05:15""}, {""city"": ""TIRUPATHI"", ""landmark"": ""TIRUPATHI"", ""time"": ""07:00""}]",2026-01-13T18:24:14.880603
1930COITIPAB,,SETC,COIMBATORE,VELLORE,,,8.00Hrs,33 Seats Available,Standard,Rs 519/800,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1930COITIPAB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""962AB""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""399.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""519""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""19:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""HOPE COLLEGE"", ""time"": ""19:45""}, {""city"": ""COIMBATORE"", ""landmark"": ""AVINASHI NEW BUS STAND"", ""time"": ""20:15""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""22:00""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""04:30""}, {""city"": ""CHITTOR"", ""landmark"": ""CHITT0OR"", ""time"": ""05:15""}, {""city"": ""TIRUPATHI"", ""landmark"": ""TIRUPATHI"", ""time"": ""07:00""}]",2026-01-13T18:24:14.880603
1930COICHEAB,,SETC,COIMBATORE,VELLORE,,,6.00Hrs,32 Seats Available,Standard,Rs 517/798,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1930COICHEAB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""460AB""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:00""}, {""city"": ""399.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""517""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""19:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""HOPE COLLEGE"", ""time"": ""19:45""}, {""city"": ""COIMBATORE"", ""landmark"": ""KMC HOSPITAL"", ""time"": ""20:00""}, {""city"": ""COIMBATORE"", ""landmark"": ""AVINASHI NEW BUS STAND"", ""time"": ""20:15""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""03:00""}, {""city"": ""POONAMALLEE"", ""landmark"": ""POONAMALLEE"", ""time"": ""06:00""}, {""city"": ""CHENNAI-PT DR. M.G.R. BS"", ""landmark"": ""CHENNAI-PT Dr.M.G.R. BS"", ""time"": ""06:30""}]",2026-01-13T18:24:14.880603
1930COICHEAB,,SETC,COIMBATORE,VELLORE,,,6.00Hrs,32 Seats Available,Standard,Rs 517/798,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1930COICHEAB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""460AB""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:00""}, {""city"": ""399.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""517""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""19:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""HOPE COLLEGE"", ""time"": ""19:45""}, {""city"": ""COIMBATORE"", ""landmark"": ""KMC HOSPITAL"", ""time"": ""20:00""}, {""city"": ""COIMBATORE"", ""landmark"": ""AVINASHI NEW BUS STAND"", ""time"": ""20:15""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""03:00""}, {""city"": ""POONAMALLEE"", ""landmark"": ""POONAMALLEE"", ""time"": ""06:00""}, {""city"": ""CHENNAI-PT DR. M.G.R. BS"", ""landmark"": ""CHENNAI-PT Dr.M.G.R. BS"", ""time"": ""06:30""}]",2026-01-13T18:24:14.880603
2000COITIPAC,,SETC,COIMBATORE,VELLORE,,,8.00Hrs,24 Seats Available,Standard,Rs 519,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2000COITIPAC"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""962AC""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""399.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""519""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""20:00""}, {""city"": ""COIMBATORE"", ""landmark"": ""HOPE COLLEGE"", ""time"": ""20:15""}, {""city"": ""COIMBATORE"", ""landmark"": ""AVINASHI NEW BUS STAND"", ""time"": ""20:45""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""22:30""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""05:00""}, {""city"": ""CHITTOR"", ""landmark"": ""CHITT0OR"", ""time"": ""05:45""}, {""city"": ""TIRUPATHI"", ""landmark"": ""TIRUPATHI"", ""time"": ""07:30""}]",2026-01-13T18:24:14.880603
2000COITIPAC,,SETC,COIMBATORE,VELLORE,,,8.00Hrs,24 Seats Available,Standard,Rs 519,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2000COITIPAC"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""962AC""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""399.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""519""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""20:00""}, {""city"": ""COIMBATORE"", ""landmark"": ""HOPE COLLEGE"", ""time"": ""20:15""}, {""city"": ""COIMBATORE"", ""landmark"": ""AVINASHI NEW BUS STAND"", ""time"": ""20:45""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""22:30""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""05:00""}, {""city"": ""CHITTOR"", ""landmark"": ""CHITT0OR"", ""time"": ""05:45""}, {""city"": ""TIRUPATHI"", ""landmark"": ""TIRUPATHI"", ""time"": ""07:30""}]",2026-01-13T18:24:14.880603
