service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
1005EROVELCC01L,,SETC,ERODE,VELLORE,,,7.15Hrs,45 Seats Available,Standard,Rs 216,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1005EROVELCC01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""27902""}, {""city"": ""ERODE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:15""}, {""city"": ""296.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""216""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""10:05""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""17:20""}]",2026-01-13T18:37:49.325198
1005EROVELCC01L,,SETC,ERODE,VELLORE,,,7.15Hrs,45 Seats Available,Standard,Rs 216,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1005EROVELCC01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""27902""}, {""city"": ""ERODE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:15""}, {""city"": ""296.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""216""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""10:05""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""17:20""}]",2026-01-13T18:37:49.325198
1830COITIPNS,,SETC,ERODE,VELLORE,,,7.00Hrs,10 Seats Available,Standard,Rs 294/457,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1830COITIPNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""962TNS""}, {""city"": ""ERODE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:00""}, {""city"": ""296.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""294""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""18:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""HOPE COLLEGE"", ""time"": ""18:45""}, {""city"": ""COIMBATORE"", ""landmark"": ""AVINASHI NEW BUS STAND"", ""time"": ""19:15""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""21:00""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""04:00""}, {""city"": ""TIRUPATHI"", ""landmark"": ""TIRUPATHI"", ""time"": ""06:00""}]",2026-01-13T18:37:49.325198
1830COITIPNS,,SETC,ERODE,VELLORE,,,7.00Hrs,10 Seats Available,Standard,Rs 294/457,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1830COITIPNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""962TNS""}, {""city"": ""ERODE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:00""}, {""city"": ""296.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""294""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""18:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""HOPE COLLEGE"", ""time"": ""18:45""}, {""city"": ""COIMBATORE"", ""landmark"": ""AVINASHI NEW BUS STAND"", ""time"": ""19:15""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""21:00""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""04:00""}, {""city"": ""TIRUPATHI"", ""landmark"": ""TIRUPATHI"", ""time"": ""06:00""}]",2026-01-13T18:37:49.325198
1930COITIPAB,,SETC,ERODE,VELLORE,,,5.30Hrs,33 Seats Available,Standard,Rs 382/590,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1930COITIPAB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""962AB""}, {""city"": ""ERODE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:30""}, {""city"": ""296.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""382""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""19:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""HOPE COLLEGE"", ""time"": ""19:45""}, {""city"": ""COIMBATORE"", ""landmark"": ""AVINASHI NEW BUS STAND"", ""time"": ""20:15""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""22:00""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""04:30""}, {""city"": ""CHITTOR"", ""landmark"": ""CHITT0OR"", ""time"": ""05:15""}, {""city"": ""TIRUPATHI"", ""landmark"": ""TIRUPATHI"", ""time"": ""07:00""}]",2026-01-13T18:37:49.325198
1930COITIPAB,,SETC,ERODE,VELLORE,,,5.30Hrs,33 Seats Available,Standard,Rs 382/590,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1930COITIPAB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""962AB""}, {""city"": ""ERODE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:30""}, {""city"": ""296.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""382""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""19:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""HOPE COLLEGE"", ""time"": ""19:45""}, {""city"": ""COIMBATORE"", ""landmark"": ""AVINASHI NEW BUS STAND"", ""time"": ""20:15""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""22:00""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""04:30""}, {""city"": ""CHITTOR"", ""landmark"": ""CHITT0OR"", ""time"": ""05:15""}, {""city"": ""TIRUPATHI"", ""landmark"": ""TIRUPATHI"", ""time"": ""07:00""}]",2026-01-13T18:37:49.325198
2000COITIPAC,,SETC,ERODE,VELLORE,,,5.30Hrs,24 Seats Available,Standard,Rs 385,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2000COITIPAC"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""962AC""}, {""city"": ""ERODE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:30""}, {""city"": ""296.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""385""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""20:00""}, {""city"": ""COIMBATORE"", ""landmark"": ""HOPE COLLEGE"", ""time"": ""20:15""}, {""city"": ""COIMBATORE"", ""landmark"": ""AVINASHI NEW BUS STAND"", ""time"": ""20:45""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""22:30""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""05:00""}, {""city"": ""CHITTOR"", ""landmark"": ""CHITT0OR"", ""time"": ""05:45""}, {""city"": ""TIRUPATHI"", ""landmark"": ""TIRUPATHI"", ""time"": ""07:30""}]",2026-01-13T18:37:49.325198
2000COITIPAC,,SETC,ERODE,VELLORE,,,5.30Hrs,24 Seats Available,Standard,Rs 385,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2000COITIPAC"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""962AC""}, {""city"": ""ERODE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:30""}, {""city"": ""296.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""385""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""20:00""}, {""city"": ""COIMBATORE"", ""landmark"": ""HOPE COLLEGE"", ""time"": ""20:15""}, {""city"": ""COIMBATORE"", ""landmark"": ""AVINASHI NEW BUS STAND"", ""time"": ""20:45""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""22:30""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""05:00""}, {""city"": ""CHITTOR"", ""landmark"": ""CHITT0OR"", ""time"": ""05:45""}, {""city"": ""TIRUPATHI"", ""landmark"": ""TIRUPATHI"", ""time"": ""07:30""}]",2026-01-13T18:37:49.325198
2233EROVELCC01L,,SETC,ERODE,VELLORE,,,7.15Hrs,45 Seats Available,Standard,Rs 216,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2233EROVELCC01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""27903""}, {""city"": ""ERODE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:15""}, {""city"": ""296.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""216""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""22:33""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""05:48""}]",2026-01-13T18:37:49.325198
2233EROVELCC01L,,SETC,ERODE,VELLORE,,,7.15Hrs,45 Seats Available,Standard,Rs 216,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2233EROVELCC01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""27903""}, {""city"": ""ERODE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:15""}, {""city"": ""296.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""216""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""22:33""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""05:48""}]",2026-01-13T18:37:49.325198
