service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
0015SALVELVV05L,,SETC,SALEM,VELLORE,,,17.03Hrs,45 Seats Available,Standard,Rs 186,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0015SALVELVV05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""322H""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""17:03""}, {""city"": ""218.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""186""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""00:15""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""05:25""}]",2026-01-13T18:17:27.110687
0015SALVELVV05L,,SETC,SALEM,VELLORE,,,17.03Hrs,45 Seats Available,Standard,Rs 186,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0015SALVELVV05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""322H""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""17:03""}, {""city"": ""218.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""186""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""00:15""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""05:25""}]",2026-01-13T18:17:27.110687
0200SALVELVV05L,,SETC,SALEM,VELLORE,,,17.03Hrs,45 Seats Available,Standard,Rs 186,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0200SALVELVV05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""322N""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""17:03""}, {""city"": ""218.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""186""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""02:00""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""07:10""}]",2026-01-13T18:17:27.110687
0200SALVELVV05L,,SETC,SALEM,VELLORE,,,17.03Hrs,45 Seats Available,Standard,Rs 186,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0200SALVELVV05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""322N""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""17:03""}, {""city"": ""218.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""186""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""02:00""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""07:10""}]",2026-01-13T18:17:27.110687
0220SALVELVV05L,,SETC,SALEM,VELLORE,,,5.00Hrs,45 Seats Available,Standard,Rs 186,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0220SALVELVV05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""322O""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:00""}, {""city"": ""218.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""186""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""02:20""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""07:20""}]",2026-01-13T18:17:27.110687
0220SALVELVV05L,,SETC,SALEM,VELLORE,,,5.00Hrs,45 Seats Available,Standard,Rs 186,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0220SALVELVV05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""322O""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:00""}, {""city"": ""218.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""186""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""02:20""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""07:20""}]",2026-01-13T18:17:27.110687
0430SALVELVV05L,,SETC,SALEM,VELLORE,,,5.00Hrs,45 Seats Available,Standard,Rs 186,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0430SALVELVV05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""322P""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:00""}, {""city"": ""218.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""186""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""04:30""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""09:30""}]",2026-01-13T18:17:27.110687
0430SALVELVV05L,,SETC,SALEM,VELLORE,,,5.00Hrs,45 Seats Available,Standard,Rs 186,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0430SALVELVV05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""322P""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:00""}, {""city"": ""218.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""186""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""04:30""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""09:30""}]",2026-01-13T18:17:27.110687
0645SALVELVV05L,,SETC,SALEM,VELLORE,,,5.00Hrs,45 Seats Available,Standard,Rs 186,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0645SALVELVV05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""322Q""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:00""}, {""city"": ""218.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""186""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""06:45""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""11:45""}]",2026-01-13T18:17:27.110687
0645SALVELVV05L,,SETC,SALEM,VELLORE,,,5.00Hrs,45 Seats Available,Standard,Rs 186,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0645SALVELVV05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""322Q""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:00""}, {""city"": ""218.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""186""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""06:45""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""11:45""}]",2026-01-13T18:17:27.110687
