service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
0900COIBANNS,,SETC,COIMBATORE,BENGALURU,,,9.00Hrs,37 Seats Available,Standard,Rs 477/630,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0900COIBANNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""838NS""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:00""}, {""city"": ""377.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""477""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""09:00""}, {""city"": ""COIMBATORE"", ""landmark"": ""LAKSHMI MILLS"", ""time"": ""09:05""}, {""city"": ""COIMBATORE"", ""landmark"": ""PEELAMEDU"", ""time"": ""09:15""}, {""city"": ""COIMBATORE"", ""landmark"": ""HOPE COLLEGE"", ""time"": ""09:20""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE MEDICAL COLLEGE"", ""time"": ""09:21""}, {""city"": ""COIMBATORE"", ""landmark"": ""KMC HOSPITAL"", ""time"": ""09:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""NEELAMBUR BYE PASS"", ""time"": ""09:35""}, {""city"": ""COIMBATORE"", ""landmark"": ""KARUMATHAMPATTI"", ""time"": ""09:40""}, {""city"": ""COIMBATORE"", ""landmark"": ""AVINASHI NEW BUS STAND"", ""time"": ""09:55""}, {""city"": ""COIMBATORE"", ""landmark"": ""VIJAYAMANGALAM TOLL"", ""time"": ""10:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""BHAVANI BYE PASS LAKSHMI NAGAR"", ""time"": ""11:00""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""16:30""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""18:00""}]",2026-01-13T18:29:24.168831
0900COIBANNS,,SETC,COIMBATORE,BENGALURU,,,9.00Hrs,37 Seats Available,Standard,Rs 477/630,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0900COIBANNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""838NS""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:00""}, {""city"": ""377.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""477""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""09:00""}, {""city"": ""COIMBATORE"", ""landmark"": ""LAKSHMI MILLS"", ""time"": ""09:05""}, {""city"": ""COIMBATORE"", ""landmark"": ""PEELAMEDU"", ""time"": ""09:15""}, {""city"": ""COIMBATORE"", ""landmark"": ""HOPE COLLEGE"", ""time"": ""09:20""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE MEDICAL COLLEGE"", ""time"": ""09:21""}, {""city"": ""COIMBATORE"", ""landmark"": ""KMC HOSPITAL"", ""time"": ""09:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""NEELAMBUR BYE PASS"", ""time"": ""09:35""}, {""city"": ""COIMBATORE"", ""landmark"": ""KARUMATHAMPATTI"", ""time"": ""09:40""}, {""city"": ""COIMBATORE"", ""landmark"": ""AVINASHI NEW BUS STAND"", ""time"": ""09:55""}, {""city"": ""COIMBATORE"", ""landmark"": ""VIJAYAMANGALAM TOLL"", ""time"": ""10:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""BHAVANI BYE PASS LAKSHMI NAGAR"", ""time"": ""11:00""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""16:30""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""18:00""}]",2026-01-13T18:29:24.168831
1000COIBANNS,,SETC,COIMBATORE,BENGALURU,,,9.00Hrs,37 Seats Available,Standard,Rs 477/630,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1000COIBANNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""838NS""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:00""}, {""city"": ""377.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""477""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""10:00""}, {""city"": ""COIMBATORE"", ""landmark"": ""LAKSHMI MILLS"", ""time"": ""10:05""}, {""city"": ""COIMBATORE"", ""landmark"": ""PEELAMEDU"", ""time"": ""10:15""}, {""city"": ""COIMBATORE"", ""landmark"": ""HOPE COLLEGE"", ""time"": ""10:20""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE MEDICAL COLLEGE"", ""time"": ""10:21""}, {""city"": ""COIMBATORE"", ""landmark"": ""KMC HOSPITAL"", ""time"": ""10:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""NEELAMBUR BYE PASS"", ""time"": ""10:35""}, {""city"": ""COIMBATORE"", ""landmark"": ""KARUMATHAMPATTI"", ""time"": ""10:40""}, {""city"": ""COIMBATORE"", ""landmark"": ""AVINASHI NEW BUS STAND"", ""time"": ""10:55""}, {""city"": ""COIMBATORE"", ""landmark"": ""VIJAYAMANGALAM TOLL"", ""time"": ""11:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""BHAVANI BYE PASS LAKSHMI NAGAR"", ""time"": ""12:00""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""17:30""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""19:00""}]",2026-01-13T18:29:24.168831
1000COIBANNS,,SETC,COIMBATORE,BENGALURU,,,9.00Hrs,37 Seats Available,Standard,Rs 477/630,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1000COIBANNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""838NS""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:00""}, {""city"": ""377.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""477""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""10:00""}, {""city"": ""COIMBATORE"", ""landmark"": ""LAKSHMI MILLS"", ""time"": ""10:05""}, {""city"": ""COIMBATORE"", ""landmark"": ""PEELAMEDU"", ""time"": ""10:15""}, {""city"": ""COIMBATORE"", ""landmark"": ""HOPE COLLEGE"", ""time"": ""10:20""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE MEDICAL COLLEGE"", ""time"": ""10:21""}, {""city"": ""COIMBATORE"", ""landmark"": ""KMC HOSPITAL"", ""time"": ""10:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""NEELAMBUR BYE PASS"", ""time"": ""10:35""}, {""city"": ""COIMBATORE"", ""landmark"": ""KARUMATHAMPATTI"", ""time"": ""10:40""}, {""city"": ""COIMBATORE"", ""landmark"": ""AVINASHI NEW BUS STAND"", ""time"": ""10:55""}, {""city"": ""COIMBATORE"", ""landmark"": ""VIJAYAMANGALAM TOLL"", ""time"": ""11:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""BHAVANI BYE PASS LAKSHMI NAGAR"", ""time"": ""12:00""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""17:30""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""19:00""}]",2026-01-13T18:29:24.168831
1100COIBANAB,,SETC,COIMBATORE,BENGALURU,,,9.00Hrs,33 Seats Available,Standard,Rs 574/778,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1100COIBANAB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""838AB""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:00""}, {""city"": ""377.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""574""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""11:00""}, {""city"": ""COIMBATORE"", ""landmark"": ""LAKSHMI MILLS"", ""time"": ""11:05""}, {""city"": ""COIMBATORE"", ""landmark"": ""PEELAMEDU"", ""time"": ""11:15""}, {""city"": ""COIMBATORE"", ""landmark"": ""HOPE COLLEGE"", ""time"": ""11:20""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE MEDICAL COLLEGE"", ""time"": ""11:21""}, {""city"": ""COIMBATORE"", ""landmark"": ""KMC HOSPITAL"", ""time"": ""11:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""NEELAMBUR BYE PASS"", ""time"": ""11:35""}, {""city"": ""COIMBATORE"", ""landmark"": ""KARUMATHAMPATTI"", ""time"": ""11:40""}, {""city"": ""COIMBATORE"", ""landmark"": ""AVINASHI NEW BUS STAND"", ""time"": ""11:55""}, {""city"": ""COIMBATORE"", ""landmark"": ""VIJAYAMANGALAM TOLL"", ""time"": ""12:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""BHAVANI BYE PASS LAKSHMI NAGAR"", ""time"": ""13:00""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""20:00""}]",2026-01-13T18:29:24.168831
1100COIBANAB,,SETC,COIMBATORE,BENGALURU,,,9.00Hrs,33 Seats Available,Standard,Rs 574/778,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1100COIBANAB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""838AB""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:00""}, {""city"": ""377.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""574""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""11:00""}, {""city"": ""COIMBATORE"", ""landmark"": ""LAKSHMI MILLS"", ""time"": ""11:05""}, {""city"": ""COIMBATORE"", ""landmark"": ""PEELAMEDU"", ""time"": ""11:15""}, {""city"": ""COIMBATORE"", ""landmark"": ""HOPE COLLEGE"", ""time"": ""11:20""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE MEDICAL COLLEGE"", ""time"": ""11:21""}, {""city"": ""COIMBATORE"", ""landmark"": ""KMC HOSPITAL"", ""time"": ""11:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""NEELAMBUR BYE PASS"", ""time"": ""11:35""}, {""city"": ""COIMBATORE"", ""landmark"": ""KARUMATHAMPATTI"", ""time"": ""11:40""}, {""city"": ""COIMBATORE"", ""landmark"": ""AVINASHI NEW BUS STAND"", ""time"": ""11:55""}, {""city"": ""COIMBATORE"", ""landmark"": ""VIJAYAMANGALAM TOLL"", ""time"": ""12:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""BHAVANI BYE PASS LAKSHMI NAGAR"", ""time"": ""13:00""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""20:00""}]",2026-01-13T18:29:24.168831
1200COIBANAB,,SETC,COIMBATORE,BENGALURU,,,9.00Hrs,33 Seats Available,Standard,Rs 574/778,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1200COIBANAB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""838AB""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:00""}, {""city"": ""377.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""574""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""12:00""}, {""city"": ""COIMBATORE"", ""landmark"": ""LAKSHMI MILLS"", ""time"": ""12:05""}, {""city"": ""COIMBATORE"", ""landmark"": ""PEELAMEDU"", ""time"": ""12:15""}, {""city"": ""COIMBATORE"", ""landmark"": ""HOPE COLLEGE"", ""time"": ""12:20""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE MEDICAL COLLEGE"", ""time"": ""12:21""}, {""city"": ""COIMBATORE"", ""landmark"": ""KMC HOSPITAL"", ""time"": ""12:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""KARUMATHAMPATTI"", ""time"": ""12:40""}, {""city"": ""COIMBATORE"", ""landmark"": ""AVINASHI NEW BUS STAND"", ""time"": ""12:55""}, {""city"": ""COIMBATORE"", ""landmark"": ""VIJAYAMANGALAM TOLL"", ""time"": ""13:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""BHAVANI BYE PASS LAKSHMI NAGAR"", ""time"": ""14:00""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""20:00""}]",2026-01-13T18:29:24.168831
1200COIBANAB,,SETC,COIMBATORE,BENGALURU,,,9.00Hrs,33 Seats Available,Standard,Rs 574/778,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1200COIBANAB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""838AB""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:00""}, {""city"": ""377.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""574""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""12:00""}, {""city"": ""COIMBATORE"", ""landmark"": ""LAKSHMI MILLS"", ""time"": ""12:05""}, {""city"": ""COIMBATORE"", ""landmark"": ""PEELAMEDU"", ""time"": ""12:15""}, {""city"": ""COIMBATORE"", ""landmark"": ""HOPE COLLEGE"", ""time"": ""12:20""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE MEDICAL COLLEGE"", ""time"": ""12:21""}, {""city"": ""COIMBATORE"", ""landmark"": ""KMC HOSPITAL"", ""time"": ""12:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""KARUMATHAMPATTI"", ""time"": ""12:40""}, {""city"": ""COIMBATORE"", ""landmark"": ""AVINASHI NEW BUS STAND"", ""time"": ""12:55""}, {""city"": ""COIMBATORE"", ""landmark"": ""VIJAYAMANGALAM TOLL"", ""time"": ""13:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""BHAVANI BYE PASS LAKSHMI NAGAR"", ""time"": ""14:00""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""20:00""}]",2026-01-13T18:29:24.168831
1245COIBANAC,,SETC,COIMBATORE,BENGALURU,,,9.00Hrs,33 Seats Available,Standard,Rs 574,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1245COIBANAC"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""838AC""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:00""}, {""city"": ""377.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""574""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""12:45""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""21:45""}]",2026-01-13T18:29:24.168831
1245COIBANAC,,SETC,COIMBATORE,BENGALURU,,,9.00Hrs,33 Seats Available,Standard,Rs 574,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1245COIBANAC"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""838AC""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:00""}, {""city"": ""377.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""574""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""12:45""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""21:45""}]",2026-01-13T18:29:24.168831
