service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
0700MADBAN,,SETC,MADURAI,BENGALURU,,,9.00Hrs,33 Seats Available,Standard,Rs 560,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0700MADBAN"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""846UD""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:00""}, {""city"": ""461.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""560""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""07:00""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""07:20""}, {""city"": ""MADURAI"", ""landmark"": ""FATHIMA COLLEGE"", ""time"": ""07:30""}, {""city"": ""MADURAI"", ""landmark"": ""KODAI ROAD TOLL"", ""time"": ""08:00""}, {""city"": ""DINDIGUL"", ""landmark"": ""DINDIGUL"", ""time"": ""09:00""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""15:30""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""16:30""}]",2026-01-13T18:08:36.678480
0700MADBAN,,SETC,MADURAI,BENGALURU,,,9.00Hrs,33 Seats Available,Standard,Rs 560,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0700MADBAN"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""846UD""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:00""}, {""city"": ""461.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""560""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""07:00""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""07:20""}, {""city"": ""MADURAI"", ""landmark"": ""FATHIMA COLLEGE"", ""time"": ""07:30""}, {""city"": ""MADURAI"", ""landmark"": ""KODAI ROAD TOLL"", ""time"": ""08:00""}, {""city"": ""DINDIGUL"", ""landmark"": ""DINDIGUL"", ""time"": ""09:00""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""15:30""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""16:30""}]",2026-01-13T18:08:36.678480
0800MADBAN,,SETC,MADURAI,BENGALURU,,,9.00Hrs,33 Seats Available,Standard,Rs 560,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0800MADBAN"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""846UD""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:00""}, {""city"": ""461.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""560""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""08:00""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""08:15""}, {""city"": ""MADURAI"", ""landmark"": ""FATHIMA COLLEGE"", ""time"": ""08:30""}, {""city"": ""MADURAI"", ""landmark"": ""SAMAYANALLUR BS"", ""time"": ""08:40""}, {""city"": ""MADURAI"", ""landmark"": ""KODAI ROAD TOLL"", ""time"": ""09:10""}, {""city"": ""DINDIGUL"", ""landmark"": ""DINDIGUL"", ""time"": ""09:45""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""16:30""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""17:30""}]",2026-01-13T18:08:36.678480
0800MADBAN,,SETC,MADURAI,BENGALURU,,,9.00Hrs,33 Seats Available,Standard,Rs 560,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0800MADBAN"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""846UD""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:00""}, {""city"": ""461.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""560""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""08:00""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""08:15""}, {""city"": ""MADURAI"", ""landmark"": ""FATHIMA COLLEGE"", ""time"": ""08:30""}, {""city"": ""MADURAI"", ""landmark"": ""SAMAYANALLUR BS"", ""time"": ""08:40""}, {""city"": ""MADURAI"", ""landmark"": ""KODAI ROAD TOLL"", ""time"": ""09:10""}, {""city"": ""DINDIGUL"", ""landmark"": ""DINDIGUL"", ""time"": ""09:45""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""16:30""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""17:30""}]",2026-01-13T18:08:36.678480
0900MADBANNS,,SETC,MADURAI,BENGALURU,,,8.00Hrs,32 Seats Available,Standard,Rs 560/760,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0900MADBANNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""846NS""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""461.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""560""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""09:00""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""09:20""}, {""city"": ""DINDIGUL"", ""landmark"": ""DINDIGUL"", ""time"": ""11:00""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""17:30""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""18:30""}]",2026-01-13T18:08:36.678480
0900MADBANNS,,SETC,MADURAI,BENGALURU,,,8.00Hrs,32 Seats Available,Standard,Rs 560/760,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0900MADBANNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""846NS""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""461.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""560""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""09:00""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""09:20""}, {""city"": ""DINDIGUL"", ""landmark"": ""DINDIGUL"", ""time"": ""11:00""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""17:30""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""18:30""}]",2026-01-13T18:08:36.678480
0930MADBANAB,,SETC,MADURAI,BENGALURU,,,9.00Hrs,32 Seats Available,Standard,Rs 683/944,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0930MADBANAB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""846AB""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:00""}, {""city"": ""461.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""683""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""09:30""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""09:45""}, {""city"": ""MADURAI"", ""landmark"": ""FATHIMA COLLEGE"", ""time"": ""10:00""}, {""city"": ""MADURAI"", ""landmark"": ""SAMAYANALLUR BS"", ""time"": ""10:10""}, {""city"": ""MADURAI"", ""landmark"": ""KODAI ROAD TOLL"", ""time"": ""10:40""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""18:30""}]",2026-01-13T18:08:36.678480
0930MADBANAB,,SETC,MADURAI,BENGALURU,,,9.00Hrs,32 Seats Available,Standard,Rs 683/944,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0930MADBANAB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""846AB""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:00""}, {""city"": ""461.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""683""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""09:30""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""09:45""}, {""city"": ""MADURAI"", ""landmark"": ""FATHIMA COLLEGE"", ""time"": ""10:00""}, {""city"": ""MADURAI"", ""landmark"": ""SAMAYANALLUR BS"", ""time"": ""10:10""}, {""city"": ""MADURAI"", ""landmark"": ""KODAI ROAD TOLL"", ""time"": ""10:40""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""18:30""}]",2026-01-13T18:08:36.678480
1000MADBANNS,,SETC,MADURAI,BENGALURU,,,9.00Hrs,31 Seats Available,Standard,Rs 560/760,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1000MADBANNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""846NS""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:00""}, {""city"": ""461.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""560""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""10:00""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""10:20""}, {""city"": ""DINDIGUL"", ""landmark"": ""DINDIGUL"", ""time"": ""12:00""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""18:30""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""19:30""}]",2026-01-13T18:08:36.678480
1000MADBANNS,,SETC,MADURAI,BENGALURU,,,9.00Hrs,31 Seats Available,Standard,Rs 560/760,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1000MADBANNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""846NS""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:00""}, {""city"": ""461.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""560""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""10:00""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""10:20""}, {""city"": ""DINDIGUL"", ""landmark"": ""DINDIGUL"", ""time"": ""12:00""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""18:30""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""19:30""}]",2026-01-13T18:08:36.678480
