service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
1330NAGTIPAB,,SETC,TIRUNELVELI,VELLORE,,,10.00Hrs,18 Seats Available,Standard,Rs 767/1176,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1330NAGTIPAB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""V995AB""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""10:00""}, {""city"": ""594.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""767""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""13:30""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""15:15""}, {""city"": ""KOVILPATTI"", ""landmark"": ""KOVILPATTI"", ""time"": ""16:15""}, {""city"": ""VIRUDHUNAGAR"", ""landmark"": ""VIRUDHUNAGAR"", ""time"": ""17:15""}, {""city"": ""VIRUDHUNAGAR"", ""landmark"": ""VIRUDHUNAGAR NEW BUS STAND"", ""time"": ""17:20""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""19:00""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""22:00""}, {""city"": ""THIRUVANNAMALAI"", ""landmark"": ""THIRUVANNAMALAI"", ""time"": ""01:45""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""03:40""}, {""city"": ""CHITTOR"", ""landmark"": ""CHITT0OR"", ""time"": ""05:15""}, {""city"": ""TIRUPATHI"", ""landmark"": ""TIRUPATHI"", ""time"": ""06:15""}]",2026-01-13T19:32:14.991480
1330NAGTIPAB,,SETC,TIRUNELVELI,VELLORE,,,10.00Hrs,18 Seats Available,Standard,Rs 767/1176,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1330NAGTIPAB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""V995AB""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""10:00""}, {""city"": ""594.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""767""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""13:30""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""15:15""}, {""city"": ""KOVILPATTI"", ""landmark"": ""KOVILPATTI"", ""time"": ""16:15""}, {""city"": ""VIRUDHUNAGAR"", ""landmark"": ""VIRUDHUNAGAR"", ""time"": ""17:15""}, {""city"": ""VIRUDHUNAGAR"", ""landmark"": ""VIRUDHUNAGAR NEW BUS STAND"", ""time"": ""17:20""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""19:00""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""22:00""}, {""city"": ""THIRUVANNAMALAI"", ""landmark"": ""THIRUVANNAMALAI"", ""time"": ""01:45""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""03:40""}, {""city"": ""CHITTOR"", ""landmark"": ""CHITT0OR"", ""time"": ""05:15""}, {""city"": ""TIRUPATHI"", ""landmark"": ""TIRUPATHI"", ""time"": ""06:15""}]",2026-01-13T19:32:14.991480
1345PNMTIP,,SETC,TIRUNELVELI,VELLORE,,,10.00Hrs,21 Seats Available,Standard,Rs 588,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1345PNMTIP"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""983UD""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""10:00""}, {""city"": ""594.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""588""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""PAPANASAM-TNV"", ""landmark"": ""PAPANASAM-TNV"", ""time"": ""13:45""}, {""city"": ""PAPANASAM-TNV"", ""landmark"": ""VEERAVANALLUR PS BYPASS"", ""time"": ""14:30""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""15:45""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""VANNARPETTAI"", ""time"": ""15:50""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""THACHANALLUR BYPASS"", ""time"": ""15:55""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""SANKAR NAGER"", ""time"": ""16:05""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""KAYATHAR TOLL PLAZA"", ""time"": ""16:15""}, {""city"": ""KOVILPATTI"", ""landmark"": ""KOVILPATTI"", ""time"": ""17:00""}, {""city"": ""KOVILPATTI"", ""landmark"": ""SATTUR"", ""time"": ""17:30""}, {""city"": ""VIRUDHUNAGAR"", ""landmark"": ""VIRUDHUNAGAR NEW BUS STAND"", ""time"": ""18:10""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""19:30""}, {""city"": ""THIRUVANNAMALAI"", ""landmark"": ""THIRUVANNAMALAI"", ""time"": ""02:30""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""03:30""}, {""city"": ""TIRUPATHI"", ""landmark"": ""TIRUPATHI"", ""time"": ""06:00""}]",2026-01-13T19:32:14.991480
1345PNMTIP,,SETC,TIRUNELVELI,VELLORE,,,10.00Hrs,21 Seats Available,Standard,Rs 588,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1345PNMTIP"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""983UD""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""10:00""}, {""city"": ""594.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""588""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""PAPANASAM-TNV"", ""landmark"": ""PAPANASAM-TNV"", ""time"": ""13:45""}, {""city"": ""PAPANASAM-TNV"", ""landmark"": ""VEERAVANALLUR PS BYPASS"", ""time"": ""14:30""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""15:45""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""VANNARPETTAI"", ""time"": ""15:50""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""THACHANALLUR BYPASS"", ""time"": ""15:55""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""SANKAR NAGER"", ""time"": ""16:05""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""KAYATHAR TOLL PLAZA"", ""time"": ""16:15""}, {""city"": ""KOVILPATTI"", ""landmark"": ""KOVILPATTI"", ""time"": ""17:00""}, {""city"": ""KOVILPATTI"", ""landmark"": ""SATTUR"", ""time"": ""17:30""}, {""city"": ""VIRUDHUNAGAR"", ""landmark"": ""VIRUDHUNAGAR NEW BUS STAND"", ""time"": ""18:10""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""19:30""}, {""city"": ""THIRUVANNAMALAI"", ""landmark"": ""THIRUVANNAMALAI"", ""time"": ""02:30""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""03:30""}, {""city"": ""TIRUPATHI"", ""landmark"": ""TIRUPATHI"", ""time"": ""06:00""}]",2026-01-13T19:32:14.991480
1630TIUTIP,,SETC,TIRUNELVELI,VELLORE,,,10.00Hrs,34 Seats Available,Standard,Rs 588,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1630TIUTIP"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""984UD""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""10:00""}, {""city"": ""594.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""588""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""16:30""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""VANNARPETTAI"", ""time"": ""16:35""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""THACHANALLUR BYPASS"", ""time"": ""16:40""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""SANKAR NAGER"", ""time"": ""16:50""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""KAYATHAR TOLL PLAZA"", ""time"": ""17:00""}, {""city"": ""KOVILPATTI"", ""landmark"": ""KOVILPATTI"", ""time"": ""17:30""}, {""city"": ""KOVILPATTI"", ""landmark"": ""SATTUR"", ""time"": ""18:00""}, {""city"": ""KOVILPATTI"", ""landmark"": ""VIRUDHUNAGAR"", ""time"": ""18:30""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""20:30""}, {""city"": ""VELLORE"", ""landmark"": ""THIRUVANNAMALAI"", ""time"": ""02:30""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""04:30""}, {""city"": ""CHITTOR"", ""landmark"": ""CHITT0OR"", ""time"": ""05:30""}, {""city"": ""TIRUPATHI"", ""landmark"": ""TIRUPATHI"", ""time"": ""06:30""}]",2026-01-13T19:32:14.991480
1630TIUTIP,,SETC,TIRUNELVELI,VELLORE,,,10.00Hrs,34 Seats Available,Standard,Rs 588,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1630TIUTIP"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""984UD""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""10:00""}, {""city"": ""594.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""588""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""16:30""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""VANNARPETTAI"", ""time"": ""16:35""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""THACHANALLUR BYPASS"", ""time"": ""16:40""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""SANKAR NAGER"", ""time"": ""16:50""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""KAYATHAR TOLL PLAZA"", ""time"": ""17:00""}, {""city"": ""KOVILPATTI"", ""landmark"": ""KOVILPATTI"", ""time"": ""17:30""}, {""city"": ""KOVILPATTI"", ""landmark"": ""SATTUR"", ""time"": ""18:00""}, {""city"": ""KOVILPATTI"", ""landmark"": ""VIRUDHUNAGAR"", ""time"": ""18:30""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""20:30""}, {""city"": ""VELLORE"", ""landmark"": ""THIRUVANNAMALAI"", ""time"": ""02:30""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""04:30""}, {""city"": ""CHITTOR"", ""landmark"": ""CHITT0OR"", ""time"": ""05:30""}, {""city"": ""TIRUPATHI"", ""landmark"": ""TIRUPATHI"", ""time"": ""06:30""}]",2026-01-13T19:32:14.991480
1400KAKTIPNS,,SETC,TIRUNELVELI,VELLORE,,,10.00Hrs,17 Seats Available,Standard,Rs 590/910,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1400KAKTIPNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""996NS""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""10:00""}, {""city"": ""594.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""590""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""KANYAKUMARI"", ""landmark"": ""KANYAKUMARI"", ""time"": ""14:00""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""15:00""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""VALLIYOOR"", ""time"": ""15:45""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""17:00""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""21:00""}, {""city"": ""THIRUVANNAMALAI"", ""landmark"": ""THIRUVANNAMALAI"", ""time"": ""01:00""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""03:00""}, {""city"": ""TIRUPATHI"", ""landmark"": ""TIRUPATHI"", ""time"": ""06:30""}]",2026-01-13T19:32:14.991480
1400KAKTIPNS,,SETC,TIRUNELVELI,VELLORE,,,10.00Hrs,17 Seats Available,Standard,Rs 590/910,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1400KAKTIPNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""996NS""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""10:00""}, {""city"": ""594.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""590""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""KANYAKUMARI"", ""landmark"": ""KANYAKUMARI"", ""time"": ""14:00""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""15:00""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""VALLIYOOR"", ""time"": ""15:45""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""17:00""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""21:00""}, {""city"": ""THIRUVANNAMALAI"", ""landmark"": ""THIRUVANNAMALAI"", ""time"": ""01:00""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""03:00""}, {""city"": ""TIRUPATHI"", ""landmark"": ""TIRUPATHI"", ""time"": ""06:30""}]",2026-01-13T19:32:14.991480
1500KAKVELNS,,SETC,TIRUNELVELI,VELLORE,,,12.25Hrs,19 Seats Available,Standard,Rs 590/915,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1500KAKVELNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""283NS""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""12:25""}, {""city"": ""594.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""590""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""KANYAKUMARI"", ""landmark"": ""KANYAKUMARI"", ""time"": ""15:00""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""16:00""}, {""city"": ""VALLIYOOR"", ""landmark"": ""VALLIYOOR"", ""time"": ""16:40""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""18:00""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""22:00""}, {""city"": ""THIRUVANNAMALAI"", ""landmark"": ""THIRUVANNAMALAI"", ""time"": ""04:30""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""06:25""}]",2026-01-13T19:32:14.991480
1500KAKVELNS,,SETC,TIRUNELVELI,VELLORE,,,12.25Hrs,19 Seats Available,Standard,Rs 590/915,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1500KAKVELNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""283NS""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""VELLORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""12:25""}, {""city"": ""594.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""590""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""KANYAKUMARI"", ""landmark"": ""KANYAKUMARI"", ""time"": ""15:00""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""16:00""}, {""city"": ""VALLIYOOR"", ""landmark"": ""VALLIYOOR"", ""time"": ""16:40""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""18:00""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""22:00""}, {""city"": ""THIRUVANNAMALAI"", ""landmark"": ""THIRUVANNAMALAI"", ""time"": ""04:30""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""06:25""}]",2026-01-13T19:32:14.991480
