service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
0830TRIBANNS,,SETC,TRICHY,BENGALURU,,,8.45Hrs,32 Seats Available,Standard,Rs 457/600,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0830TRIBANNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""827NS""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:45""}, {""city"": ""352.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""457""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""08:30""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""16:00""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""17:00""}]",2026-01-13T18:15:30.878812
0830TRIBANNS,,SETC,TRICHY,BENGALURU,,,8.45Hrs,32 Seats Available,Standard,Rs 457/600,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0830TRIBANNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""827NS""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:45""}, {""city"": ""352.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""457""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""08:30""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""16:00""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""17:00""}]",2026-01-13T18:15:30.878812
0930TRIBAN,,SETC,TRICHY,BENGALURU,,,8.45Hrs,35 Seats Available,Standard,Rs 457,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0930TRIBAN"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""827UD""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:45""}, {""city"": ""352.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""457""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""09:30""}, {""city"": ""TRICHY"", ""landmark"": ""TVS TOLL GATE"", ""time"": ""09:40""}, {""city"": ""TRICHY"", ""landmark"": ""PALPANNAI"", ""time"": ""09:45""}, {""city"": ""TRICHY"", ""landmark"": ""NO 1 TOLL GATE"", ""time"": ""09:50""}, {""city"": ""TRICHY"", ""landmark"": ""GUNASEELAM"", ""time"": ""10:05""}, {""city"": ""TRICHY"", ""landmark"": ""MUSIRI BYEPASS"", ""time"": ""10:30""}, {""city"": ""TRICHY"", ""landmark"": ""THOTTIYAM"", ""time"": ""10:45""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""18:15""}]",2026-01-13T18:15:30.878812
0930TRIBAN,,SETC,TRICHY,BENGALURU,,,8.45Hrs,35 Seats Available,Standard,Rs 457,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0930TRIBAN"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""827UD""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:45""}, {""city"": ""352.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""457""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""09:30""}, {""city"": ""TRICHY"", ""landmark"": ""TVS TOLL GATE"", ""time"": ""09:40""}, {""city"": ""TRICHY"", ""landmark"": ""PALPANNAI"", ""time"": ""09:45""}, {""city"": ""TRICHY"", ""landmark"": ""NO 1 TOLL GATE"", ""time"": ""09:50""}, {""city"": ""TRICHY"", ""landmark"": ""GUNASEELAM"", ""time"": ""10:05""}, {""city"": ""TRICHY"", ""landmark"": ""MUSIRI BYEPASS"", ""time"": ""10:30""}, {""city"": ""TRICHY"", ""landmark"": ""THOTTIYAM"", ""time"": ""10:45""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""18:15""}]",2026-01-13T18:15:30.878812
1030TRIBANNS,,SETC,TRICHY,BENGALURU,,,8.45Hrs,25 Seats Available,Standard,Rs 457/600,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1030TRIBANNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""827NS""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:45""}, {""city"": ""352.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""457""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""10:30""}, {""city"": ""TRICHY"", ""landmark"": ""TVS TOLL GATE"", ""time"": ""10:40""}, {""city"": ""TRICHY"", ""landmark"": ""PALPANNAI"", ""time"": ""10:45""}, {""city"": ""TRICHY"", ""landmark"": ""NO 1 TOLL GATE"", ""time"": ""10:50""}, {""city"": ""TRICHY"", ""landmark"": ""GUNASEELAM"", ""time"": ""11:05""}, {""city"": ""TRICHY"", ""landmark"": ""MUSIRI BYEPASS"", ""time"": ""11:30""}, {""city"": ""TRICHY"", ""landmark"": ""THOTTIYAM"", ""time"": ""11:45""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""18:00""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""19:00""}]",2026-01-13T18:15:30.878812
1030TRIBANNS,,SETC,TRICHY,BENGALURU,,,8.45Hrs,25 Seats Available,Standard,Rs 457/600,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1030TRIBANNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""827NS""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:45""}, {""city"": ""352.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""457""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""10:30""}, {""city"": ""TRICHY"", ""landmark"": ""TVS TOLL GATE"", ""time"": ""10:40""}, {""city"": ""TRICHY"", ""landmark"": ""PALPANNAI"", ""time"": ""10:45""}, {""city"": ""TRICHY"", ""landmark"": ""NO 1 TOLL GATE"", ""time"": ""10:50""}, {""city"": ""TRICHY"", ""landmark"": ""GUNASEELAM"", ""time"": ""11:05""}, {""city"": ""TRICHY"", ""landmark"": ""MUSIRI BYEPASS"", ""time"": ""11:30""}, {""city"": ""TRICHY"", ""landmark"": ""THOTTIYAM"", ""time"": ""11:45""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""18:00""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""19:00""}]",2026-01-13T18:15:30.878812
1330TRIBANAB,,SETC,TRICHY,BENGALURU,,,8.45Hrs,31 Seats Available,Standard,Rs 545/740,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1330TRIBANAB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""827AB""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:45""}, {""city"": ""352.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""545""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""13:30""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""20:30""}]",2026-01-13T18:15:30.878812
1330TRIBANAB,,SETC,TRICHY,BENGALURU,,,8.45Hrs,31 Seats Available,Standard,Rs 545/740,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1330TRIBANAB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""827AB""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:45""}, {""city"": ""352.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""545""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""13:30""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""20:30""}]",2026-01-13T18:15:30.878812
2045TRIBANNS,,SETC,TRICHY,BENGALURU,,,8.45Hrs,3 Seats Available,Standard,Rs 457/600,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2045TRIBANNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""827NS""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:45""}, {""city"": ""352.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""457""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""20:45""}, {""city"": ""TRICHY"", ""landmark"": ""TVS TOLL GATE"", ""time"": ""20:55""}, {""city"": ""TRICHY"", ""landmark"": ""PALPANNAI"", ""time"": ""21:05""}, {""city"": ""TRICHY"", ""landmark"": ""NO 1 TOLL GATE"", ""time"": ""21:15""}, {""city"": ""TRICHY"", ""landmark"": ""GUNASEELAM"", ""time"": ""21:25""}, {""city"": ""TRICHY"", ""landmark"": ""MUSIRI"", ""time"": ""22:05""}, {""city"": ""TRICHY"", ""landmark"": ""THOTTIYAM"", ""time"": ""22:25""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""04:15""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""05:30""}]",2026-01-13T18:15:30.878812
2045TRIBANNS,,SETC,TRICHY,BENGALURU,,,8.45Hrs,3 Seats Available,Standard,Rs 457/600,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2045TRIBANNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""827NS""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:45""}, {""city"": ""352.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""457""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""20:45""}, {""city"": ""TRICHY"", ""landmark"": ""TVS TOLL GATE"", ""time"": ""20:55""}, {""city"": ""TRICHY"", ""landmark"": ""PALPANNAI"", ""time"": ""21:05""}, {""city"": ""TRICHY"", ""landmark"": ""NO 1 TOLL GATE"", ""time"": ""21:15""}, {""city"": ""TRICHY"", ""landmark"": ""GUNASEELAM"", ""time"": ""21:25""}, {""city"": ""TRICHY"", ""landmark"": ""MUSIRI"", ""time"": ""22:05""}, {""city"": ""TRICHY"", ""landmark"": ""THOTTIYAM"", ""time"": ""22:25""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""04:15""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""05:30""}]",2026-01-13T18:15:30.878812
