service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
0350VELBANVV05L,,SETC,VELLORE,BENGALURU,,,6.30Hrs,45 Seats Available,Standard,Rs 204,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0350VELBANVV05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""555C""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:30""}, {""city"": ""214.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""204""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""03:50""}, {""city"": ""BENGALURU"", ""landmark"": ""SATELLITE BS"", ""time"": ""09:20""}]",2026-01-13T18:49:23.196286
0350VELBANVV05L,,SETC,VELLORE,BENGALURU,,,6.30Hrs,45 Seats Available,Standard,Rs 204,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0350VELBANVV05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""555C""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:30""}, {""city"": ""214.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""204""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""03:50""}, {""city"": ""BENGALURU"", ""landmark"": ""SATELLITE BS"", ""time"": ""09:20""}]",2026-01-13T18:49:23.196286
0420VELBANVV05A,,SETC,VELLORE,BENGALURU,,,6.30Hrs,46 Seats Available,Standard,Rs 259,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0420VELBANVV05A"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""444G""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:30""}, {""city"": ""214.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""259""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""04:20""}, {""city"": ""BENGALURU"", ""landmark"": ""SATELLITE BS"", ""time"": ""09:50""}]",2026-01-13T18:49:23.196286
0420VELBANVV05A,,SETC,VELLORE,BENGALURU,,,6.30Hrs,46 Seats Available,Standard,Rs 259,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0420VELBANVV05A"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""444G""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:30""}, {""city"": ""214.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""259""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""04:20""}, {""city"": ""BENGALURU"", ""landmark"": ""SATELLITE BS"", ""time"": ""09:50""}]",2026-01-13T18:49:23.196286
0430VELBANVV05L,,SETC,VELLORE,BENGALURU,,,6.30Hrs,45 Seats Available,Standard,Rs 204,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0430VELBANVV05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""444O""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:30""}, {""city"": ""214.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""204""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""04:30""}, {""city"": ""BENGALURU"", ""landmark"": ""SATELLITE BS"", ""time"": ""10:00""}]",2026-01-13T18:49:23.196286
0430VELBANVV05L,,SETC,VELLORE,BENGALURU,,,6.30Hrs,45 Seats Available,Standard,Rs 204,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0430VELBANVV05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""444O""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:30""}, {""city"": ""214.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""204""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""04:30""}, {""city"": ""BENGALURU"", ""landmark"": ""SATELLITE BS"", ""time"": ""10:00""}]",2026-01-13T18:49:23.196286
0500VELBANVV05A,,SETC,VELLORE,BENGALURU,,,6.30Hrs,47 Seats Available,Standard,Rs 259,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0500VELBANVV05A"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""444K""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:30""}, {""city"": ""214.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""259""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""05:00""}, {""city"": ""BENGALURU"", ""landmark"": ""SATELLITE BS"", ""time"": ""10:30""}]",2026-01-13T18:49:23.196286
0500VELBANVV05A,,SETC,VELLORE,BENGALURU,,,6.30Hrs,47 Seats Available,Standard,Rs 259,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0500VELBANVV05A"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""444K""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:30""}, {""city"": ""214.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""259""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""05:00""}, {""city"": ""BENGALURU"", ""landmark"": ""SATELLITE BS"", ""time"": ""10:30""}]",2026-01-13T18:49:23.196286
0540VELBANVV05L,,SETC,VELLORE,BENGALURU,,,6.30Hrs,45 Seats Available,Standard,Rs 204,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0540VELBANVV05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""555B""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:30""}, {""city"": ""214.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""204""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""05:40""}, {""city"": ""BENGALURU"", ""landmark"": ""SATELLITE BS"", ""time"": ""11:10""}]",2026-01-13T18:49:23.196286
0540VELBANVV05L,,SETC,VELLORE,BENGALURU,,,6.30Hrs,45 Seats Available,Standard,Rs 204,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0540VELBANVV05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""555B""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""BENGALURU""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:30""}, {""city"": ""214.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""204""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""05:40""}, {""city"": ""BENGALURU"", ""landmark"": ""SATELLITE BS"", ""time"": ""11:10""}]",2026-01-13T18:49:23.196286
