service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
0030MADCOIMM05L,,SETC,MADURAI,COIMBATORE,,,5.50Hrs,43 Seats Available,Standard,Rs 165,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0030MADCOIMM05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""026P""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:50""}, {""city"": ""228.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""165""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""00:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""05:20""}]",2026-01-13T18:02:35.877286
0030MADCOIMM05L,,SETC,MADURAI,COIMBATORE,,,5.50Hrs,43 Seats Available,Standard,Rs 165,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0030MADCOIMM05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""026P""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:50""}, {""city"": ""228.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""165""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""00:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""05:20""}]",2026-01-13T18:02:35.877286
0215MADCOIMM02A,,SETC,MADURAI,COIMBATORE,,,5.50Hrs,47 Seats Available,Standard,Rs 203,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0215MADCOIMM02A"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""142A1""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:50""}, {""city"": ""228.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""203""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""02:15""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""07:05""}]",2026-01-13T18:02:35.877286
0215MADCOIMM02A,,SETC,MADURAI,COIMBATORE,,,5.50Hrs,47 Seats Available,Standard,Rs 203,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0215MADCOIMM02A"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""142A1""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:50""}, {""city"": ""228.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""203""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""02:15""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""07:05""}]",2026-01-13T18:02:35.877286
0705MADCOIMM01L,,SETC,MADURAI,COIMBATORE,,,5.50Hrs,45 Seats Available,Standard,Rs 167,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0705MADCOIMM01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""143A1""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:50""}, {""city"": ""228.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""167""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""07:05""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""11:55""}]",2026-01-13T18:02:35.877286
0705MADCOIMM01L,,SETC,MADURAI,COIMBATORE,,,5.50Hrs,45 Seats Available,Standard,Rs 167,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0705MADCOIMM01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""143A1""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:50""}, {""city"": ""228.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""167""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""07:05""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""11:55""}]",2026-01-13T18:02:35.877286
0830MADCOIMM02A,,SETC,MADURAI,COIMBATORE,,,5.50Hrs,47 Seats Available,Standard,Rs 203,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0830MADCOIMM02A"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""144A2""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:50""}, {""city"": ""228.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""203""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""08:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""13:20""}]",2026-01-13T18:02:35.877286
0830MADCOIMM02A,,SETC,MADURAI,COIMBATORE,,,5.50Hrs,47 Seats Available,Standard,Rs 203,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0830MADCOIMM02A"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""144A2""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:50""}, {""city"": ""228.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""203""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""08:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""13:20""}]",2026-01-13T18:02:35.877286
1015MADCOIMM02A,,SETC,MADURAI,COIMBATORE,,,5.50Hrs,43 Seats Available,Standard,Rs 203,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1015MADCOIMM02A"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""144E2""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:50""}, {""city"": ""228.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""203""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""10:15""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""15:05""}]",2026-01-13T18:02:35.877286
1015MADCOIMM02A,,SETC,MADURAI,COIMBATORE,,,5.50Hrs,43 Seats Available,Standard,Rs 203,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1015MADCOIMM02A"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""144E2""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:50""}, {""city"": ""228.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""203""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""ARAPALAYAM BS"", ""time"": ""10:15""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""15:05""}]",2026-01-13T18:02:35.877286
