service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
0700MADCUDVV01L,,SETC,MADURAI,CUDDALORE,,,9.25Hrs,45 Seats Available,Standard,Rs 274,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0700MADCUDVV01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""567EX""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CUDDALORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:25""}, {""city"": ""334.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""274""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""07:00""}, {""city"": ""CUDDALORE"", ""landmark"": ""CUDDALORE"", ""time"": ""15:00""}]",2026-01-13T18:07:07.762981
0700MADCUDVV01L,,SETC,MADURAI,CUDDALORE,,,9.25Hrs,45 Seats Available,Standard,Rs 274,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0700MADCUDVV01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""567EX""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CUDDALORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:25""}, {""city"": ""334.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""274""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""07:00""}, {""city"": ""CUDDALORE"", ""landmark"": ""CUDDALORE"", ""time"": ""15:00""}]",2026-01-13T18:07:07.762981
0925MADCUDVV01L,,SETC,MADURAI,CUDDALORE,,,9.25Hrs,45 Seats Available,Standard,Rs 274,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0925MADCUDVV01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""499B""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CUDDALORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:25""}, {""city"": ""334.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""274""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""09:25""}, {""city"": ""CUDDALORE"", ""landmark"": ""CUDDALORE"", ""time"": ""18:00""}]",2026-01-13T18:07:07.762981
0925MADCUDVV01L,,SETC,MADURAI,CUDDALORE,,,9.25Hrs,45 Seats Available,Standard,Rs 274,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0925MADCUDVV01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""499B""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CUDDALORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:25""}, {""city"": ""334.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""274""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""09:25""}, {""city"": ""CUDDALORE"", ""landmark"": ""CUDDALORE"", ""time"": ""18:00""}]",2026-01-13T18:07:07.762981
1855MADCUDMM02L,,SETC,MADURAI,CUDDALORE,,,9.25Hrs,45 Seats Available,Standard,Rs 239,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1855MADCUDMM02L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""238A1""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CUDDALORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:25""}, {""city"": ""334.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""239""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""18:55""}, {""city"": ""CUDDALORE"", ""landmark"": ""CUDDALORE"", ""time"": ""04:20""}]",2026-01-13T18:07:07.762981
1855MADCUDMM02L,,SETC,MADURAI,CUDDALORE,,,9.25Hrs,45 Seats Available,Standard,Rs 239,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1855MADCUDMM02L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""238A1""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CUDDALORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:25""}, {""city"": ""334.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""MADURAI""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""239""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""18:55""}, {""city"": ""CUDDALORE"", ""landmark"": ""CUDDALORE"", ""time"": ""04:20""}]",2026-01-13T18:07:07.762981
2100MADCUDVV05L,,SETC,MADURAI,CUDDALORE,,,7.00Hrs,45 Seats Available,Standard,Rs 274,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2100MADCUDVV05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""567B""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CUDDALORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:00""}, {""city"": ""322.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""274""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""21:00""}, {""city"": ""CUDDALORE"", ""landmark"": ""CUDDALORE"", ""time"": ""05:45""}]",2026-01-13T18:07:07.762981
2100MADCUDVV05L,,SETC,MADURAI,CUDDALORE,,,7.00Hrs,45 Seats Available,Standard,Rs 274,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2100MADCUDVV05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""567B""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CUDDALORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:00""}, {""city"": ""322.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""274""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""21:00""}, {""city"": ""CUDDALORE"", ""landmark"": ""CUDDALORE"", ""time"": ""05:45""}]",2026-01-13T18:07:07.762981
1600SHEPUU,,SETC,MADURAI,CUDDALORE,,,6.00Hrs,21 Seats Available,Standard,Rs 333,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1600SHEPUU"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""982UD""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CUDDALORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:00""}, {""city"": ""334.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""333""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""SHENCOTTAH"", ""landmark"": ""SHENCOTTAH"", ""time"": ""16:00""}, {""city"": ""SHENCOTTAH"", ""landmark"": ""THENKASI"", ""time"": ""16:20""}, {""city"": ""SHENCOTTAH"", ""landmark"": ""KADAYA NALLUR"", ""time"": ""16:40""}, {""city"": ""SHENCOTTAH"", ""landmark"": ""PULIYANKUDI"", ""time"": ""17:00""}, {""city"": ""RAJAPALAYAM"", ""landmark"": ""RAJAPALAYAM NEW BS"", ""time"": ""18:15""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""21:30""}, {""city"": ""TITTAKUDI"", ""landmark"": ""TITTAKUDI"", ""time"": ""02:00""}, {""city"": ""PENNADAM"", ""landmark"": ""PENNADAM"", ""time"": ""02:15""}, {""city"": ""VIRUDHACHALAM"", ""landmark"": ""VIRUDHACHALAM"", ""time"": ""02:40""}, {""city"": ""NEYVELI"", ""landmark"": ""NEYVELI"", ""time"": ""03:15""}, {""city"": ""CUDDALORE"", ""landmark"": ""CUDDALORE"", ""time"": ""04:15""}, {""city"": ""PUDUCHERRY"", ""landmark"": ""PUDUCHERRY"", ""time"": ""05:15""}]",2026-01-13T18:07:07.762981
1600SHEPUU,,SETC,MADURAI,CUDDALORE,,,6.00Hrs,21 Seats Available,Standard,Rs 333,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1600SHEPUU"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""982UD""}, {""city"": ""MADURAI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""CUDDALORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:00""}, {""city"": ""334.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""333""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""SHENCOTTAH"", ""landmark"": ""SHENCOTTAH"", ""time"": ""16:00""}, {""city"": ""SHENCOTTAH"", ""landmark"": ""THENKASI"", ""time"": ""16:20""}, {""city"": ""SHENCOTTAH"", ""landmark"": ""KADAYA NALLUR"", ""time"": ""16:40""}, {""city"": ""SHENCOTTAH"", ""landmark"": ""PULIYANKUDI"", ""time"": ""17:00""}, {""city"": ""RAJAPALAYAM"", ""landmark"": ""RAJAPALAYAM NEW BS"", ""time"": ""18:15""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""21:30""}, {""city"": ""TITTAKUDI"", ""landmark"": ""TITTAKUDI"", ""time"": ""02:00""}, {""city"": ""PENNADAM"", ""landmark"": ""PENNADAM"", ""time"": ""02:15""}, {""city"": ""VIRUDHACHALAM"", ""landmark"": ""VIRUDHACHALAM"", ""time"": ""02:40""}, {""city"": ""NEYVELI"", ""landmark"": ""NEYVELI"", ""time"": ""03:15""}, {""city"": ""CUDDALORE"", ""landmark"": ""CUDDALORE"", ""time"": ""04:15""}, {""city"": ""PUDUCHERRY"", ""landmark"": ""PUDUCHERRY"", ""time"": ""05:15""}]",2026-01-13T18:07:07.762981
