service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
1800SALTRV,,SETC,SALEM,NAGERCOIL,,,8.30Hrs,13 Seats Available,Standard,Rs 492,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1800SALTRV"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""796UD""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""NAGERCOIL VADACHERRY""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:30""}, {""city"": ""492.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""492""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""18:00""}, {""city"": ""SALEM"", ""landmark"": ""ANDALUR GATE"", ""time"": ""18:30""}, {""city"": ""SALEM"", ""landmark"": ""NAMAKKAL"", ""time"": ""19:15""}, {""city"": ""KARUR"", ""landmark"": ""KARUR"", ""time"": ""20:20""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""04:00""}, {""city"": ""MARTHANDAM"", ""landmark"": ""MARTHANDAM"", ""time"": ""04:45""}, {""city"": ""KALIAKAVILAI"", ""landmark"": ""KALIAKAVILAI"", ""time"": ""05:00""}, {""city"": ""TRIVANDRUM"", ""landmark"": ""TRIVANDRUM"", ""time"": ""06:00""}]",2026-01-13T18:18:31.512763
1800SALTRV,,SETC,SALEM,NAGERCOIL,,,8.30Hrs,13 Seats Available,Standard,Rs 492,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1800SALTRV"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""796UD""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""NAGERCOIL VADACHERRY""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:30""}, {""city"": ""492.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""492""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""18:00""}, {""city"": ""SALEM"", ""landmark"": ""ANDALUR GATE"", ""time"": ""18:30""}, {""city"": ""SALEM"", ""landmark"": ""NAMAKKAL"", ""time"": ""19:15""}, {""city"": ""KARUR"", ""landmark"": ""KARUR"", ""time"": ""20:20""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""04:00""}, {""city"": ""MARTHANDAM"", ""landmark"": ""MARTHANDAM"", ""time"": ""04:45""}, {""city"": ""KALIAKAVILAI"", ""landmark"": ""KALIAKAVILAI"", ""time"": ""05:00""}, {""city"": ""TRIVANDRUM"", ""landmark"": ""TRIVANDRUM"", ""time"": ""06:00""}]",2026-01-13T18:18:31.512763
1431BANTRV,,SETC,SALEM,NAGERCOIL,,,9.00Hrs,32 Seats Available,Standard,Rs 492,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1431BANTRV"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""687UD""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""NAGERCOIL VADACHERRY""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:00""}, {""city"": ""492.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""492""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""14:31""}, {""city"": ""BENGALURU"", ""landmark"": ""ST. JOHN HOSPITAL B.S"", ""time"": ""14:46""}, {""city"": ""BENGALURU"", ""landmark"": ""ELECTRONIC CITY BMTC DEPOT"", ""time"": ""15:01""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""15:46""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""19:31""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""02:01""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""03:31""}, {""city"": ""MARTHANDAM"", ""landmark"": ""MARTHANDAM"", ""time"": ""04:31""}, {""city"": ""TRIVANDRUM"", ""landmark"": ""TRIVANDRUM"", ""time"": ""05:31""}]",2026-01-13T18:18:31.512763
1431BANTRV,,SETC,SALEM,NAGERCOIL,,,9.00Hrs,32 Seats Available,Standard,Rs 492,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1431BANTRV"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""687UD""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""NAGERCOIL VADACHERRY""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:00""}, {""city"": ""492.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""492""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""14:31""}, {""city"": ""BENGALURU"", ""landmark"": ""ST. JOHN HOSPITAL B.S"", ""time"": ""14:46""}, {""city"": ""BENGALURU"", ""landmark"": ""ELECTRONIC CITY BMTC DEPOT"", ""time"": ""15:01""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""15:46""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""19:31""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""02:01""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""03:31""}, {""city"": ""MARTHANDAM"", ""landmark"": ""MARTHANDAM"", ""time"": ""04:31""}, {""city"": ""TRIVANDRUM"", ""landmark"": ""TRIVANDRUM"", ""time"": ""05:31""}]",2026-01-13T18:18:31.512763
1500BANMARNS,,SETC,SALEM,NAGERCOIL,,,8.00Hrs,26 Seats Available,Standard,Rs 492/765,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1500BANMARNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""892NS""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""NAGERCOIL VADACHERRY""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""492.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""492""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""15:00""}, {""city"": ""BENGALURU"", ""landmark"": ""ST. JOHN HOSPITAL B.S"", ""time"": ""15:15""}, {""city"": ""BENGALURU"", ""landmark"": ""ELECTRONIC CITY BMTC DEPOT"", ""time"": ""15:30""}, {""city"": ""BENGALURU"", ""landmark"": ""ATTIBELE TOLL PLAZA"", ""time"": ""15:50""}, {""city"": ""BENGALURU"", ""landmark"": ""HOSUR"", ""time"": ""16:15""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""20:00""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""02:30""}, {""city"": ""VALLIYOOR"", ""landmark"": ""VALLIYOOR"", ""time"": ""03:30""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""04:00""}, {""city"": ""MARTHANDAM"", ""landmark"": ""MARTHANDAM"", ""time"": ""05:00""}]",2026-01-13T18:18:31.512763
1500BANMARNS,,SETC,SALEM,NAGERCOIL,,,8.00Hrs,26 Seats Available,Standard,Rs 492/765,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1500BANMARNS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""892NS""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""NAGERCOIL VADACHERRY""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""492.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""492""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""15:00""}, {""city"": ""BENGALURU"", ""landmark"": ""ST. JOHN HOSPITAL B.S"", ""time"": ""15:15""}, {""city"": ""BENGALURU"", ""landmark"": ""ELECTRONIC CITY BMTC DEPOT"", ""time"": ""15:30""}, {""city"": ""BENGALURU"", ""landmark"": ""ATTIBELE TOLL PLAZA"", ""time"": ""15:50""}, {""city"": ""BENGALURU"", ""landmark"": ""HOSUR"", ""time"": ""16:15""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""20:00""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""02:30""}, {""city"": ""VALLIYOOR"", ""landmark"": ""VALLIYOOR"", ""time"": ""03:30""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""04:00""}, {""city"": ""MARTHANDAM"", ""landmark"": ""MARTHANDAM"", ""time"": ""05:00""}]",2026-01-13T18:18:31.512763
1600BANNAGAB,,SETC,SALEM,NAGERCOIL,,,8.30Hrs,31 Seats Available,Standard,Rs 646/988,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1600BANNAGAB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""887AB""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""NAGERCOIL VADACHERRY""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:30""}, {""city"": ""492.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""646""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""16:00""}, {""city"": ""BENGALURU"", ""landmark"": ""ST. JOHN HOSPITAL B.S"", ""time"": ""16:15""}, {""city"": ""BENGALURU"", ""landmark"": ""ELECTRONIC TOLL PLAZA"", ""time"": ""16:35""}, {""city"": ""BENGALURU"", ""landmark"": ""ATTIBELE TOLL PLAZA"", ""time"": ""16:50""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""17:15""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""20:30""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""03:30""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""VADACHERRY"", ""time"": ""05:00""}]",2026-01-13T18:18:31.512763
1600BANNAGAB,,SETC,SALEM,NAGERCOIL,,,8.30Hrs,31 Seats Available,Standard,Rs 646/988,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1600BANNAGAB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""887AB""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""NAGERCOIL VADACHERRY""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:30""}, {""city"": ""492.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""646""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""16:00""}, {""city"": ""BENGALURU"", ""landmark"": ""ST. JOHN HOSPITAL B.S"", ""time"": ""16:15""}, {""city"": ""BENGALURU"", ""landmark"": ""ELECTRONIC TOLL PLAZA"", ""time"": ""16:35""}, {""city"": ""BENGALURU"", ""landmark"": ""ATTIBELE TOLL PLAZA"", ""time"": ""16:50""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""17:15""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""20:30""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""03:30""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""VADACHERRY"", ""time"": ""05:00""}]",2026-01-13T18:18:31.512763
1915BANMAR,,SETC,SALEM,NAGERCOIL,,,8.30Hrs,33 Seats Available,Standard,Rs 492,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1915BANMAR"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""892UD""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""NAGERCOIL VADACHERRY""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:30""}, {""city"": ""492.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""492""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""19:15""}, {""city"": ""BENGALURU"", ""landmark"": ""ST. JOHN HOSPITAL B.S"", ""time"": ""19:30""}, {""city"": ""BENGALURU"", ""landmark"": ""ELECTRONIC CITY BMTC DEPOT"", ""time"": ""19:45""}, {""city"": ""BENGALURU"", ""landmark"": ""ATTIBELE TOLL PLAZA"", ""time"": ""20:00""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""20:30""}, {""city"": ""KRISHNAGIRI"", ""landmark"": ""KRISHNAGIRI"", ""time"": ""21:30""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""23:50""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""06:10""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""07:40""}, {""city"": ""MARTHANDAM"", ""landmark"": ""MARTHANDAM"", ""time"": ""08:40""}]",2026-01-13T18:18:31.512763
1915BANMAR,,SETC,SALEM,NAGERCOIL,,,8.30Hrs,33 Seats Available,Standard,Rs 492,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1915BANMAR"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""892UD""}, {""city"": ""SALEM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""NAGERCOIL VADACHERRY""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:30""}, {""city"": ""492.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""492""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""BENGALURU"", ""landmark"": ""SHANTHI NAGAR BS"", ""time"": ""19:15""}, {""city"": ""BENGALURU"", ""landmark"": ""ST. JOHN HOSPITAL B.S"", ""time"": ""19:30""}, {""city"": ""BENGALURU"", ""landmark"": ""ELECTRONIC CITY BMTC DEPOT"", ""time"": ""19:45""}, {""city"": ""BENGALURU"", ""landmark"": ""ATTIBELE TOLL PLAZA"", ""time"": ""20:00""}, {""city"": ""HOSUR"", ""landmark"": ""HOSUR"", ""time"": ""20:30""}, {""city"": ""KRISHNAGIRI"", ""landmark"": ""KRISHNAGIRI"", ""time"": ""21:30""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""23:50""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""06:10""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""07:40""}, {""city"": ""MARTHANDAM"", ""landmark"": ""MARTHANDAM"", ""time"": ""08:40""}]",2026-01-13T18:18:31.512763
