service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
0030TRICOIKK05L,,SETC,TRICHY,COIMBATORE,,,5.50Hrs,45 Seats Available,Standard,Rs 185,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0030TRICOIKK05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""411AM""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:50""}, {""city"": ""213.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""KUMBAKONAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""185""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""00:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""05:20""}]",2026-01-13T18:09:43.590711
0030TRICOIKK05L,,SETC,TRICHY,COIMBATORE,,,5.50Hrs,45 Seats Available,Standard,Rs 185,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0030TRICOIKK05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""411AM""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:50""}, {""city"": ""213.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""KUMBAKONAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""185""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""00:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""05:20""}]",2026-01-13T18:09:43.590711
0055TRICOIKK05L,,SETC,TRICHY,COIMBATORE,,,5.50Hrs,45 Seats Available,Standard,Rs 185,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0055TRICOIKK05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""911J""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:50""}, {""city"": ""213.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""KUMBAKONAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""185""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""00:55""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""05:45""}]",2026-01-13T18:09:43.590711
0055TRICOIKK05L,,SETC,TRICHY,COIMBATORE,,,5.50Hrs,45 Seats Available,Standard,Rs 185,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0055TRICOIKK05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""911J""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:50""}, {""city"": ""213.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""KUMBAKONAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""185""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""00:55""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""05:45""}]",2026-01-13T18:09:43.590711
0425TRICOIKK05L,,SETC,TRICHY,COIMBATORE,,,5.50Hrs,45 Seats Available,Standard,Rs 190,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0425TRICOIKK05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""533AB""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:50""}, {""city"": ""213.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""KUMBAKONAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""190""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""04:25""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""09:15""}]",2026-01-13T18:09:43.590711
0425TRICOIKK05L,,SETC,TRICHY,COIMBATORE,,,5.50Hrs,45 Seats Available,Standard,Rs 190,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0425TRICOIKK05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""533AB""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:50""}, {""city"": ""213.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""KUMBAKONAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""190""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""04:25""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""09:15""}]",2026-01-13T18:09:43.590711
0445TRICOIKK05L,,SETC,TRICHY,COIMBATORE,,,5.50Hrs,45 Seats Available,Standard,Rs 160,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0445TRICOIKK05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""647A""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:50""}, {""city"": ""213.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""KUMBAKONAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""160""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""04:45""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""09:35""}]",2026-01-13T18:09:43.590711
0445TRICOIKK05L,,SETC,TRICHY,COIMBATORE,,,5.50Hrs,45 Seats Available,Standard,Rs 160,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0445TRICOIKK05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""647A""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:50""}, {""city"": ""213.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""KUMBAKONAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""160""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""04:45""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""09:35""}]",2026-01-13T18:09:43.590711
0605TRICOIKK05L,,SETC,TRICHY,COIMBATORE,,,5.50Hrs,45 Seats Available,Standard,Rs 160,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0605TRICOIKK05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""805T""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:50""}, {""city"": ""213.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""KUMBAKONAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""160""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""06:05""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""10:55""}]",2026-01-13T18:09:43.590711
0605TRICOIKK05L,,SETC,TRICHY,COIMBATORE,,,5.50Hrs,45 Seats Available,Standard,Rs 160,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0605TRICOIKK05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""805T""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:50""}, {""city"": ""213.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""KUMBAKONAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""160""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""06:05""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""10:55""}]",2026-01-13T18:09:43.590711
