service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
0505TRINAGTT03L,,SETC,TRICHY,NAGERCOIL,,,8.15Hrs,45 Seats Available,Standard,Rs 318,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0505TRINAGTT03L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""505TRYB""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""NAGERCOIL VADACHERRY""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:15""}, {""city"": ""377.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""TIRUNELVEL""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""318""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""05:05""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""13:20""}]",2026-01-13T18:11:45.140315
0505TRINAGTT03L,,SETC,TRICHY,NAGERCOIL,,,8.15Hrs,45 Seats Available,Standard,Rs 318,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0505TRINAGTT03L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""505TRYB""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""NAGERCOIL VADACHERRY""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:15""}, {""city"": ""377.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""TIRUNELVEL""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""318""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""05:05""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""13:20""}]",2026-01-13T18:11:45.140315
0900TRINAGTT03L,,SETC,TRICHY,NAGERCOIL,,,7.50Hrs,45 Seats Available,Standard,Rs 318,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0900TRINAGTT03L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""624A""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""NAGERCOIL VADACHERRY""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:50""}, {""city"": ""379.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""TIRUNELVEL""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""318""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""09:00""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""16:50""}]",2026-01-13T18:11:45.140315
0900TRINAGTT03L,,SETC,TRICHY,NAGERCOIL,,,7.50Hrs,45 Seats Available,Standard,Rs 318,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0900TRINAGTT03L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""624A""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""NAGERCOIL VADACHERRY""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:50""}, {""city"": ""379.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""TIRUNELVEL""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""318""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""09:00""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""16:50""}]",2026-01-13T18:11:45.140315
1030TRINAG,,SETC,TRICHY,NAGERCOIL,,,8.00Hrs,33 Seats Available,Standard,Rs 363,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1030TRINAG"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""125UD""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""NAGERCOIL VADACHERRY""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""358.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""363""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""10:30""}, {""city"": ""TRICHY"", ""landmark"": ""VIRALIMALAI TOLL PLAZA"", ""time"": ""10:50""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""18:30""}]",2026-01-13T18:11:45.140315
1030TRINAG,,SETC,TRICHY,NAGERCOIL,,,8.00Hrs,33 Seats Available,Standard,Rs 363,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1030TRINAG"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""125UD""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""NAGERCOIL VADACHERRY""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""358.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""363""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""10:30""}, {""city"": ""TRICHY"", ""landmark"": ""VIRALIMALAI TOLL PLAZA"", ""time"": ""10:50""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""18:30""}]",2026-01-13T18:11:45.140315
1230TRINAGAC,,SETC,TRICHY,NAGERCOIL,,,8.00Hrs,33 Seats Available,Standard,Rs 478,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1230TRINAGAC"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""125AC""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""NAGERCOIL VADACHERRY""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""358.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""478""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""12:30""}, {""city"": ""TRICHY"", ""landmark"": ""VIRALIMALAI TOLL PLAZA"", ""time"": ""12:50""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""19:15""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""21:00""}]",2026-01-13T18:11:45.140315
1230TRINAGAC,,SETC,TRICHY,NAGERCOIL,,,8.00Hrs,33 Seats Available,Standard,Rs 478,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1230TRINAGAC"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""125AC""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""NAGERCOIL VADACHERRY""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""358.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""478""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""12:30""}, {""city"": ""TRICHY"", ""landmark"": ""VIRALIMALAI TOLL PLAZA"", ""time"": ""12:50""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""19:15""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""21:00""}]",2026-01-13T18:11:45.140315
1630TRINAGTT03A,,SETC,TRICHY,NAGERCOIL,,,8.15Hrs,47 Seats Available,Standard,Rs 377,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1630TRINAGTT03A"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""505TCY""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""NAGERCOIL VADACHERRY""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:15""}, {""city"": ""358.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""TIRUNELVEL""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""377""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""16:30""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""00:45""}]",2026-01-13T18:11:45.140315
1630TRINAGTT03A,,SETC,TRICHY,NAGERCOIL,,,8.15Hrs,47 Seats Available,Standard,Rs 377,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1630TRINAGTT03A"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""505TCY""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""NAGERCOIL VADACHERRY""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:15""}, {""city"": ""358.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""TIRUNELVEL""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""377""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""16:30""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""00:45""}]",2026-01-13T18:11:45.140315
