service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
0440VELSALVV05L,,SETC,VELLORE,SALEM,,,6.30Hrs,45 Seats Available,Standard,Rs 186,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0440VELSALVV05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""322D""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:30""}, {""city"": ""230.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""186""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""04:10""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""09:40""}]",2026-01-13T18:43:41.322533
0440VELSALVV05L,,SETC,VELLORE,SALEM,,,6.30Hrs,45 Seats Available,Standard,Rs 186,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0440VELSALVV05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""322D""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:30""}, {""city"": ""230.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""186""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""04:10""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""09:40""}]",2026-01-13T18:43:41.322533
0410VELSALVV05L,,SETC,VELLORE,SALEM,,,6.30Hrs,45 Seats Available,Standard,Rs 186,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0410VELSALVV05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""322C""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:30""}, {""city"": ""230.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""186""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""04:10""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""09:40""}]",2026-01-13T18:43:41.322533
0410VELSALVV05L,,SETC,VELLORE,SALEM,,,6.30Hrs,45 Seats Available,Standard,Rs 186,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0410VELSALVV05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""322C""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:30""}, {""city"": ""230.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""186""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""04:10""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""09:40""}]",2026-01-13T18:43:41.322533
1240VELSALVV05L,,SETC,VELLORE,SALEM,,,6.30Hrs,45 Seats Available,Standard,Rs 186,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1240VELSALVV05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""322L""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:30""}, {""city"": ""230.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""186""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""04:40""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""10:10""}]",2026-01-13T18:43:41.322533
1240VELSALVV05L,,SETC,VELLORE,SALEM,,,6.30Hrs,45 Seats Available,Standard,Rs 186,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1240VELSALVV05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""322L""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:30""}, {""city"": ""230.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""186""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""04:40""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""10:10""}]",2026-01-13T18:43:41.322533
0540VELSALVV05L,,SETC,VELLORE,SALEM,,,6.30Hrs,45 Seats Available,Standard,Rs 186,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0540VELSALVV05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""322B""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:30""}, {""city"": ""230.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""186""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""05:40""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""11:10""}]",2026-01-13T18:43:41.322533
0540VELSALVV05L,,SETC,VELLORE,SALEM,,,6.30Hrs,45 Seats Available,Standard,Rs 186,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0540VELSALVV05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""322B""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:30""}, {""city"": ""230.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""186""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""05:40""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""11:10""}]",2026-01-13T18:43:41.322533
1145VELSALVV05L,,SETC,VELLORE,SALEM,,,6.30Hrs,45 Seats Available,Standard,Rs 186,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1145VELSALVV05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""322G""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:30""}, {""city"": ""230.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""186""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""07:50""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""13:20""}]",2026-01-13T18:43:41.322533
1145VELSALVV05L,,SETC,VELLORE,SALEM,,,6.30Hrs,45 Seats Available,Standard,Rs 186,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1145VELSALVV05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""322G""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""SALEM""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:30""}, {""city"": ""230.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""186""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""07:50""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""13:20""}]",2026-01-13T18:43:41.322533
