service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
0015KCBKAAVV04L,,SETC,CHENNAI,KALLAKURICHI,,,4.45Hrs,45 Seats Available,Standard,Rs 180,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0015KCBKAAVV04L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""177AH""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""KALLAKURICHI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""4:45""}, {""city"": ""211.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""180""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""00:15""}, {""city"": ""KALLAKURICHI"", ""landmark"": ""KALLAKURICHI"", ""time"": ""05:00""}]",2026-01-13T17:59:07.424879
0015KCBKAAVV04L,,SETC,CHENNAI,KALLAKURICHI,,,4.45Hrs,45 Seats Available,Standard,Rs 180,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0015KCBKAAVV04L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""177AH""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""KALLAKURICHI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""4:45""}, {""city"": ""211.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""180""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""00:15""}, {""city"": ""KALLAKURICHI"", ""landmark"": ""KALLAKURICHI"", ""time"": ""05:00""}]",2026-01-13T17:59:07.424879
0115KCBKAAVV01L,,SETC,CHENNAI,KALLAKURICHI,,,4.45Hrs,45 Seats Available,Standard,Rs 180,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0115KCBKAAVV01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""281AJ""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""KALLAKURICHI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""4:45""}, {""city"": ""211.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""180""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""01:15""}, {""city"": ""KALLAKURICHI"", ""landmark"": ""KALLAKURICHI"", ""time"": ""06:00""}]",2026-01-13T17:59:07.424879
0115KCBKAAVV01L,,SETC,CHENNAI,KALLAKURICHI,,,4.45Hrs,45 Seats Available,Standard,Rs 180,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0115KCBKAAVV01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""281AJ""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""KALLAKURICHI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""4:45""}, {""city"": ""211.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""180""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""01:15""}, {""city"": ""KALLAKURICHI"", ""landmark"": ""KALLAKURICHI"", ""time"": ""06:00""}]",2026-01-13T17:59:07.424879
0130KCBKAAVV01L,,SETC,CHENNAI,KALLAKURICHI,,,4.45Hrs,45 Seats Available,Standard,Rs 180,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0130KCBKAAVV01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""177B""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""KALLAKURICHI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""4:45""}, {""city"": ""211.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""180""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""01:30""}, {""city"": ""KALLAKURICHI"", ""landmark"": ""KALLAKURICHI"", ""time"": ""06:15""}]",2026-01-13T17:59:07.424879
0130KCBKAAVV01L,,SETC,CHENNAI,KALLAKURICHI,,,4.45Hrs,45 Seats Available,Standard,Rs 180,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0130KCBKAAVV01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""177B""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""KALLAKURICHI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""4:45""}, {""city"": ""211.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""180""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""01:30""}, {""city"": ""KALLAKURICHI"", ""landmark"": ""KALLAKURICHI"", ""time"": ""06:15""}]",2026-01-13T17:59:07.424879
0200KCBKAAVV01L,,SETC,CHENNAI,KALLAKURICHI,,,4.45Hrs,45 Seats Available,Standard,Rs 180,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0200KCBKAAVV01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""308A""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""KALLAKURICHI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""4:45""}, {""city"": ""211.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""180""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""02:00""}, {""city"": ""KALLAKURICHI"", ""landmark"": ""KALLAKURICHI"", ""time"": ""06:45""}]",2026-01-13T17:59:07.424879
0200KCBKAAVV01L,,SETC,CHENNAI,KALLAKURICHI,,,4.45Hrs,45 Seats Available,Standard,Rs 180,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0200KCBKAAVV01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""308A""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""KALLAKURICHI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""4:45""}, {""city"": ""211.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""180""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""02:00""}, {""city"": ""KALLAKURICHI"", ""landmark"": ""KALLAKURICHI"", ""time"": ""06:45""}]",2026-01-13T17:59:07.424879
0220KCBKAAVV01L,,SETC,CHENNAI,KALLAKURICHI,,,4.45Hrs,45 Seats Available,Standard,Rs 180,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0220KCBKAAVV01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""177G""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""KALLAKURICHI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""4:45""}, {""city"": ""211.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""180""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""02:20""}, {""city"": ""KALLAKURICHI"", ""landmark"": ""KALLAKURICHI"", ""time"": ""07:05""}]",2026-01-13T17:59:07.424879
0220KCBKAAVV01L,,SETC,CHENNAI,KALLAKURICHI,,,4.45Hrs,45 Seats Available,Standard,Rs 180,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0220KCBKAAVV01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""177G""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""KALLAKURICHI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""4:45""}, {""city"": ""211.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""VILLUPURAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""180""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""02:20""}, {""city"": ""KALLAKURICHI"", ""landmark"": ""KALLAKURICHI"", ""time"": ""07:05""}]",2026-01-13T17:59:07.424879
