service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
0620COITIUTT02L,,SETC,COIMBATORE,TIRUNELVELI,,,9.45Hrs,45 Seats Available,Standard,Rs 303,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0620COITIUTT02L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""601B""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:45""}, {""city"": ""391.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""TIRUNELVEL""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""303""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""SINGANALLUR BS"", ""time"": ""06:20""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""15:05""}]",2026-01-13T18:25:38.610341
0620COITIUTT02L,,SETC,COIMBATORE,TIRUNELVELI,,,9.45Hrs,45 Seats Available,Standard,Rs 303,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0620COITIUTT02L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""601B""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:45""}, {""city"": ""391.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""TIRUNELVEL""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""303""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""SINGANALLUR BS"", ""time"": ""06:20""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""15:05""}]",2026-01-13T18:25:38.610341
1050COITIUCC01L,,SETC,COIMBATORE,TIRUNELVELI,,,9.45Hrs,45 Seats Available,Standard,Rs 299,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1050COITIUCC01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""874A""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:45""}, {""city"": ""391.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""299""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""SINGANALLUR BS"", ""time"": ""10:50""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""19:35""}]",2026-01-13T18:25:38.610341
1050COITIUCC01L,,SETC,COIMBATORE,TIRUNELVELI,,,9.45Hrs,45 Seats Available,Standard,Rs 299,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1050COITIUCC01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""874A""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:45""}, {""city"": ""391.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""299""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""COIMBATORE"", ""landmark"": ""SINGANALLUR BS"", ""time"": ""10:50""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""19:35""}]",2026-01-13T18:25:38.610341
1445OOTTRV,,SETC,COIMBATORE,TIRUNELVELI,,,8.30Hrs,26 Seats Available,Standard,Rs 388,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1445OOTTRV"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""783UD""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:30""}, {""city"": ""391.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""388""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""OOTY"", ""landmark"": ""OOTY"", ""time"": ""14:45""}, {""city"": ""OOTY"", ""landmark"": ""COONOOR"", ""time"": ""15:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""18:15""}, {""city"": ""POLLACHI"", ""landmark"": ""POLLACHI"", ""time"": ""19:05""}, {""city"": ""POLLACHI"", ""landmark"": ""UDUMALPET"", ""time"": ""19:40""}, {""city"": ""PALANI"", ""landmark"": ""PALANI"", ""time"": ""20:15""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""02:15""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""03:45""}, {""city"": ""MARTHANDAM"", ""landmark"": ""MARTHANDAM"", ""time"": ""04:30""}, {""city"": ""TRIVANDRUM"", ""landmark"": ""TRIVANDRUM"", ""time"": ""05:45""}]",2026-01-13T18:25:38.610341
1445OOTTRV,,SETC,COIMBATORE,TIRUNELVELI,,,8.30Hrs,26 Seats Available,Standard,Rs 388,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1445OOTTRV"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""783UD""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:30""}, {""city"": ""391.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""388""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""OOTY"", ""landmark"": ""OOTY"", ""time"": ""14:45""}, {""city"": ""OOTY"", ""landmark"": ""COONOOR"", ""time"": ""15:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""18:15""}, {""city"": ""POLLACHI"", ""landmark"": ""POLLACHI"", ""time"": ""19:05""}, {""city"": ""POLLACHI"", ""landmark"": ""UDUMALPET"", ""time"": ""19:40""}, {""city"": ""PALANI"", ""landmark"": ""PALANI"", ""time"": ""20:15""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""02:15""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""03:45""}, {""city"": ""MARTHANDAM"", ""landmark"": ""MARTHANDAM"", ""time"": ""04:30""}, {""city"": ""TRIVANDRUM"", ""landmark"": ""TRIVANDRUM"", ""time"": ""05:45""}]",2026-01-13T18:25:38.610341
1300GULKAK,,SETC,COIMBATORE,TIRUNELVELI,,,8.30Hrs,26 Seats Available,Standard,Rs 391,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1300GULKAK"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""664EUD""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:30""}, {""city"": ""391.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""391""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""GUDALORE (OOTY)"", ""landmark"": ""GUDALORE (OOTY)"", ""time"": ""13:00""}, {""city"": ""OOTY"", ""landmark"": ""OOTY"", ""time"": ""15:00""}, {""city"": ""OOTY"", ""landmark"": ""COONOOR"", ""time"": ""15:45""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""18:30""}, {""city"": ""KOVILPATTI"", ""landmark"": ""KOVILPATTI BYPASS BS"", ""time"": ""02:15""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""03:15""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""04:45""}, {""city"": ""KANYAKUMARI"", ""landmark"": ""KANYAKUMARI"", ""time"": ""05:30""}]",2026-01-13T18:25:38.610341
1300GULKAK,,SETC,COIMBATORE,TIRUNELVELI,,,8.30Hrs,26 Seats Available,Standard,Rs 391,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1300GULKAK"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""664EUD""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:30""}, {""city"": ""391.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""391""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""GUDALORE (OOTY)"", ""landmark"": ""GUDALORE (OOTY)"", ""time"": ""13:00""}, {""city"": ""OOTY"", ""landmark"": ""OOTY"", ""time"": ""15:00""}, {""city"": ""OOTY"", ""landmark"": ""COONOOR"", ""time"": ""15:45""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""18:30""}, {""city"": ""KOVILPATTI"", ""landmark"": ""KOVILPATTI BYPASS BS"", ""time"": ""02:15""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""03:15""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""04:45""}, {""city"": ""KANYAKUMARI"", ""landmark"": ""KANYAKUMARI"", ""time"": ""05:30""}]",2026-01-13T18:25:38.610341
1515OOTMAR,,SETC,COIMBATORE,TIRUNELVELI,,,8.30Hrs,32 Seats Available,Standard,Rs 393,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1515OOTMAR"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""664MUD""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:30""}, {""city"": ""391.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""393""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""OOTY"", ""landmark"": ""OOTY"", ""time"": ""15:15""}, {""city"": ""OOTY"", ""landmark"": ""COONOOR"", ""time"": ""16:00""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""19:00""}, {""city"": ""KOVILPATTI"", ""landmark"": ""KOVILPATTI BYPASS BS"", ""time"": ""02:00""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""03:00""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""04:30""}, {""city"": ""MARTHANDAM"", ""landmark"": ""MARTHANDAM"", ""time"": ""05:15""}]",2026-01-13T18:25:38.610341
1515OOTMAR,,SETC,COIMBATORE,TIRUNELVELI,,,8.30Hrs,32 Seats Available,Standard,Rs 393,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1515OOTMAR"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""664MUD""}, {""city"": ""COIMBATORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:30""}, {""city"": ""391.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""393""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""OOTY"", ""landmark"": ""OOTY"", ""time"": ""15:15""}, {""city"": ""OOTY"", ""landmark"": ""COONOOR"", ""time"": ""16:00""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""19:00""}, {""city"": ""KOVILPATTI"", ""landmark"": ""KOVILPATTI BYPASS BS"", ""time"": ""02:00""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""03:00""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""04:30""}, {""city"": ""MARTHANDAM"", ""landmark"": ""MARTHANDAM"", ""time"": ""05:15""}]",2026-01-13T18:25:38.610341
