service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
1615KAKGUL,,SETC,NAGERCOIL,COIMBATORE,,,10.00Hrs,10 Seats Available,Standard,Rs 467,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1615KAKGUL"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""664EUD""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""10:00""}, {""city"": ""467.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""467""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""KANYAKUMARI"", ""landmark"": ""KANYAKUMARI"", ""time"": ""16:15""}, {""city"": ""KANYAKUMARI"", ""landmark"": ""KOTTARAM"", ""time"": ""16:25""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""17:00""}, {""city"": ""VALLIYOOR"", ""landmark"": ""VALLIYOOR"", ""time"": ""17:45""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""19:00""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""03:15""}, {""city"": ""OOTY"", ""landmark"": ""OOTY"", ""time"": ""06:30""}, {""city"": ""GUDALORE (OOTY)"", ""landmark"": ""GUDALORE (OOTY)"", ""time"": ""08:45""}]",2026-01-13T19:24:50.201416
1615KAKGUL,,SETC,NAGERCOIL,COIMBATORE,,,10.00Hrs,10 Seats Available,Standard,Rs 467,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1615KAKGUL"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""664EUD""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""10:00""}, {""city"": ""467.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""467""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""KANYAKUMARI"", ""landmark"": ""KANYAKUMARI"", ""time"": ""16:15""}, {""city"": ""KANYAKUMARI"", ""landmark"": ""KOTTARAM"", ""time"": ""16:25""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""17:00""}, {""city"": ""VALLIYOOR"", ""landmark"": ""VALLIYOOR"", ""time"": ""17:45""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""19:00""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""03:15""}, {""city"": ""OOTY"", ""landmark"": ""OOTY"", ""time"": ""06:30""}, {""city"": ""GUDALORE (OOTY)"", ""landmark"": ""GUDALORE (OOTY)"", ""time"": ""08:45""}]",2026-01-13T19:24:50.201416
1500TRVOOT,,SETC,NAGERCOIL,COIMBATORE,,,10.00Hrs,8 Seats Available,Standard,Rs 467,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1500TRVOOT"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""783UD""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""10:00""}, {""city"": ""467.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""467""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRIVANDRUM"", ""landmark"": ""TRIVANDRUM"", ""time"": ""15:00""}, {""city"": ""MARTHANDAM"", ""landmark"": ""MARTHANDAM"", ""time"": ""16:00""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""17:30""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""19:45""}, {""city"": ""POLLACHI"", ""landmark"": ""PALANI"", ""time"": ""02:30""}, {""city"": ""POLLACHI"", ""landmark"": ""UDUMALPET"", ""time"": ""02:45""}, {""city"": ""POLLACHI"", ""landmark"": ""POLLACHI"", ""time"": ""03:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""04:30""}, {""city"": ""OOTY"", ""landmark"": ""OOTY"", ""time"": ""06:45""}]",2026-01-13T19:24:50.201416
1500TRVOOT,,SETC,NAGERCOIL,COIMBATORE,,,10.00Hrs,8 Seats Available,Standard,Rs 467,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1500TRVOOT"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""783UD""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""10:00""}, {""city"": ""467.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""467""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRIVANDRUM"", ""landmark"": ""TRIVANDRUM"", ""time"": ""15:00""}, {""city"": ""MARTHANDAM"", ""landmark"": ""MARTHANDAM"", ""time"": ""16:00""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""17:30""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""19:45""}, {""city"": ""POLLACHI"", ""landmark"": ""PALANI"", ""time"": ""02:30""}, {""city"": ""POLLACHI"", ""landmark"": ""UDUMALPET"", ""time"": ""02:45""}, {""city"": ""POLLACHI"", ""landmark"": ""POLLACHI"", ""time"": ""03:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""04:30""}, {""city"": ""OOTY"", ""landmark"": ""OOTY"", ""time"": ""06:45""}]",2026-01-13T19:24:50.201416
1730NAGCOITT01L,,SETC,NAGERCOIL,COIMBATORE,,,12.30Hrs,43 Seats Available,Standard,Rs 362,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1730NAGCOITT01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""505CBEE""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""12:30""}, {""city"": ""467.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""TIRUNELVEL""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""362""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""17:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""05:00""}]",2026-01-13T19:24:50.201416
1730NAGCOITT01L,,SETC,NAGERCOIL,COIMBATORE,,,12.30Hrs,43 Seats Available,Standard,Rs 362,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1730NAGCOITT01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""505CBEE""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""12:30""}, {""city"": ""467.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""TIRUNELVEL""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""362""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""17:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""05:00""}]",2026-01-13T19:24:50.201416
1730KAKOOT,,SETC,NAGERCOIL,COIMBATORE,,,10.00Hrs,6 Seats Available,Standard,Rs 467,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1730KAKOOT"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""664KUD""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""10:00""}, {""city"": ""467.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""467""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""KANYAKUMARI"", ""landmark"": ""KANYAKUMARI"", ""time"": ""17:30""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""18:30""}, {""city"": ""VALLIYOOR"", ""landmark"": ""VALLIYOOR"", ""time"": ""19:10""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""20:30""}, {""city"": ""KOVILPATTI"", ""landmark"": ""KOVILPATTI BYPASS BS"", ""time"": ""21:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""04:00""}, {""city"": ""OOTY"", ""landmark"": ""OOTY"", ""time"": ""07:30""}]",2026-01-13T19:24:50.201416
1730KAKOOT,,SETC,NAGERCOIL,COIMBATORE,,,10.00Hrs,6 Seats Available,Standard,Rs 467,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1730KAKOOT"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""664KUD""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""10:00""}, {""city"": ""467.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""467""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""KANYAKUMARI"", ""landmark"": ""KANYAKUMARI"", ""time"": ""17:30""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""18:30""}, {""city"": ""VALLIYOOR"", ""landmark"": ""VALLIYOOR"", ""time"": ""19:10""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""20:30""}, {""city"": ""KOVILPATTI"", ""landmark"": ""KOVILPATTI BYPASS BS"", ""time"": ""21:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""04:00""}, {""city"": ""OOTY"", ""landmark"": ""OOTY"", ""time"": ""07:30""}]",2026-01-13T19:24:50.201416
1800MAROOT,,SETC,NAGERCOIL,COIMBATORE,,,10.00Hrs,5 Seats Available,Standard,Rs 477,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1800MAROOT"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""669UD""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""10:00""}, {""city"": ""467.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""477""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MARTHANDAM"", ""landmark"": ""MARTHANDAM"", ""time"": ""18:00""}, {""city"": ""MARTHANDAM"", ""landmark"": ""THUCKKALAY"", ""time"": ""18:15""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""19:15""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""ARALVAIMOZHI"", ""time"": ""19:45""}, {""city"": ""VALLIYOOR"", ""landmark"": ""VALLIYOOR"", ""time"": ""20:00""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""21:00""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR OLD BUSSTAND"", ""time"": ""03:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""05:00""}, {""city"": ""OOTY"", ""landmark"": ""OOTY"", ""time"": ""08:00""}]",2026-01-13T19:24:50.201416
1800MAROOT,,SETC,NAGERCOIL,COIMBATORE,,,10.00Hrs,5 Seats Available,Standard,Rs 477,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1800MAROOT"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""669UD""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""10:00""}, {""city"": ""467.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""477""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""MARTHANDAM"", ""landmark"": ""MARTHANDAM"", ""time"": ""18:00""}, {""city"": ""MARTHANDAM"", ""landmark"": ""THUCKKALAY"", ""time"": ""18:15""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""19:15""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""ARALVAIMOZHI"", ""time"": ""19:45""}, {""city"": ""VALLIYOOR"", ""landmark"": ""VALLIYOOR"", ""time"": ""20:00""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""21:00""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR OLD BUSSTAND"", ""time"": ""03:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""05:00""}, {""city"": ""OOTY"", ""landmark"": ""OOTY"", ""time"": ""08:00""}]",2026-01-13T19:24:50.201416
