service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
0720TIUCOICC01L,,SETC,TIRUNELVELI,COIMBATORE,,,9.00Hrs,45 Seats Available,Standard,Rs 299,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0720TIUCOICC01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""874B""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:00""}, {""city"": ""401.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""299""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""07:20""}, {""city"": ""COIMBATORE"", ""landmark"": ""SINGANALLUR BS"", ""time"": ""17:10""}]",2026-01-13T19:31:38.365259
0720TIUCOICC01L,,SETC,TIRUNELVELI,COIMBATORE,,,9.00Hrs,45 Seats Available,Standard,Rs 299,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0720TIUCOICC01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""874B""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:00""}, {""city"": ""401.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""299""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""07:20""}, {""city"": ""COIMBATORE"", ""landmark"": ""SINGANALLUR BS"", ""time"": ""17:10""}]",2026-01-13T19:31:38.365259
0750TIUCOITT01L,,SETC,TIRUNELVELI,COIMBATORE,,,9.00Hrs,45 Seats Available,Standard,Rs 303,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0750TIUCOITT01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""601A""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:00""}, {""city"": ""401.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""TIRUNELVEL""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""303""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""07:50""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""16:50""}]",2026-01-13T19:31:38.365259
0750TIUCOITT01L,,SETC,TIRUNELVELI,COIMBATORE,,,9.00Hrs,45 Seats Available,Standard,Rs 303,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0750TIUCOITT01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""601A""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""9:00""}, {""city"": ""401.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""TIRUNELVEL""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""303""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""07:50""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""16:50""}]",2026-01-13T19:31:38.365259
1615KAKGUL,,SETC,TIRUNELVELI,COIMBATORE,,,8.30Hrs,10 Seats Available,Standard,Rs 393,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1615KAKGUL"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""664EUD""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:30""}, {""city"": ""391.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""393""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""KANYAKUMARI"", ""landmark"": ""KANYAKUMARI"", ""time"": ""16:15""}, {""city"": ""KANYAKUMARI"", ""landmark"": ""KOTTARAM"", ""time"": ""16:25""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""17:00""}, {""city"": ""VALLIYOOR"", ""landmark"": ""VALLIYOOR"", ""time"": ""17:45""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""19:00""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""03:15""}, {""city"": ""OOTY"", ""landmark"": ""OOTY"", ""time"": ""06:30""}, {""city"": ""GUDALORE (OOTY)"", ""landmark"": ""GUDALORE (OOTY)"", ""time"": ""08:45""}]",2026-01-13T19:31:38.365259
1615KAKGUL,,SETC,TIRUNELVELI,COIMBATORE,,,8.30Hrs,10 Seats Available,Standard,Rs 393,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1615KAKGUL"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""664EUD""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:30""}, {""city"": ""391.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""393""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""KANYAKUMARI"", ""landmark"": ""KANYAKUMARI"", ""time"": ""16:15""}, {""city"": ""KANYAKUMARI"", ""landmark"": ""KOTTARAM"", ""time"": ""16:25""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""17:00""}, {""city"": ""VALLIYOOR"", ""landmark"": ""VALLIYOOR"", ""time"": ""17:45""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""19:00""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""03:15""}, {""city"": ""OOTY"", ""landmark"": ""OOTY"", ""time"": ""06:30""}, {""city"": ""GUDALORE (OOTY)"", ""landmark"": ""GUDALORE (OOTY)"", ""time"": ""08:45""}]",2026-01-13T19:31:38.365259
1730PNMOOT,,SETC,TIRUNELVELI,COIMBATORE,,,8.30Hrs,3 Seats Available,Standard,Rs 393,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1730PNMOOT"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""666UD""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:30""}, {""city"": ""391.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""393""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""PAPANASAM-TNV"", ""landmark"": ""PAPANASAM-TNV"", ""time"": ""17:30""}, {""city"": ""PAPANASAM-TNV"", ""landmark"": ""VEERAVANALLUR PS BYPASS"", ""time"": ""18:15""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""19:30""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""VANNARPETTAI"", ""time"": ""19:35""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""THACHANALLUR BYPASS"", ""time"": ""19:40""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""SANKAR NAGER"", ""time"": ""19:50""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""KAYATHAR TOLL PLAZA"", ""time"": ""20:00""}, {""city"": ""KOVILPATTI"", ""landmark"": ""KOVILPATTI BYPASS BS"", ""time"": ""20:30""}, {""city"": ""VIRUDHUNAGAR"", ""landmark"": ""COLLECTOR OFFICE BUS STAND"", ""time"": ""22:00""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""02:00""}, {""city"": ""METTTUPALYAM"", ""landmark"": ""METTTUPALYAM"", ""time"": ""03:00""}, {""city"": ""COONOOR"", ""landmark"": ""COONOOR"", ""time"": ""04:15""}, {""city"": ""OOTY"", ""landmark"": ""OOTY"", ""time"": ""05:30""}]",2026-01-13T19:31:38.365259
1730PNMOOT,,SETC,TIRUNELVELI,COIMBATORE,,,8.30Hrs,3 Seats Available,Standard,Rs 393,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1730PNMOOT"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""666UD""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:30""}, {""city"": ""391.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""393""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""PAPANASAM-TNV"", ""landmark"": ""PAPANASAM-TNV"", ""time"": ""17:30""}, {""city"": ""PAPANASAM-TNV"", ""landmark"": ""VEERAVANALLUR PS BYPASS"", ""time"": ""18:15""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""19:30""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""VANNARPETTAI"", ""time"": ""19:35""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""THACHANALLUR BYPASS"", ""time"": ""19:40""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""SANKAR NAGER"", ""time"": ""19:50""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""KAYATHAR TOLL PLAZA"", ""time"": ""20:00""}, {""city"": ""KOVILPATTI"", ""landmark"": ""KOVILPATTI BYPASS BS"", ""time"": ""20:30""}, {""city"": ""VIRUDHUNAGAR"", ""landmark"": ""COLLECTOR OFFICE BUS STAND"", ""time"": ""22:00""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""02:00""}, {""city"": ""METTTUPALYAM"", ""landmark"": ""METTTUPALYAM"", ""time"": ""03:00""}, {""city"": ""COONOOR"", ""landmark"": ""COONOOR"", ""time"": ""04:15""}, {""city"": ""OOTY"", ""landmark"": ""OOTY"", ""time"": ""05:30""}]",2026-01-13T19:31:38.365259
1500TRVOOT,,SETC,TIRUNELVELI,COIMBATORE,,,8.30Hrs,8 Seats Available,Standard,Rs 388,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1500TRVOOT"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""783UD""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:30""}, {""city"": ""391.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""388""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRIVANDRUM"", ""landmark"": ""TRIVANDRUM"", ""time"": ""15:00""}, {""city"": ""MARTHANDAM"", ""landmark"": ""MARTHANDAM"", ""time"": ""16:00""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""17:30""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""19:45""}, {""city"": ""POLLACHI"", ""landmark"": ""PALANI"", ""time"": ""02:30""}, {""city"": ""POLLACHI"", ""landmark"": ""UDUMALPET"", ""time"": ""02:45""}, {""city"": ""POLLACHI"", ""landmark"": ""POLLACHI"", ""time"": ""03:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""04:30""}, {""city"": ""OOTY"", ""landmark"": ""OOTY"", ""time"": ""06:45""}]",2026-01-13T19:31:38.365259
1500TRVOOT,,SETC,TIRUNELVELI,COIMBATORE,,,8.30Hrs,8 Seats Available,Standard,Rs 388,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1500TRVOOT"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""783UD""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:30""}, {""city"": ""391.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""388""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRIVANDRUM"", ""landmark"": ""TRIVANDRUM"", ""time"": ""15:00""}, {""city"": ""MARTHANDAM"", ""landmark"": ""MARTHANDAM"", ""time"": ""16:00""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""17:30""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""19:45""}, {""city"": ""POLLACHI"", ""landmark"": ""PALANI"", ""time"": ""02:30""}, {""city"": ""POLLACHI"", ""landmark"": ""UDUMALPET"", ""time"": ""02:45""}, {""city"": ""POLLACHI"", ""landmark"": ""POLLACHI"", ""time"": ""03:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""04:30""}, {""city"": ""OOTY"", ""landmark"": ""OOTY"", ""time"": ""06:45""}]",2026-01-13T19:31:38.365259
