service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
0715TPPKUMKK05L,,SETC,TIRUPPUR,KUMBAKONAM,,,7.30Hrs,45 Seats Available,Standard,Rs 221,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0715TPPKUMKK05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""150C""}, {""city"": ""TIRUPPUR"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""KUMBAKONAM""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:30""}, {""city"": ""290.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""KUMBAKONAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""221""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR NEW BUSSTAND"", ""time"": ""07:15""}, {""city"": ""KUMBAKONAM"", ""landmark"": ""KUMBAKONAM"", ""time"": ""15:10""}]",2026-01-13T18:35:51.224287
0715TPPKUMKK05L,,SETC,TIRUPPUR,KUMBAKONAM,,,7.30Hrs,45 Seats Available,Standard,Rs 221,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0715TPPKUMKK05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""150C""}, {""city"": ""TIRUPPUR"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""KUMBAKONAM""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:30""}, {""city"": ""290.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""KUMBAKONAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""221""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR NEW BUSSTAND"", ""time"": ""07:15""}, {""city"": ""KUMBAKONAM"", ""landmark"": ""KUMBAKONAM"", ""time"": ""15:10""}]",2026-01-13T18:35:51.224287
1025TPPKUMCC01L,,SETC,TIRUPPUR,KUMBAKONAM,,,7.30Hrs,45 Seats Available,Standard,Rs 224,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1025TPPKUMCC01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""857A""}, {""city"": ""TIRUPPUR"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""KUMBAKONAM""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:30""}, {""city"": ""290.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""224""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR NEW BUSSTAND"", ""time"": ""10:25""}, {""city"": ""KUMBAKONAM"", ""landmark"": ""KUMBAKONAM"", ""time"": ""18:20""}]",2026-01-13T18:35:51.224287
1025TPPKUMCC01L,,SETC,TIRUPPUR,KUMBAKONAM,,,7.30Hrs,45 Seats Available,Standard,Rs 224,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1025TPPKUMCC01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""857A""}, {""city"": ""TIRUPPUR"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""KUMBAKONAM""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:30""}, {""city"": ""290.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""224""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR NEW BUSSTAND"", ""time"": ""10:25""}, {""city"": ""KUMBAKONAM"", ""landmark"": ""KUMBAKONAM"", ""time"": ""18:20""}]",2026-01-13T18:35:51.224287
1100TPPKUMCC01L,,SETC,TIRUPPUR,KUMBAKONAM,,,7.30Hrs,45 Seats Available,Standard,Rs 224,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1100TPPKUMCC01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""857C""}, {""city"": ""TIRUPPUR"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""KUMBAKONAM""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:30""}, {""city"": ""290.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""224""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR NEW BUSSTAND"", ""time"": ""11:00""}, {""city"": ""KUMBAKONAM"", ""landmark"": ""KUMBAKONAM"", ""time"": ""18:55""}]",2026-01-13T18:35:51.224287
1100TPPKUMCC01L,,SETC,TIRUPPUR,KUMBAKONAM,,,7.30Hrs,45 Seats Available,Standard,Rs 224,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1100TPPKUMCC01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""857C""}, {""city"": ""TIRUPPUR"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""KUMBAKONAM""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:30""}, {""city"": ""290.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""224""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR NEW BUSSTAND"", ""time"": ""11:00""}, {""city"": ""KUMBAKONAM"", ""landmark"": ""KUMBAKONAM"", ""time"": ""18:55""}]",2026-01-13T18:35:51.224287
1300TPPKUMCC01L,,SETC,TIRUPPUR,KUMBAKONAM,,,7.30Hrs,45 Seats Available,Standard,Rs 224,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1300TPPKUMCC01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""857B""}, {""city"": ""TIRUPPUR"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""KUMBAKONAM""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:30""}, {""city"": ""290.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""224""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR NEW BUSSTAND"", ""time"": ""13:00""}, {""city"": ""KUMBAKONAM"", ""landmark"": ""KUMBAKONAM"", ""time"": ""20:55""}]",2026-01-13T18:35:51.224287
1300TPPKUMCC01L,,SETC,TIRUPPUR,KUMBAKONAM,,,7.30Hrs,45 Seats Available,Standard,Rs 224,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1300TPPKUMCC01L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""857B""}, {""city"": ""TIRUPPUR"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""KUMBAKONAM""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:30""}, {""city"": ""290.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""224""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR NEW BUSSTAND"", ""time"": ""13:00""}, {""city"": ""KUMBAKONAM"", ""landmark"": ""KUMBAKONAM"", ""time"": ""20:55""}]",2026-01-13T18:35:51.224287
1900TPPKUMKK05L,,SETC,TIRUPPUR,KUMBAKONAM,,,7.30Hrs,45 Seats Available,Standard,Rs 221,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1900TPPKUMKK05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""138""}, {""city"": ""TIRUPPUR"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""KUMBAKONAM""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:30""}, {""city"": ""290.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""KUMBAKONAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""221""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR NEW BUSSTAND"", ""time"": ""19:00""}, {""city"": ""KUMBAKONAM"", ""landmark"": ""KUMBAKONAM"", ""time"": ""02:55""}]",2026-01-13T18:35:51.224287
1900TPPKUMKK05L,,SETC,TIRUPPUR,KUMBAKONAM,,,7.30Hrs,45 Seats Available,Standard,Rs 221,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1900TPPKUMKK05L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""138""}, {""city"": ""TIRUPPUR"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""KUMBAKONAM""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:30""}, {""city"": ""290.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""KUMBAKONAM""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""221""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR NEW BUSSTAND"", ""time"": ""19:00""}, {""city"": ""KUMBAKONAM"", ""landmark"": ""KUMBAKONAM"", ""time"": ""02:55""}]",2026-01-13T18:35:51.224287
