service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
0515TPPTIUTT02L,,SETC,TIRUPPUR,TIRUNELVELI,,,8.22Hrs,45 Seats Available,Standard,Rs 294,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0515TPPTIUTT02L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""620C""}, {""city"": ""TIRUPPUR"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:22""}, {""city"": ""345.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""TIRUNELVEL""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""294""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR KOVILVALI BS"", ""time"": ""05:15""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""13:37""}]",2026-01-13T18:32:19.426053
0515TPPTIUTT02L,,SETC,TIRUPPUR,TIRUNELVELI,,,8.22Hrs,45 Seats Available,Standard,Rs 294,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0515TPPTIUTT02L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""620C""}, {""city"": ""TIRUPPUR"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:22""}, {""city"": ""345.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""TIRUNELVEL""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""294""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR KOVILVALI BS"", ""time"": ""05:15""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""13:37""}]",2026-01-13T18:32:19.426053
1600TPPTIUTT02L,,SETC,TIRUPPUR,TIRUNELVELI,,,8.22Hrs,45 Seats Available,Standard,Rs 294,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1600TPPTIUTT02L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""620B""}, {""city"": ""TIRUPPUR"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:22""}, {""city"": ""345.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""TIRUNELVEL""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""294""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR KOVILVALI BS"", ""time"": ""16:00""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""00:22""}]",2026-01-13T18:32:19.426053
1600TPPTIUTT02L,,SETC,TIRUPPUR,TIRUNELVELI,,,8.22Hrs,45 Seats Available,Standard,Rs 294,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1600TPPTIUTT02L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""620B""}, {""city"": ""TIRUPPUR"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:22""}, {""city"": ""345.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""TIRUNELVEL""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""294""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR KOVILVALI BS"", ""time"": ""16:00""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""00:22""}]",2026-01-13T18:32:19.426053
2130TPPMAR,,SETC,TIRUPPUR,TIRUNELVELI,,,6.30Hrs,33 Seats Available,Standard,Rs 345,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2130TPPMAR"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""669UD""}, {""city"": ""TIRUPPUR"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:30""}, {""city"": ""345.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""345""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR OLD BUS STAND"", ""time"": ""21:30""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""02:15""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""04:45""}, {""city"": ""MARTHANDAM"", ""landmark"": ""MARTHANDAM"", ""time"": ""05:30""}]",2026-01-13T18:32:19.426053
2130TPPMAR,,SETC,TIRUPPUR,TIRUNELVELI,,,6.30Hrs,33 Seats Available,Standard,Rs 345,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2130TPPMAR"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""669UD""}, {""city"": ""TIRUPPUR"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:30""}, {""city"": ""345.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""345""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR OLD BUS STAND"", ""time"": ""21:30""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""02:15""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""04:45""}, {""city"": ""MARTHANDAM"", ""landmark"": ""MARTHANDAM"", ""time"": ""05:30""}]",2026-01-13T18:32:19.426053
1705OOTNAG,,SETC,TIRUPPUR,TIRUNELVELI,,,6.30Hrs,25 Seats Available,Standard,Rs 343,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1705OOTNAG"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""664AVUD""}, {""city"": ""TIRUPPUR"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:30""}, {""city"": ""345.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""343""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""OOTY"", ""landmark"": ""OOTY"", ""time"": ""17:05""}, {""city"": ""METTTUPALYAM"", ""landmark"": ""METTTUPALYAM"", ""time"": ""19:05""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR OLD BUSSTAND"", ""time"": ""21:45""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR KOVILVALI BS"", ""time"": ""22:15""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""04:20""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""06:00""}]",2026-01-13T18:32:19.426053
1705OOTNAG,,SETC,TIRUPPUR,TIRUNELVELI,,,6.30Hrs,25 Seats Available,Standard,Rs 343,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1705OOTNAG"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""664AVUD""}, {""city"": ""TIRUPPUR"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:30""}, {""city"": ""345.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""343""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""OOTY"", ""landmark"": ""OOTY"", ""time"": ""17:05""}, {""city"": ""METTTUPALYAM"", ""landmark"": ""METTTUPALYAM"", ""time"": ""19:05""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR OLD BUSSTAND"", ""time"": ""21:45""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR KOVILVALI BS"", ""time"": ""22:15""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""04:20""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""06:00""}]",2026-01-13T18:32:19.426053
2330TPPTIUTT02L,,SETC,TIRUPPUR,TIRUNELVELI,,,8.22Hrs,45 Seats Available,Standard,Rs 287,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2330TPPTIUTT02L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""620A""}, {""city"": ""TIRUPPUR"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:22""}, {""city"": ""345.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""TIRUNELVEL""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""294""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR KOVILVALI BS"", ""time"": ""23:30""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""07:52""}]",2026-01-13T18:32:19.426053
2330TPPTIUTT02L,,SETC,TIRUPPUR,TIRUNELVELI,,,8.22Hrs,45 Seats Available,Standard,Rs 287,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2330TPPTIUTT02L"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""620A""}, {""city"": ""TIRUPPUR"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:22""}, {""city"": ""345.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""TIRUNELVEL""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""294""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUPPUR"", ""landmark"": ""TIRUPPUR KOVILVALI BS"", ""time"": ""23:30""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""07:52""}]",2026-01-13T18:32:19.426053
