service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
1230TRINAGAC,,SETC,TRICHY,TIRUNELVELI,,,5.00Hrs,33 Seats Available,Standard,Rs 380,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1230TRINAGAC"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""125AC""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:00""}, {""city"": ""282.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""380""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""12:30""}, {""city"": ""TRICHY"", ""landmark"": ""VIRALIMALAI TOLL PLAZA"", ""time"": ""12:50""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""19:15""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""21:00""}]",2026-01-13T18:11:44.309231
1230TRINAGAC,,SETC,TRICHY,TIRUNELVELI,,,5.00Hrs,33 Seats Available,Standard,Rs 380,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1230TRINAGAC"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""125AC""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:00""}, {""city"": ""282.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""380""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""12:30""}, {""city"": ""TRICHY"", ""landmark"": ""VIRALIMALAI TOLL PLAZA"", ""time"": ""12:50""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""19:15""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""21:00""}]",2026-01-13T18:11:44.309231
2100TRINAG,,SETC,TRICHY,TIRUNELVELI,,,5.00Hrs,29 Seats Available,Standard,Rs 290,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2100TRINAG"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""125UD""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:00""}, {""city"": ""282.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""290""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""21:00""}, {""city"": ""TRICHY"", ""landmark"": ""VIRALIMALAI TOLL PLAZA"", ""time"": ""21:20""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""03:45""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""05:30""}]",2026-01-13T18:11:44.309231
2100TRINAG,,SETC,TRICHY,TIRUNELVELI,,,5.00Hrs,29 Seats Available,Standard,Rs 290,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2100TRINAG"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""125UD""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:00""}, {""city"": ""282.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""290""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""21:00""}, {""city"": ""TRICHY"", ""landmark"": ""VIRALIMALAI TOLL PLAZA"", ""time"": ""21:20""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""03:45""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""05:30""}]",2026-01-13T18:11:44.309231
1700NEVKAK,,SETC,TRICHY,TIRUNELVELI,,,6.15Hrs,23 Seats Available,Standard,Rs 289,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1700NEVKAK"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""125KUD""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:15""}, {""city"": ""291.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""289""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""NEYVELI"", ""landmark"": ""NEYVELI"", ""time"": ""17:00""}, {""city"": ""VIRUDHACHALAM"", ""landmark"": ""VIRUDHACHALAM"", ""time"": ""17:30""}, {""city"": ""ANDIMADAM"", ""landmark"": ""ANDIMADAM"", ""time"": ""18:00""}, {""city"": ""JAYANKONDAM"", ""landmark"": ""JAYANKONDAM"", ""time"": ""18:45""}, {""city"": ""ARIYALUR"", ""landmark"": ""ARIYALUR"", ""time"": ""19:30""}, {""city"": ""KOLAKKANATHAM"", ""landmark"": ""KOLAKKANATHAM"", ""time"": ""20:00""}, {""city"": ""ALATHUR"", ""landmark"": ""ALATHUR"", ""time"": ""20:15""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""21:15""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""KOVILPATTI"", ""time"": ""02:00""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""03:30""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""05:30""}, {""city"": ""KANYAKUMARI"", ""landmark"": ""KANYAKUMARI"", ""time"": ""06:00""}]",2026-01-13T18:11:44.309231
1700NEVKAK,,SETC,TRICHY,TIRUNELVELI,,,6.15Hrs,23 Seats Available,Standard,Rs 289,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1700NEVKAK"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""125KUD""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""6:15""}, {""city"": ""291.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""289""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""NEYVELI"", ""landmark"": ""NEYVELI"", ""time"": ""17:00""}, {""city"": ""VIRUDHACHALAM"", ""landmark"": ""VIRUDHACHALAM"", ""time"": ""17:30""}, {""city"": ""ANDIMADAM"", ""landmark"": ""ANDIMADAM"", ""time"": ""18:00""}, {""city"": ""JAYANKONDAM"", ""landmark"": ""JAYANKONDAM"", ""time"": ""18:45""}, {""city"": ""ARIYALUR"", ""landmark"": ""ARIYALUR"", ""time"": ""19:30""}, {""city"": ""KOLAKKANATHAM"", ""landmark"": ""KOLAKKANATHAM"", ""time"": ""20:00""}, {""city"": ""ALATHUR"", ""landmark"": ""ALATHUR"", ""time"": ""20:15""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""21:15""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""KOVILPATTI"", ""time"": ""02:00""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""03:30""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""05:30""}, {""city"": ""KANYAKUMARI"", ""landmark"": ""KANYAKUMARI"", ""time"": ""06:00""}]",2026-01-13T18:11:44.309231
2200TRINAGAC,,SETC,TRICHY,TIRUNELVELI,,,5.00Hrs,26 Seats Available,Standard,Rs 373,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2200TRINAGAC"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""125AC""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:00""}, {""city"": ""282.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""373""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""22:00""}, {""city"": ""TRICHY"", ""landmark"": ""VIRALIMALAI TOLL PLAZA"", ""time"": ""22:20""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""04:45""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""06:30""}]",2026-01-13T18:11:44.309231
2200TRINAGAC,,SETC,TRICHY,TIRUNELVELI,,,5.00Hrs,26 Seats Available,Standard,Rs 373,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2200TRINAGAC"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""125AC""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:00""}, {""city"": ""282.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""373""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""22:00""}, {""city"": ""TRICHY"", ""landmark"": ""VIRALIMALAI TOLL PLAZA"", ""time"": ""22:20""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""04:45""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""06:30""}]",2026-01-13T18:11:44.309231
1430TIPNAG,,SETC,TRICHY,TIRUNELVELI,,,5.00Hrs,28 Seats Available,Standard,Rs 289,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1430TIPNAG"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""995UD""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:00""}, {""city"": ""287.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""289""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUPATHI"", ""landmark"": ""TIRUPATHI"", ""time"": ""14:30""}, {""city"": ""TIRUTHANI"", ""landmark"": ""TIRUTHANI"", ""time"": ""16:00""}, {""city"": ""ARAKONAM"", ""landmark"": ""ARAKONAM"", ""time"": ""16:20""}, {""city"": ""KANCHEEPURAM"", ""landmark"": ""KANCHEEPURAM"", ""time"": ""17:30""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""23:40""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""02:15""}, {""city"": ""KOVILPATTI"", ""landmark"": ""KOVILPATTI"", ""time"": ""03:30""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""05:30""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""06:30""}]",2026-01-13T18:11:44.309231
1430TIPNAG,,SETC,TRICHY,TIRUNELVELI,,,5.00Hrs,28 Seats Available,Standard,Rs 289,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1430TIPNAG"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""995UD""}, {""city"": ""TRICHY"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""TIRUNELVELI""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""5:00""}, {""city"": ""287.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""289""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUPATHI"", ""landmark"": ""TIRUPATHI"", ""time"": ""14:30""}, {""city"": ""TIRUTHANI"", ""landmark"": ""TIRUTHANI"", ""time"": ""16:00""}, {""city"": ""ARAKONAM"", ""landmark"": ""ARAKONAM"", ""time"": ""16:20""}, {""city"": ""KANCHEEPURAM"", ""landmark"": ""KANCHEEPURAM"", ""time"": ""17:30""}, {""city"": ""TRICHY"", ""landmark"": ""TRICHY KKBT"", ""time"": ""23:40""}, {""city"": ""MADURAI"", ""landmark"": ""MATTUTHAVANI BS"", ""time"": ""02:15""}, {""city"": ""KOVILPATTI"", ""landmark"": ""KOVILPATTI"", ""time"": ""03:30""}, {""city"": ""TIRUNELVELI"", ""landmark"": ""TIRUNELVELI"", ""time"": ""05:30""}, {""city"": ""NAGERCOIL VADACHERRY"", ""landmark"": ""NAGERCOIL"", ""time"": ""06:30""}]",2026-01-13T18:11:44.309231
