service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
1700TIPCOIAB,,SETC,VELLORE,COIMBATORE,,,8.00Hrs,33 Seats Available,Standard,Rs 519/800,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1700TIPCOIAB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""962AB""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""399.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""519""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUPATHI"", ""landmark"": ""TIRUPATHI"", ""time"": ""17:00""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""20:00""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""02:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""04:30""}]",2026-01-13T18:43:55.391259
1700TIPCOIAB,,SETC,VELLORE,COIMBATORE,,,8.00Hrs,33 Seats Available,Standard,Rs 519/800,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1700TIPCOIAB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""962AB""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""399.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""519""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUPATHI"", ""landmark"": ""TIRUPATHI"", ""time"": ""17:00""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""20:00""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""02:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""04:30""}]",2026-01-13T18:43:55.391259
1730CHETRS,,SETC,VELLORE,COIMBATORE,,,8.00Hrs,28 Seats Available,Standard,Rs 397,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1730CHETRS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""787UD""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""399.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""397""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-PT DR. M.G.R. BS"", ""landmark"": ""CHENNAI-PT Dr.M.G.R. BS"", ""time"": ""17:30""}, {""city"": ""CHENNAI-PT DR. M.G.R. BS"", ""landmark"": ""POONMALEE BYPASS MTC DEPOT NR"", ""time"": ""18:05""}, {""city"": ""CHENNAI-PT DR. M.G.R. BS"", ""landmark"": ""SRIPERUMBUDUR TOLL"", ""time"": ""18:25""}, {""city"": ""WALAJAHPET TOLL"", ""landmark"": ""WALAJAHPET TOLL"", ""time"": ""19:40""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""20:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""04:15""}, {""city"": ""PALGHAT"", ""landmark"": ""PALGHAT KSRTC B.S"", ""time"": ""05:30""}, {""city"": ""TRISSUR"", ""landmark"": ""TRISSUR KSRTC B.S"", ""time"": ""06:30""}]",2026-01-13T18:43:55.391259
1730CHETRS,,SETC,VELLORE,COIMBATORE,,,8.00Hrs,28 Seats Available,Standard,Rs 397,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1730CHETRS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""787UD""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:00""}, {""city"": ""399.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""397""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-PT DR. M.G.R. BS"", ""landmark"": ""CHENNAI-PT Dr.M.G.R. BS"", ""time"": ""17:30""}, {""city"": ""CHENNAI-PT DR. M.G.R. BS"", ""landmark"": ""POONMALEE BYPASS MTC DEPOT NR"", ""time"": ""18:05""}, {""city"": ""CHENNAI-PT DR. M.G.R. BS"", ""landmark"": ""SRIPERUMBUDUR TOLL"", ""time"": ""18:25""}, {""city"": ""WALAJAHPET TOLL"", ""landmark"": ""WALAJAHPET TOLL"", ""time"": ""19:40""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""20:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""04:15""}, {""city"": ""PALGHAT"", ""landmark"": ""PALGHAT KSRTC B.S"", ""time"": ""05:30""}, {""city"": ""TRISSUR"", ""landmark"": ""TRISSUR KSRTC B.S"", ""time"": ""06:30""}]",2026-01-13T18:43:55.391259
1830TIPCOINS,,SETC,VELLORE,COIMBATORE,,,10.00Hrs,25 Seats Available,Standard,Rs 397/620,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1830TIPCOINS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""962TUD""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""10:00""}, {""city"": ""399.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""397""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUPATHI"", ""landmark"": ""TIRUPATHI"", ""time"": ""18:30""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""21:30""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""04:45""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""07:30""}]",2026-01-13T18:43:55.391259
1830TIPCOINS,,SETC,VELLORE,COIMBATORE,,,10.00Hrs,25 Seats Available,Standard,Rs 397/620,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1830TIPCOINS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""962TUD""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""10:00""}, {""city"": ""399.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""397""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUPATHI"", ""landmark"": ""TIRUPATHI"", ""time"": ""18:30""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""21:30""}, {""city"": ""ERODE"", ""landmark"": ""ERODE"", ""time"": ""04:45""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""07:30""}]",2026-01-13T18:43:55.391259
1830CHECOIAB,,SETC,VELLORE,COIMBATORE,,,7.00Hrs,28 Seats Available,Standard,Rs 517/798,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1830CHECOIAB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""460AB""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:00""}, {""city"": ""399.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""517""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-PT DR. M.G.R. BS"", ""landmark"": ""CHENNAI-PT Dr.M.G.R. BS"", ""time"": ""18:30""}, {""city"": ""CHENNAI-PT DR. M.G.R. BS"", ""landmark"": ""POONMALEE BYPASS MTC DEPOT NR"", ""time"": ""19:05""}, {""city"": ""CHENNAI-PT DR. M.G.R. BS"", ""landmark"": ""SRIPERUMBUDUR TOLL"", ""time"": ""19:25""}, {""city"": ""WALAJAHPET TOLL"", ""landmark"": ""WALAJAHPET TOLL"", ""time"": ""21:00""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""22:00""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""01:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""06:00""}]",2026-01-13T18:43:55.391259
1830CHECOIAB,,SETC,VELLORE,COIMBATORE,,,7.00Hrs,28 Seats Available,Standard,Rs 517/798,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1830CHECOIAB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""460AB""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:00""}, {""city"": ""399.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""517""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-PT DR. M.G.R. BS"", ""landmark"": ""CHENNAI-PT Dr.M.G.R. BS"", ""time"": ""18:30""}, {""city"": ""CHENNAI-PT DR. M.G.R. BS"", ""landmark"": ""POONMALEE BYPASS MTC DEPOT NR"", ""time"": ""19:05""}, {""city"": ""CHENNAI-PT DR. M.G.R. BS"", ""landmark"": ""SRIPERUMBUDUR TOLL"", ""time"": ""19:25""}, {""city"": ""WALAJAHPET TOLL"", ""landmark"": ""WALAJAHPET TOLL"", ""time"": ""21:00""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""22:00""}, {""city"": ""SALEM"", ""landmark"": ""SALEM"", ""time"": ""01:30""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""06:00""}]",2026-01-13T18:43:55.391259
1930TIPCOI,,SETC,VELLORE,COIMBATORE,,,11.00Hrs,32 Seats Available,Standard,Rs 407,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1930TIPCOI"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""962AUD""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""11:00""}, {""city"": ""399.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""407""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUPATHI"", ""landmark"": ""TIRUPATHI"", ""time"": ""19:30""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""22:30""}, {""city"": ""METTUR"", ""landmark"": ""METTUR"", ""time"": ""04:00""}, {""city"": ""ANTHIYUR"", ""landmark"": ""ANTHIYUR"", ""time"": ""05:00""}, {""city"": ""SATHIYAMANGALAM"", ""landmark"": ""SATHIYAMANGALAM"", ""time"": ""06:00""}, {""city"": ""PULIAMPATTI"", ""landmark"": ""PULIAMPATTI"", ""time"": ""06:30""}, {""city"": ""ANNUR"", ""landmark"": ""ANNUR"", ""time"": ""06:50""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""07:30""}]",2026-01-13T18:43:55.391259
1930TIPCOI,,SETC,VELLORE,COIMBATORE,,,11.00Hrs,32 Seats Available,Standard,Rs 407,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1930TIPCOI"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""962AUD""}, {""city"": ""VELLORE"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""11:00""}, {""city"": ""399.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""407""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""TIRUPATHI"", ""landmark"": ""TIRUPATHI"", ""time"": ""19:30""}, {""city"": ""VELLORE"", ""landmark"": ""VELLORE"", ""time"": ""22:30""}, {""city"": ""METTUR"", ""landmark"": ""METTUR"", ""time"": ""04:00""}, {""city"": ""ANTHIYUR"", ""landmark"": ""ANTHIYUR"", ""time"": ""05:00""}, {""city"": ""SATHIYAMANGALAM"", ""landmark"": ""SATHIYAMANGALAM"", ""time"": ""06:00""}, {""city"": ""PULIAMPATTI"", ""landmark"": ""PULIAMPATTI"", ""time"": ""06:30""}, {""city"": ""ANNUR"", ""landmark"": ""ANNUR"", ""time"": ""06:50""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""07:30""}]",2026-01-13T18:43:55.391259
