service_code,route_number,corporation,origin,destination,departure_time,arrival_time,duration,available_seats,bus_type,fare,journey_date,stops_json,scraped_at
0900KCBCOIAB,,SETC,VILLUPURAM,COIMBATORE,,,8.15Hrs,33 Seats Available,Standard,Rs 458/703,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0900KCBCOIAB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""460AB""}, {""city"": ""VILLUPURAM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:15""}, {""city"": ""348.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""458""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""09:00""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""GUDUVANCHERY"", ""time"": ""09:05""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""SRM UNIVERSITY"", ""time"": ""09:15""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""MARAIMALAI NAGAR BUSSTOP"", ""time"": ""09:25""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""MAHINDRA CITY"", ""time"": ""09:35""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENGALPATTU TOLL"", ""time"": ""09:45""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENGALPATTU BYPASS"", ""time"": ""09:55""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""MELMARUVATHUR BUS STOP"", ""time"": ""10:25""}, {""city"": ""TINDIVANAM"", ""landmark"": ""TINDIVANAM"", ""time"": ""10:45""}, {""city"": ""VILLUPURAM"", ""landmark"": ""VILLUPURAM"", ""time"": ""11:45""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""20:00""}]",2026-01-13T19:11:39.984970
0900KCBCOIAB,,SETC,VILLUPURAM,COIMBATORE,,,8.15Hrs,33 Seats Available,Standard,Rs 458/703,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""0900KCBCOIAB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""460AB""}, {""city"": ""VILLUPURAM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:15""}, {""city"": ""348.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""458""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""09:00""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""GUDUVANCHERY"", ""time"": ""09:05""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""SRM UNIVERSITY"", ""time"": ""09:15""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""MARAIMALAI NAGAR BUSSTOP"", ""time"": ""09:25""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""MAHINDRA CITY"", ""time"": ""09:35""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENGALPATTU TOLL"", ""time"": ""09:45""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENGALPATTU BYPASS"", ""time"": ""09:55""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""MELMARUVATHUR BUS STOP"", ""time"": ""10:25""}, {""city"": ""TINDIVANAM"", ""landmark"": ""TINDIVANAM"", ""time"": ""10:45""}, {""city"": ""VILLUPURAM"", ""landmark"": ""VILLUPURAM"", ""time"": ""11:45""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""20:00""}]",2026-01-13T19:11:39.984970
1600KCBEKMAB,,SETC,VILLUPURAM,COIMBATORE,,,8.45Hrs,32 Seats Available,Standard,Rs 460/705,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1600KCBEKMAB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""791AB""}, {""city"": ""VILLUPURAM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:45""}, {""city"": ""348.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""460""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""16:00""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""GUDUVANCHERY"", ""time"": ""16:05""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""SRM UNIVERSITY"", ""time"": ""16:10""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""MARAIMALAI NAGAR BUSSTOP"", ""time"": ""16:20""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""MAHINDRA CITY"", ""time"": ""16:30""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENGALPATTU TOLL"", ""time"": ""16:40""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENGALPATTU BYPASS"", ""time"": ""16:50""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""MELMARUVATHUR BUS STOP"", ""time"": ""17:20""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""TINDIVANAM"", ""time"": ""17:45""}, {""city"": ""VILLUPURAM"", ""landmark"": ""VILLUPURAM"", ""time"": ""18:45""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""02:30""}, {""city"": ""PALGHAT"", ""landmark"": ""PALGHAT KSRTC B.S"", ""time"": ""04:00""}, {""city"": ""TRISSUR"", ""landmark"": ""TRISSUR KSRTC B.S"", ""time"": ""06:00""}, {""city"": ""ERNAKULAM"", ""landmark"": ""ERNAKULAM SOUTH KSRTC B.S"", ""time"": ""07:00""}]",2026-01-13T19:11:39.984970
1600KCBEKMAB,,SETC,VILLUPURAM,COIMBATORE,,,8.45Hrs,32 Seats Available,Standard,Rs 460/705,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1600KCBEKMAB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""791AB""}, {""city"": ""VILLUPURAM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:45""}, {""city"": ""348.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""460""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""16:00""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""GUDUVANCHERY"", ""time"": ""16:05""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""SRM UNIVERSITY"", ""time"": ""16:10""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""MARAIMALAI NAGAR BUSSTOP"", ""time"": ""16:20""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""MAHINDRA CITY"", ""time"": ""16:30""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENGALPATTU TOLL"", ""time"": ""16:40""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENGALPATTU BYPASS"", ""time"": ""16:50""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""MELMARUVATHUR BUS STOP"", ""time"": ""17:20""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""TINDIVANAM"", ""time"": ""17:45""}, {""city"": ""VILLUPURAM"", ""landmark"": ""VILLUPURAM"", ""time"": ""18:45""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""02:30""}, {""city"": ""PALGHAT"", ""landmark"": ""PALGHAT KSRTC B.S"", ""time"": ""04:00""}, {""city"": ""TRISSUR"", ""landmark"": ""TRISSUR KSRTC B.S"", ""time"": ""06:00""}, {""city"": ""ERNAKULAM"", ""landmark"": ""ERNAKULAM SOUTH KSRTC B.S"", ""time"": ""07:00""}]",2026-01-13T19:11:39.984970
1645KCBGURLB,,SETC,VILLUPURAM,COIMBATORE,,,10.40Hrs,30 Seats Available,Standard,Rs 353/545,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1645KCBGURLB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""785LB""}, {""city"": ""VILLUPURAM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""10:40""}, {""city"": ""348.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""353""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""16:45""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""MELMARUVATHUR BUS STOP"", ""time"": ""18:00""}, {""city"": ""TINDIVANAM"", ""landmark"": ""TINDIVANAM"", ""time"": ""18:20""}, {""city"": ""VILLUPURAM"", ""landmark"": ""VILLUPURAM"", ""time"": ""20:15""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""05:00""}, {""city"": ""PALGHAT"", ""landmark"": ""PALGHAT KSRTC B.S"", ""time"": ""06:30""}, {""city"": ""TRISSUR"", ""landmark"": ""TRISSUR KSRTC B.S"", ""time"": ""07:30""}, {""city"": ""GURUVAYUR"", ""landmark"": ""GURUVAYUR"", ""time"": ""08:30""}]",2026-01-13T19:11:39.984970
1645KCBGURLB,,SETC,VILLUPURAM,COIMBATORE,,,10.40Hrs,30 Seats Available,Standard,Rs 353/545,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""1645KCBGURLB"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""785LB""}, {""city"": ""VILLUPURAM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""10:40""}, {""city"": ""348.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""353""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""CHENNAI KALAIGNAR CBT"", ""time"": ""16:45""}, {""city"": ""CHENNAI-KILAMBAKKAM-KCBT"", ""landmark"": ""MELMARUVATHUR BUS STOP"", ""time"": ""18:00""}, {""city"": ""TINDIVANAM"", ""landmark"": ""TINDIVANAM"", ""time"": ""18:20""}, {""city"": ""VILLUPURAM"", ""landmark"": ""VILLUPURAM"", ""time"": ""20:15""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""05:00""}, {""city"": ""PALGHAT"", ""landmark"": ""PALGHAT KSRTC B.S"", ""time"": ""06:30""}, {""city"": ""TRISSUR"", ""landmark"": ""TRISSUR KSRTC B.S"", ""time"": ""07:30""}, {""city"": ""GURUVAYUR"", ""landmark"": ""GURUVAYUR"", ""time"": ""08:30""}]",2026-01-13T19:11:39.984970
2100VILCOINS,,SETC,VILLUPURAM,COIMBATORE,,,7.30Hrs,28 Seats Available,Standard,Rs 353/545,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2100VILCOINS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""460VNS""}, {""city"": ""VILLUPURAM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:30""}, {""city"": ""348.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""353""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""VILLUPURAM"", ""landmark"": ""VILLUPURAM"", ""time"": ""21:00""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""03:30""}]",2026-01-13T19:11:39.984970
2100VILCOINS,,SETC,VILLUPURAM,COIMBATORE,,,7.30Hrs,28 Seats Available,Standard,Rs 353/545,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2100VILCOINS"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""460VNS""}, {""city"": ""VILLUPURAM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""7:30""}, {""city"": ""348.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""353""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""VILLUPURAM"", ""landmark"": ""VILLUPURAM"", ""time"": ""21:00""}, {""city"": ""COIMBATORE"", ""landmark"": ""COIMBATORE"", ""time"": ""03:30""}]",2026-01-13T19:11:39.984970
2030PUUCOIAC,,SETC,VILLUPURAM,COIMBATORE,,,8.45Hrs,33 Seats Available,Standard,Rs 453,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2030PUUCOIAC"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""841AC""}, {""city"": ""VILLUPURAM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:45""}, {""city"": ""348.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""453""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""PUDUCHERRY"", ""landmark"": ""PUDUCHERRY"", ""time"": ""20:30""}, {""city"": ""PUDUCHERRY"", ""landmark"": ""VILLIYANUR BYPASS"", ""time"": ""20:50""}, {""city"": ""PUDUCHERRY"", ""landmark"": ""MANAKULA VINAYAGAR  COLLEGE"", ""time"": ""21:00""}, {""city"": ""PUDUCHERRY"", ""landmark"": ""VALAVANUR"", ""time"": ""21:15""}, {""city"": ""VILLUPURAM"", ""landmark"": ""VILLUPURAM"", ""time"": ""21:45""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""05:30""}]",2026-01-13T19:11:39.984970
2030PUUCOIAC,,SETC,VILLUPURAM,COIMBATORE,,,8.45Hrs,33 Seats Available,Standard,Rs 453,16/01/2026,"[{""city"": ""&nbsp;"", ""landmark"": """", ""time"": ""Service&nbsp;Details""}, {""city"": ""2030PUUCOIAC"", ""landmark"": ""Route&nbsp;No.&nbsp;:"", ""time"": ""841AC""}, {""city"": ""VILLUPURAM"", ""landmark"": ""To&nbsp;Place&nbsp;:"", ""time"": ""COIMBATORE""}, {""city"": ""16/01/2026"", ""landmark"": ""Journey&nbsp;Hours&nbsp;*:"", ""time"": ""8:45""}, {""city"": ""348.00"", ""landmark"": ""Corporation&nbsp;:"", ""time"": ""SETC""}, {""city"": ""&nbsp;"", ""landmark"": ""Adult&nbsp;Fare&nbsp;**"", ""time"": ""453""}, {""city"": ""City"", ""landmark"": ""Land&nbsp;Mark&nbsp;"", ""time"": ""Dep.&nbsp;Time&nbsp;""}, {""city"": ""PUDUCHERRY"", ""landmark"": ""PUDUCHERRY"", ""time"": ""20:30""}, {""city"": ""PUDUCHERRY"", ""landmark"": ""VILLIYANUR BYPASS"", ""time"": ""20:50""}, {""city"": ""PUDUCHERRY"", ""landmark"": ""MANAKULA VINAYAGAR  COLLEGE"", ""time"": ""21:00""}, {""city"": ""PUDUCHERRY"", ""landmark"": ""VALAVANUR"", ""time"": ""21:15""}, {""city"": ""VILLUPURAM"", ""landmark"": ""VILLUPURAM"", ""time"": ""21:45""}, {""city"": ""COIMBATORE"", ""landmark"": ""GANDHIPURAM SETC BS"", ""time"": ""05:30""}]",2026-01-13T19:11:39.984970
