id,old_name,new_name
347,"APSRTC Bus Station , Puttur",Puttur - APSRTC
375,"Bus Terminal, Kakkanad",Kakkanad - Bus Terminal
400,"TNSTC Bus Stand , Kallakurichi",Kallakurichi - TNSTC
452,"Kerala State Road Transport Corperation, Mananthavadi",Mananthavadi - Kerala State Road Transport Corperation
518,"Mukkadamukku, Chavara",Chavara - Mukkadamukku
520,"Vazhayilmukku, Chavara",Chavara - Vazhayilmukku
584,"KSRTC BUS STAND, KOOTHATUKULAM",KOOTHATUKULAM - KSRTC
641,"Waiting shed, Pazhayidom",Pazhayidom - Waiting shed
673,"Koyil Vazhi bus stand, Tiruppur",Tiruppur - Koyil Vazhi
694,"KSRTC Bus Stand, Urdigere",Urdigere - KSRTC
701,"APSRTC Bus Station , Palamaneru",Palamaneru - APSRTC
702,"APSRTC Bus Station , Chittoor",Chittoor - APSRTC
703,"APSRTC Bus Station , Punganur",Punganur - APSRTC
704,"APSRTC Bus Station , Kuppam",Kuppam - APSRTC
705,"APSRTC Bus Station , Venkatagiri Kota",Venkatagiri Kota - APSRTC
706,"APSRTC Bus Station , Kanipakam",Kanipakam - APSRTC
708,"APSRTC Bus Station , Pichchatur",Pichchatur - APSRTC
709,"APSRTC Bus Station , Nagalapuram",Nagalapuram - APSRTC
711,"APSRTC Bus Station , Satyavedu",Satyavedu - APSRTC
713,"APSRTC Bus Station , Pakala",Pakala - APSRTC
727,"Madhavarm APSRTC , TNSTC Bus Terminus",TNSTC Bus Terminus - Madhavarm APSRTC
734,"TNSTC Tanthiperiyar Bus Depot , Tiruvannamalai",Tiruvannamalai - TNSTC Tanthiperiyar Bus Depot
735,"TNSTC Bus Depot , Tiruvannamalai",Tiruvannamalai - TNSTC Bus Depot
851,"TNSTC Bus Depot , Palani",Palani - TNSTC Bus Depot
852,"M.G.R Mattuthavani Bus Stand , Madurai",Madurai - Mattuthavani
853,"Periyar Bus Stand , Madurai",Madurai - Periyar
1014,"Kerala State Road Transport Cooperation Bus Depot, Ponkunnam",Ponkunnam - Kerala State Road Transport Cooperation Bus Depot
1027,"Private Bus Station, Kottarakkara",Kottarakkara - Private
1031,"IGBT Bus Stand, Manjeri",Manjeri - IGBT
1032,"New Bus Stand, Manjeri",Manjeri - New
1058,"Kerala State Road Transport Cooperation Bus Station, Irinjalakuda",Irinjalakuda - Kerala State Road Transport Cooperation
1184,"Kerala State Road Transport Corporation, Perumbavoor",Perumbavoor - Kerala State Road Transport Corporation
1225,"Private Bus Stand, North Paravur",North Paravur - Private
1241,"KSRTC BUS STATION, PIRAVOM",PIRAVOM - KSRTC
1265,"Private Bus Stand,Perumbavoor",Perumbavoor - Private
1266,"Muncipal Bus Stand,Thankalam",Thankalam - Muncipal
1312,"Paruthumpara Bus stop towards Njaliyakuzhy, Changanassery",Changanassery - Paruthumpara Bus stop towards Njaliyakuzhy
1323,"Pothukal Bus Station, Pothukal",Pothukal - Pothukal
1421,"Private Bus Stand, Koothattukulam",Koothattukulam - Private
1422,"KSRTC Bus Stand, Koothattukulam",Koothattukulam - KSRTC
1423,"Kerala State Road Transport Corporation, Kacheri, Attingal","Kacheri, Attingal - Kerala State Road Transport Corporation"
1424,"Private bus stand, kacheri jn",kacheri jn - Private
1427,"New Bus Stand, Tiruppur",Tiruppur - New
1432,"Jose Thomas Padinjarekkara Private Bus Terminal, Kottaramattam, Palai","Kottaramattam, Palai - Jose Thomas Padinjarekkara Private Bus Terminal"
1478,"Bus Terminal 2, 2A",2A - Bus Terminal 2
1489,"Kerala State Road Transport Corporation Bus Stand, Munnar",Munnar - Kerala State Road Transport Corporation
1499,"Annai Indira Gandhi Bus Stand, Karumandurai",Karumandurai - Annai Indira Gandhi
2201,"Central Government Officers Quarters, General Pool Accomodation",General Pool Accomodation - Central Government Officers Quarters
2763,"Nettithozhu,Kochera",Kochera - Nettithozhu
2941,"AECS Layout, A block",A block - AECS Layout
3265,"Pallippuram, Karambathur P O",Karambathur P O - Pallippuram
3437,"Aasharimukku,amarap.o",amarap.o - Aasharimukku
3438,"Thottikada, Upputhode",Upputhode - Thottikada
3448,"Gouri city, Upputhode",Upputhode - Gouri city
3628,"Pallikkamarup,  Edakkulam",Edakkulam - Pallikkamarup
3629,"Kulikadavunkal, Punnasheripadi",Punnasheripadi - Kulikadavunkal
3673,"Kalathil Tribal Colony, Madakkimala",Madakkimala - Kalathil Tribal Colony
3674,"Mangalamkunn Tribal Colony, Panangandi",Panangandi - Mangalamkunn Tribal Colony
3676,"Pandyattvayal Tribal Colony, Kariambadi",Kariambadi - Pandyattvayal Tribal Colony
3677,"Koraladi Tribal Colony, Kolavayal",Kolavayal - Koraladi Tribal Colony
3678,"Njanummel Tribal colony, Kolavayal",Kolavayal - Njanummel Tribal colony
3680,"Moothimoola Kuruma Colony, Kariyambadi",Kariyambadi - Moothimoola Kuruma Colony
3681,"Thottamkolli Tribal Colony, Kuppadi",Kuppadi - Thottamkolli Tribal Colony
3683,"Shastri Nagar Tribal Colony, Aalamdhatta",Aalamdhatta - Shastri Nagar Tribal Colony
3686,"Oorapakk Kunn Tribal Colony, Vazhavatta",Vazhavatta - Oorapakk Kunn Tribal Colony
3687,"Naikollikunn Tribal Colony, Pakkam",Pakkam - Naikollikunn Tribal Colony
3688,"Naikollikunn Kuruma Colony, Pakkam",Pakkam - Naikollikunn Kuruma Colony
3689,"Unnikkan Tribal Colony, Pakkam",Pakkam - Unnikkan Tribal Colony
3690,"Palakattkunn tribal Colony, Pakkam",Pakkam - Palakattkunn tribal Colony
3691,"Kaippadam Tribal Colony, Variad",Variad - Kaippadam Tribal Colony
3692,"Theneri Kuruma Colony, Theneri",Theneri - Theneri Kuruma Colony
3693,"Bharathan Colony, Theneri",Theneri - Bharathan Colony
