# Tamil Vandi Major Route Pairs
# Format: FROM,TO (one per line)

# Major city connections
Chennai,Madurai
Chennai,Coimbatore
Chennai,Trichy
Chennai,Salem
Chennai,Tiruppur
Chennai,Tirunelveli
Chennai,Vellore
Chennai,Erode

Madurai,Chennai
Madurai,Coimbatore
Madurai,Trichy
Madurai,Sivakasi
Madurai,Tirunelveli
Madurai,Dindigul

Coimbatore,Chennai
Coimbatore,Madurai
Coimbatore,Trichy
Coimbatore,Salem
Coimbatore,Tiruppur
Coimbatore,Erode
Coimbatore,Pollachi

Trichy,Chennai
Trichy,Madurai
Trichy,Coimbatore
Trichy,Salem
Trichy,Thanjavur
Trichy,Kumbakonam

Salem,Chennai
Salem,Coimbatore
Salem,Trichy
Salem,Erode
Salem,Tiruppur
Salem,Namakkal

Tiruppur,Chennai
Tiruppur,Coimbatore
Tiruppur,Salem
Tiruppur,Erode
Tiruppur,Pollachi

Erode,Chennai
Erode,Coimbatore
Erode,Salem
Erode,Tiruppur
Erode,Gobichettipalayam

Tirunelveli,Chennai
Tirunelveli,Madurai
Tirunelveli,Nagercoil
Tirunelveli,Thoothukudi

Vellore,Chennai
Vellore,Tiruvannamalai
Vellore,Ranipet

# Additional important routes
Sivakasi,Madurai
Dindigul,Madurai
Pollachi,Coimbatore
Kumbakonam,Trichy
Thanjavur,Trichy
Nagercoil,Tirunelveli
Thoothukudi,Madurai
